name,address,type
Tom's Burgers 14,3484 Gage Ave,Family-friendly
Culichi Town Bell CA,6638 Atlantic Ave,Sushi
Gorditas,4651 Gage Ave,Mexican
El Pollero 95,3825 Gage Ave,Seafood
Taqueria El Bebe,4800 Randolph St,Latin American
Mole De Los Reyes,6242 Maywood Ave,Mexican
La Casita Mexicana,4030 E Gage Ave,Mexican
Super Pizza Veloz,5029 Gage Ave,Pizza
Te Amo Pizza,4714 Gage Ave,Pizza
Boulevard Burgers,4401 Florence Ave,Hamburger
World Famous Grill,4143 E Florence Ave,Mediterranean
Guadalajara Inn,4466 Gage Ave,Mexican
El Pescador,4108 Florence Ave,Mexican
Jim's Burgers,4660 Gage Ave,Hamburger
La Costa,4119 Gage Ave,Mexican
Ricco's Pizza,4135 Gage Ave,Pizza
El Pescador Restaurant,6633 Eastern Ave,Mexican
Taqueria Los Altos,6939 Eastern Ave,Mexican
Diana's,4333 Florence Ave,Mexican
La Barca Restaurantes,4955 Florence Ave,Mexican
J B Burgers,5718 E Gage Ave,Hamburger
Epoca,6626 Atlantic Ave,Mediterranean
Cemitas Poblanas En Ca,4221 Florence Ave,Mexican
El Chaparrastique Grill,6211 Eastern Ave,Salvadoran
Rincon Sinaloense,4846 Florence Ave suite a-101,Mexican
El Zunzal Pupuseria,6311 Atlantic Ave,Salvadoran
Premier Fiesta Mexicana,7300 Eastern Ave,Mexican
Tacos Gavilan,4406 E Florence Ave,Mexican
Fosters Freeze,7540 Eastern Ave,Fast Food
Los Pollos,6201 Atlantic Ave,Chicken
Carnitas Michoacanas,6200 Eastern Ave,Mexican
Jims Burguers,4010 E Gage Ave,Restaurant
Taqueria Jalisco,6343 Atlantic Ave,Mexican
IHOP,7131 Eastern Ave,Restaurant
Pizza Hut,7000 Atlantic Ave,Pizza
Alfredo's Mexican Food,7101 Eastern Ave,Fast Food
Jack in the Box,4525 Florence Ave,Fast Food
El Rincon Chilango Restaurant,4807 E Florence Ave,Mexican
El Pollo Loco,6929 Eastern Ave,Mexican
Tacos Mexico,6721 Atlantic Ave,Mexican
Tacos El Unico BELL,6824 Atlantic Ave,Tacos
J's Bar N Grill,7110 Atlantic Ave,Grill
Bike Brewery,888 Bicycle Casino Dr,Grill
Pupuseria Acajutla No.2,6607 Atlantic Ave,Salvadoran
Taco Boy,5039 Gage Ave,Mexican
Carl's Jr.,4966 Florence Ave,Fast Food
Taco Bell,7500 Atlantic Ave,Fast Food
Las Palmitas Fruit,4214 E Florence Ave,Hamburger
Panda Express,7129 Atlantic Ave,Chinese
Antojitos El Milagro,4800 Randolph St,Latin American
BiG AL'S Pizzeria,6044 Atlantic Blvd,Pizza
Applebee's Grill + Bar,5700 Florence Ave,Restaurant
T & A Taco,7606 Eastern Ave,Mexican
WaBa Grill,6939 Eastern Ave Ste F,Asian Fusion
HomeTown Buffet,6257 Atlantic Ave,Buffet
Mr.Fungi Vegan Recipes,,Vegan
Leyva's Mexican Food,6527 Eastern Ave,Mexican
Golden Panda Kitchen,6343 Atlantic Ave A,Chinese
Ramen Table,6367 Atlantic Ave,Ramen
Taco Bell,6800 Eastern Ave,Fast Food
Mariscos bahia,Maywood,Seafood
Delicias De Mexico,Bell Gardens,Mexican
Wingstop,Bell Gardens,Chicken Wings
McDonald's,Huntington Park,Fast Food
Krazy Wings,Bell,Chicken Wings
"El Nuevo Mundo Market, Bakery & Cafe",Bell,Grocery store
Jack in the Box,Bell Gardens,Fast Food
Birrieria Estilo La Barca Jalisco,Maywood,Mexican
Mariscos el levanton,Huntington Park,Restaurant
The Green Olive,Commerce,Mediterranean
Surfos Restaurant & Snack Mexicano,Bell,Mexican
Rocio's Mexican Kitchen,Bell Gardens,Mexican
Mariscos Sol Y Mar,Bell Gardens,Mexican
Valentinas Resturant & Cantina,Bell,Restaurant
Halftime House of Highlights,Bell,Chicken Wings
Los Cabos the Pupusa House,Maywood,Salvadoran
Lalis Pizza Plus,Huntington Park,Pizza
Musica En Vivo Diario Mariachi,Bell Gardens,Restaurant
Pizza Hut,Bell Gardens,Pizza
Noodles n’ More,Bell Gardens,Restaurant
Gardens Thai BBQ,6634 Eastern Ave,Thai
El Puerto Pupuseria Restaurant,4040 Gage Ave,Restaurant
La Cabana,7110 Atlantic Ave,Restaurant
Rice Street,"Unit B&C 6000, E Florence Ave",Thai
Bionicos La Tropicana,7333 Atlantic Ave B,Restaurant
El Zarape Michoacano,6212 E Gage Ave,Mexican
Guisados Al Patron,Eastern Ave,Mexican
Border X Brewing,4400 Gage Ave,Restaurant
Little Caesars Pizza,7000 Eastern Ave,Pizza
El Quiubole,8311 Atlantic Ave,Mexican
El Jaliscience,5900 Clara St,Mexican
Rice Street Go Now,4838 S Eastern Ave,Thai
La Tiendita Mexicana,4034 E Gage Ave,Mexican
El Coraloense,6600 Florence Ave,Seafood
La Ceiba,7908 Eastern Ave,Salvadoran
Jims Burgers,8050 Atlantic Ave,Hamburger
KFC,5735 Florence Ave,Chicken
El Picante,6301 Florence Pl,Mexican
Boys Burgers,6810 Garfield Ave,Hamburger
Subway,6939-B S Eastern Ave,Sandwich
The Bicycle Hotel & Casino,,4-star hotel
Savor Fruits,4521 Gage Ave,Fast Food
McDonald's,5725 Florence Ave,Fast Food
Aqui es Texcoco,5850 S Eastern Ave,Mexican
Chuck E. Cheese,5089 E Florence Ave,Children's amusement center
Domino's Pizza,7021 Atlantic Ave,Pizza Delivery
El Pollo Loco,7519 Atlantic Ave,Mexican
Bionicos Y Cafe Bell,6804 Atlantic Ave,Restaurant
Tacos Los Desvelados,5306 Atlantic Blvd,Mexican
Primo Burgers,8205 Garfield Ave # K,Hamburger
Subway,7116 Atlantic Ave,Sandwich
Krudos Sushi & Modern Kitchen,4950 Slauson Ave,Seafood
Sam's Burgers #1,6007 Florence Ave,Hamburger
Apollo Burgers,4722 Slauson Ave,Hamburger
Eva's Cookery,7211 Garfield Ave,Mexican
Pioneer Chicken,6323 E Florence Ave,Takeout Restaurant
Little Mexico Chiquito,3823 Slauson Ave,Restaurant
Amapola-Mexican Deli,6000 Atlantic Blvd,Mexican
Birrieria Baldomero No 3,6040 Florence Ave,Mexican
Tom's Burgers #1,6484 Florence Ave,Mexican
The Bicycle Hotel & Casino,,4-star hotel
Savor Fruits,4521 Gage Ave,Fast Food
McDonald's,5725 Florence Ave,Fast Food
Aqui es Texcoco,5850 S Eastern Ave,Mexican
Chuck E. Cheese,5089 E Florence Ave,Children's amusement center
Domino's Pizza,7021 Atlantic Ave,Pizza Delivery
El Pollo Loco,7519 Atlantic Ave,Mexican
Bionicos Y Cafe Bell,6804 Atlantic Ave,Restaurant
Tacos Los Desvelados,5306 Atlantic Blvd,Mexican
Primo Burgers,8205 Garfield Ave # K,Hamburger
Subway,7116 Atlantic Ave,Sandwich
Krudos Sushi & Modern Kitchen,4950 Slauson Ave,Seafood
Sam's Burgers #1,6007 Florence Ave,Hamburger
Apollo Burgers,4722 Slauson Ave,Hamburger
Eva's Cookery,7211 Garfield Ave,Mexican
Pioneer Chicken,6323 E Florence Ave,Takeout Restaurant
Little Mexico Chiquito,3823 Slauson Ave,Restaurant
Amapola-Mexican Deli,6000 Atlantic Blvd,Mexican
Birrieria Baldomero No 3,6040 Florence Ave,Mexican
Tom's Burgers #1,6484 Florence Ave,Mexican
Crown of India,6755 Santa Monica Blvd,Indian
Osen Izakaya,2903 Sunset Blvd,Japanese
Dunkin',6821 Eastern Ave,Coffee shop
Las Champas Restaurant,7908 Eastern Ave,Salvadoran
Mi Lindo Sinaloa,5975 Atlantic Blvd,Mexican
El Yaqui Mexican Food,8101 Garfield Ave,Mexican
Eddie's Christmas Trees,6400 Atlantic Ave,Restaurant
Jolly Boy Burgers,"2041, 6832 E Gage Ave",Hamburger
Wendy's,4148 Florence Ave,Fast Food
Lucy's,4820 Florence Ave #4,Down Home Cooking
Joe's Pizza and restaurant,6370 Florence Ave,Italian
McDonald's,8029 Atlantic Ave,Fast Food
Olympic Troys Burgers # 2,6267 E Gage Ave,Fast Food
KFC,4025 Slauson Ave,Chicken
Nina's Cafe,2805 E Gage Ave,Restaurant
Denny's,5900 Atlantic Blvd,Diner
Pop's Burgers,7623 State St,Fast Food
FrutiBionicos Sinaloa,7615 State St,Mexican
La Casa de las Parrilladas Colombian And Puerto Rican Restaurant,8109 California Ave,Colombian
Taco Bell,3480 Firestone Blvd,Fast Food
"Pizzaroni Pizza - Bell Gardens, CA",6023 Florence Ave,Pizza Takeout
Blaze Pizza,4809 Firestone Blvd,Pizza
The Habit Burger Grill,South Gate,Hamburger
Jehrry's,,Vegan
Little Caesars Pizza,Maywood,Pizza
Krazy Cup Munchies Bar,Maywood,Snack bar
El Pollo Loco,Maywood,Mexican
Puerto Rican Flavors,South Gate,Puerto Rican
Crepes n Shakes,Bell Gardens,Cafeteria
Los Andes Peruvian Restaurant,South Gate,Peruvian
Gloria's Cocina Mexicana,Downey,Mexican
Diana's,Huntington Park,Mexican
Taco Bell,Downey,Fast Food
Taco Bell,East Los Angeles,Fast Food
McDonald's,Maywood,Fast Food
Panda Express,South Gate,Chinese
Fiesta Del Mar,Maywood,Seafood
Siry's Pizza,South Gate,Pizza Delivery
Panda Express,South Gate,Chinese
In-N-Out Burger,Huntington Park,Hamburger
Bionicos el coco loco,Bell,Snack bar
Winchell's Donut House,Maywood,Restaurant
Nina's Cafe,Bell,Crêperie
Pollo Campero - South Gate,South Gate,Chicken
Hooters of South Gate,South Gate,American
Tasty King,Maywood,Chinese
Tony's Donut House,Huntington Park,Donuts
Kyoto Sushi,Downey,Sushi
Denny's,South Gate,Diner
Rinconcito Paisa,South Gate,Italian
Ozzie's Diner,Commerce,Diner
Uncle Henrys Deli,Downey,Deli
Old River Restaurant,Downey,American
The Market Place Grill | Cafe,Downey,Mediterranean
Taco Bell,Los Angeles,Fast Food
Taco Bell,Los Angeles,Fast Food
Alligator Vending,,Vending machine supplier
Dal Rae Restaurant,Pico Rivera,American
Tropicana Bakery & Cuban Cafe,Downey,Cuban
El Taco,Downey,Mexican
Downey Pizza Company,Downey,Pizza
Bestia,Los Angeles,Italian
Lazy Dog Restaurant & Bar,Downey,New American
