name,address,type
Deja Vu - A Unique Boutique,1630 Contra Costa Blvd A,Consignment shop
Fashion Town,1500 Monument Blvd # C2,Men's clothing store
Hollister Co.,321 Sun Valley Mall,Clothing store
Express,1 Sun Valley Mall,Clothing store
JCPenney,484 Sun Valley Mall,Clothing store
Ross Dress for Less,5412 Ygnacio Valley Rd,Clothing store
Banana Republic Factory Store,2025 Diamond Blvd Space F-115,Clothing store
High Fashion,1803 Monument Blvd # C,Clothing store
Papaya Clothing,232 Sun Valley Mall #A125,Women's clothing store
Torrid,163-B Sun Valley Mall,Plus size clothing store
Zumiez,305A Sun Valley Mall,Clothing store
T.J. Maxx,4673 Clayton Rd,Clothing store
Macy's,341 Sun Valley Mall,Department store
UNIQLO,1 Sun Valley Mall Space D210,Clothing store
Work Wear,1950 Market St # I,Clothing store
Charlotte Russe,1 Sun Valley Mall d204,Clothing store
Old Navy,1975 Diamond Blvd,Clothing store
T.J. Maxx,2075 Diamond Blvd,Clothing store
Tillys,1 Sun Valley Mall,Clothing store
Dirty Dirty Girl Clothing,2151 Salvio St # A1,Clothing store
Target,560 Contra Costa Blvd,Department store
Fabiolas's Quinceañeras,2350 -C Monument Blvd,Boutique
H&M,"313 Sunvalley Mall, Road Suite B-206",Clothing store
Bridal dresses,East St,Clothing store
Fly Apparel,1585 Clayton Rd,Clothing store
American Eagle Store,450 Sun Valley Mall,Clothing store
Lane Bryant,111 Sun Valley Mall #B131,Plus size clothing store
G by GUESS,414 Sun Valley Mall a207,Clothing store
Aéropostale,236 Sun Valley Mall,Clothing store
Old Navy,2075 Diamond Blvd Space H130,Clothing store
Gap Factory,2075 DIAMOND BLVD SPACE H-160,Clothing store
FRESH.,163 Sun Valley Mall,Men's clothing store
El Vaquero Western Wear,1500 Monument Blvd,Western apparel store
Justice,254 Sun Valley Mall,Children's clothing store
Abercrombie & Fitch,428 Sun Valley Mall,Clothing store
Dafe,,Clothing store
Gesinees 2350 prom and tuxedo,2350 Willow Pass Rd,Bridal shop
Gesinee's Bridal,2368 Concord Blvd,Bridal shop
Marshalls,2310 Monument Blvd,Clothing store
Hot Topic,264 Sun Valley Mall,Clothing store
Forever 21,329 Sun Valley Mall #121,Clothing store
Target,1871 N Main St,Department store
PacSun,121 Sun Valley Mall #126,Clothing store
Shoe Palace,1 Sun Valley Mall Suite E119,Clothing store
Nordstrom Rack Sunvalley Shopping Center,703 Contra Costa Blvd,Clothing store
Capo Cycling Apparel,1741 Clayton Rd A,Western apparel store
Veronica,2097-2055 Arnold Industrial Way,Clothing store
Men's Wearhouse,552 Contra Costa Blvd,Men's clothing store
Ross Dress for Less,556 Contra Costa Blvd,Clothing store
"The Little Dane, Inc.",1706 Agadir St,Clothing store
Vintage Home Dwelling,1 Sun Valley Mall space 408-a,Vintage clothing store
Windsor,1 Sun Valley Mall #212A,Women's clothing store
Icing By Claire's,470 Sun Valley Mall,Fashion accessories store
Target,560 Contra Costa Blvd,Clothing store
Fabila's Quinces,2350-c Monument Blvd,Clothing store
The Children's Place,"Sunvalley Mall, 311 Sun Valley Mall",Children's clothing store
DXL Big + Tall,651 Contra Costa Blvd,Men's clothing store
Macy's Men's & Home,410 Sun Valley Mall,Clothing store
Tyndale FRC - Factory Store & Service Center Concord,5816 Pacheco Blvd,Clothing store
Burlington - Temporarily Closed,568 Contra Costa Blvd,Clothing store
Growing Pains,4425 Treat Blvd suite k,Baby store
REI,1975 Diamond Blvd Ste B100,Clothing store
Target,1871 N Main St,Department store
Sears (Temporarily Closed),1001 Sunvalley Blvd,Department store
Vans,404 Sun Valley Mall,Shoe store
Finish Line,120A Sun Valley Mall Suite 121B,Clothing store
McCaulou's Department Store,5100 Clayton Rd,Department store
Champs Sports,119 Sun Valley Mall,Clothing store
The Raider Image,171 Sun Valley Mall,Sportswear store
Vip Luggage & Leather,406 Sun Valley Mall,Luggage store
Road Runner Sports,1975 Diamond Blvd,Clothing store
Big 5 Sporting Goods,2689 Clayton Rd,Clothing store
Gymboree,311 Sun Valley Mall,Children's clothing store
Disney Store,1 Sun Valley Mall,Clothing store
FYE,1 Sun Valley Mall D123,Variety store
Nikman Inc,1000 Detroit Ave # C,T-shirt store
Oh Cheri!,5100 Clayton Rd,Lingerie store
Leeland's Shop,1905 Salvio St,Tobacco shop
Victoria's Secret PINK,One Sun Valley Mall E202,Lingerie store
Concord Uniforms,2190 Meridian Park Blvd # Q,Uniform store
SKECHERS Retail,220 Sun Valley Mall #A,Shoe store
Ross Dress for Less,157 Crescent Plaza,Clothing store
Shiekh,1 Sun Valley Mall,Clothing store
Finish Line,341 Sun Valley Mall,Clothing store
Akasha Prana,,Women's clothing store
Dark Symmetries,,Clothing store
Life Uniform,114A Sun Valley Mall,Uniform store
Walgreens,1990 Monument Blvd,Drug store
House of Hoops by Foot Locker,305 Sun Valley Mall Space B-202,Clothing store
Macy's Backstage,341 Sun Valley Mall,Outlet store
Halloween Outlet,4525 Clayton Rd,Costume store
Mainland Skate & Surf,1 Sun Valley Mall,Clothing store
Journeys,1 Sun Valley Dr #222,Clothing store
Lids,357 Sun Valley Mall,Hat shop
Victoria's Secret,1 Sun Valley Mall,Lingerie store
Cintas Uniform Services,4020 Nelson Ave,Uniform store
Walgreens,1800 Concord Ave,Drug store
Luxury Perfumes,357 Sun Valley Mall,Perfume store
Hat Club,175 Sunvalley Shopping Ctr,Hat shop
SPENCER'S,115 Sun Valley Mall,Clothing store
Aramark Uniform Services,5000 Forni Dr,Uniform store
SEPHORA inside JCPenney,484 Sun Valley Mall,Cosmetics store
BoxLunch,"1 Sun Valley Mall, 116a E",Clothing store
