name,address,type
No Rest For Bridget Costa Mesa,250 E 17th St b,Women's clothing store
Macy's,3333 Bristol St Ste 6000,Department store
SO-LO Consignment Boutique,112 E 18th St,Women's clothing store
Buffalo Exchange,2930 Bristol St a109,Used clothing store
BOSS Store,3333 Bristol St Suite #1212,Clothing store
Crossroads Trading,1835 Newport Blvd,Clothing store
Abercrombie & Fitch,3333 Bristol St Ste 1821,Clothing store
2nd STREET Costa Mesa,2937 Bristol St d101,Used clothing store
UNIQLO,3333 Bristol St Space 1064 - 1084,Clothing store
DIESEL STORE COSTA MESA,"3333 Bear St c/o South Coast Plaza, Store 310",Clothing store
Express,3333 Bristol St Space 1057,Clothing store
Lubiani II Inc.,1794 Newport Blvd,Men's clothing store
Commissary Store,2968 Randolph Ave Wardrobes,Men's clothing store
Ross Dress for Less,289 E 17th St,Clothing store
Coast Clothing Co,88 Fair Dr,Clothing store
Newport Wear,1790 Newport Blvd,Women's clothing store
Costa Cabana,1686 Tustin Ave,Women's clothing store
Southwest Ltd.,1765 Santa Ana Ave E-101,Vintage clothing store
Style Society Boutique,178 Wells Pl,Women's clothing store
John Varvatos,3333 Bristol St,Men's clothing store
Wicked Chamber Boutique,1959 Harbor Blvd,Costume store
Target,9882 Adams Ave,Department store
INTERMIX,3333 Bristol St,Women's clothing store
H&M,3333 Bear St,Clothing store
kids atelier (South Coast Plaza),3333 S Coast Dr #1018,Children's clothing store
Macy's Men's Store,3333 S Bristol St,Men's clothing store
Marshalls,901 S Coast Dr,Clothing store
Urban Outfitters,2930 Bristol St,Clothing store
LFT by No Rest For Bridget,3033 Bristol St suite b,Women's clothing store
Nordstrom South Coast Plaza,3333 Bristol St,Clothing store
Lacoste,3333 Bristol St #2820,Clothing store
Bloomingdale's,3333 S Bristol St,Clothing store
"b.spoke, Bespoke and Custom Suits Orange County",3151 Airway Ave Q2,Men's clothing store
Aritzia,3333 Bristol St,Women's clothing store
J.Crew - The Men's Shop,3333 Bristol Street Space #2830,Men's clothing store
Shop Common Thread,369 E 17th St #20,Women's clothing store
Canali Boutique,"3333 Bristol Street The Penthouse at South Coast Plaza, #3000",Men's clothing store
Talbots,3333 Bear St,Women's clothing store
Weekend Max Mara,3333 Bristol St,Women's clothing store
Jacadi,"SOUTH COAST PLAZA, 3333 Bristol St",Children's clothing store
Free People,3333 Bristol St Ste 1844,Women's clothing store
Max Mara Costa Mesa,Bristol Street Unit 1407 3333 #1407,Women's clothing store
Wicked Chamber Boutique,1959 Harbor Blvd,Costume store
Target,9882 Adams Ave,Department store
Madewell,3333 Bristol St Suite 2831,Clothing store
J.Jill,3333 Bear St,Women's clothing store
Escada,3333 Bristol St #2207,Clothing store
Zara,3333 Bristol St,Clothing store
Tillys,901 K S Coast Dr #180,Clothing store
Old Navy,901 S Coast Dr,Clothing store
Scotch & Soda,3333 Bristol St #2805,Clothing store
Collected Threads,2194 Meyer Pl,Men's clothing store
Anne Fontaine,3333 Bristol St Unit 1255,Women's clothing store
Antas Apparel,"Building 2, 3001 Red Hill Ave #107",Western apparel store
Chico's,3333 Bear St suite 203,Clothing store
Maje South Coast Plaza - Temporarily Closed,3333 Bristol St Suite 2848,Women's clothing store
International Suit,2790 Harbor Blvd #109,Men's clothing store
Etoile on 17th,369 E 17th St #16,Clothing store
Rococo Boutique,3270 369 E 17th St #25,Women's clothing store
Ann Taylor,3333 Bristol St,Women's clothing store
Anthropologie,"South Coast Plaza, 3333 Bear St #143",Women's clothing store
Gap,3333 Bristol St SUITE # 2837,Clothing store
HiLife Clothing,369 E 17th St,Clothing store
Ted Baker,3333 Bristol St,Clothing store
Wicked Chamber Boutique,1959 Harbor Blvd,Costume store
EILEEN FISHER,3333 Bristol St Suite 2007,Clothing store
Target,3030 Harbor Blvd A,Clothing store
Stone Cold Fox,1958 Placentia Ave,Women's clothing store
Landers Supply House,2139 Harbor Blvd,Clothing store
Doll Boutique,270 E 17th St #5,Women's clothing store
babyGap,3333 Bristol St,Baby clothing store
Miel,3313 Hyland Ave,Clothing store
Saks Fifth Avenue,"SOUTH COAST PLAZA, 3333 S Bristol St",Department store
Dirt Cheap Plants and Hawaiian Shirts,440 E 17th St a,Clothing store
Tadashi Shoji - South Coast Plaza,3333 Bristol St #2801,Women's clothing store
Saks OFF 5TH,901 S Coast Dr,Store
Prism Boutique,2930 Bristol St #105,Women's clothing store
BCBGMAXAZRIA at Macy's,3333 S Bristol St,Clothing store
Forever 21,3333 Bristol St,Clothing store
Occasion Kids,3033 Bristol St,Clothing store
Massimo Dutti,3333 Bristol St,Clothing store
Maje Bloomingdales South Coast Plaza - Temporarily Closed,3333 S Bristol St,Women's clothing store
Chloé,3333 Bristol St Suite 2225,Women's clothing store
AllSaints,"SOUTH COAST PLAZA, 3333 Bristol St",Clothing store
Beach Riot,1727 Superior Ave,Clothing store
BYLT Basics,1981 Placentia Ave,Clothing store
PACSUN,901 S Coast Dr,Clothing store
David August Inc,3140 Airway Ave,Men's clothing store
Club Monaco,3333 Bristol St,Clothing store
Newport Sailing Outfitters DBA The Sailing Pro Shop,1510 Newport Blvd,Men's clothing store
TYJ Clothing,3011 Unit B Harbor Blvd,Clothing store
Emporio Armani Costa Mesa,3333 Bristol St,Clothing store
Chanel,3333 Bristol St,Clothing store
The North Face,3333 Bear St #207,Clothing store
Ralph Lauren,3333 Bristol St Space 1638,Clothing store
YourLamode,,Clothing store
abercrombie kids,3333 Bristol St Ste 1024,Children's clothing store
BALENCIAGA,"3333 Bristol Street South Coast, Plaza Suite 2231",Women's clothing store
Stella McCartney Costa Mesa,3333 Bristol St #2216,Women's clothing store
Saint Laurent,3333 Bristol St Suite 2224,Clothing store
GUESS,3333 Bristol St #1224,Clothing store
GapKids,3333 Bristol St,Children's clothing store
HUGO Store,3333 Bristol St #1615,Men's clothing store
Thai Nguyen Atelier,3303 Harbor Blvd d2,Women's clothing store
A|X Costa Mesa,3333 Bristol St,Clothing store
