name,address,type
Book Rack,La Quinta,Used book store
L-Book ePublisher,La Quinta,Book store
Desert Outlets,,Book store
Goodwill Southern California Store & Donation Center,La Quinta,Book store
BOGIE,,Book store
Barnes & Noble,Palm Desert,Book store
Faith & Recovery Books & Gifts Inc.,Palm Desert,Book store
College of the Desert Indio Campus Bookstore,Indio,Book store
Coyote Bookstore - Palm Desert Campus,Palm Desert,Book store
Novel About the History-Golf,Palm Desert,Book store
Muriel Breary Book Store,Indian Wells,Book store
User-Friendly Phone Book Llc,Palm Desert,Book store
Desert Oasis Comics,Palm Desert,Comic book store
