name,address,type
Dandelion Post,421 40th St,Clothing store
K&G Fashion Superstore,3020 E 9th St,Clothing store
Oaklandish,1444 Broadway,Clothing store
Oak Common,3231 Grand Ave,Clothing store
Oaklandish,3419 Fruitvale Ave,Clothing store
Beast Mode® Apparel - Oakland,811 Broadway,Clothing store
Serrahna,5303 College Ave,Women's clothing store
Clothing Town,3340 Foothill Blvd,Men's clothing store
McMullen,2257 Broadway,Clothing store
BOSK,465 9th St,Men's clothing store
Citi Trends,900 Market St Suite J-1,Clothing store
Spoiled Boutique,300 Frank H. Ogawa Plaza,Women's clothing store
Rainbow Shops,7200 Bancroft Ave,Women's clothing store
Field Day,329 19th St,Women's clothing store
Rainbow Shops,10700 MacArthur Blvd,Women's clothing store
Beast Oakland,3720 MacArthur Blvd,Clothing store
Urban Wear,10950 International Blvd # K1,Men's clothing store
Knimble,3258 Grand Ave,Used clothing store
Suru,1624 Telegraph Ave,Clothing store
AMG7 Clothing Store,425 Lee St,Clothing store
Threadz Culture and Fashion,Oakland,Clothing store
Ross Dress for Less,Oakland,Clothing store
Chic,Oakland,Clothing store
Oakland's Own,Oakland,Clothing store
Virgin Only,Oakland,Women's clothing store
Calculated Clothing Headquarters,Oakland,Men's clothing store
Town Biz Oakland,Oakland,Clothing store
Ali Golden,Oakland,Women's clothing store
Dope Era,Oakland,Clothing store
Calculated Clothing,Oakland,Men's clothing store
The Moon,Oakland,Women's clothing store
Standard & Strange,Oakland,Men's clothing store
Oakland Authentic Clothing,Oakland,Clothing store
Q's Clothing Inc,Oakland,Clothing store
Pure Oakland,Oakland,Clothing store
Cuates Western Wear,Oakland,Men's clothing store
Elizabeth's Fashions,Oakland,Women's clothing store
Crush On College,Oakland,Women's clothing store
Ross Dress for Less,Oakland,Clothing store
In Full Swing Plus Sizes,Oakland,Women's clothing store
Mercy Vintage,4188 Piedmont Ave,Vintage clothing store
Fit,5707 College Ave,Women's clothing store
Minds Eye Vintage,484 49th St,Vintage clothing store
New World Fashion,1254 23rd Ave,Women's clothing store
Five and Dime Vintage,4125 Piedmont Ave Suite #3,Vintage clothing store
Pretty Woman Fashion Store,,Women's clothing store
Maple Street Denim,4266 Piedmont Ave,Clothing store
411 Oakland,411 26th St,Clothing store
Isha Couture,2569 MacArthur Blvd,Clothing store
Ruby's Garden,5026 Telegraph Ave,Children's clothing store
Silver Moon Kids,3233 Lakeshore Ave,Children's clothing store
dd's DISCOUNTS,7200 Bancroft Ave,Clothing store
Gap,3277 Lakeshore Ave,Clothing store
On the Runway,3407 High St,Clothing store
McCaulou's Department Store,2020 Mountain Blvd,Department store
Anatoly's,3864 Piedmont Ave,Men's clothing store
LaliSimone,3924 MacArthur Blvd,Vintage clothing store
Beehive Clothing,4915 Lincoln Way,Clothing store
Lesley Evers,5709 College Ave,Women's clothing store
Out of the Closet - Oakland,238 E 18th St,Clothing store
Hello Vintage,5488 College Ave,Vintage clothing store
Sportswear Manufacturer,375 12th St,Clothing store
Hula,6136 La Salle Ave,Women's clothing store
A Step Forward Shoes & Apparel,4018 Piedmont Ave,Shoe store
Movement Ink,,Clothing store
New World Children Wear,301 10th St,Children's clothing store
All Things Vintage,3506 Woodruff Ave,Vintage clothing store
Fashion for you boutique,3816 International Blvd,Women's clothing store
Mizaan,4050 MacArthur Blvd,Women's clothing store
Regina's Door,352 17th St,Clothing store
Mc Intosh Fry Apparel Co,2633 Telegraph Ave,Women's clothing store
Little Lefties,800 Jefferson St,Children's clothing store
Urbanity Designer Consignment,3879 Piedmont Ave,Women's clothing store
Dinandougou,2517 Telegraph Ave,Clothing store
JEAJA Design Studio,319 14th St,Clothing store
Julia,807 E 12th St,Women's clothing store
Sasha House,388 9th St #122,Women's clothing store
Crossroads Trading,5901 College Ave,Used clothing store
The Modern Hanger,2706 MacArthur Blvd,Women's clothing store
Old West Western Wear,3347 International Blvd,Western apparel store
Target,5001 Junipero Serra Blvd,Department store
Sola Lucy,2220 Mountain Blvd,Women's clothing store
Lee's Fashion & Leather Co,302 8th St,Clothing store
Child's Play,5858 College Ave,Used clothing store
Graveyard Shift Clothing,72 98th Ave,Clothing store
Altered Waste,1218 Miller Ave #302,Vintage clothing store
Says Who At Seams To Fit,6527 Telegraph Ave,Women's clothing store
Freshkiss,1232 19th St #12,Clothing store
Wallis Fashion Inc,1100 8th Ave,Clothing store
Hanger 19 Silk Screening - PunkStuff.com - WierdWonderTees.com,1125 Miller Ave,Custom t-shirt store
Myrrhia Fine Knitwear,481 25th St,Clothing store
The People's Store,2366 High St,Clothing store
The Spot Oakland,375 15th St,Clothing store
Shoe Palace,4900 Telegraph Ave,Clothing store
girl army,103 International Blvd,Clothing store
LadyBuggz Boutique,2201 Broadway,Clothing store
Head Banger Accessories,815 Washington St,Clothing store
Oakland Supply Co.,427 Water St,Boutique
Mermaid Boutique,900 Franklin St,Clothing store
Mod y Vi,308 Jackson St #2,Clothing store
Mc Mullen,831 Broadway,Clothing store
