name,address,type
Anh Restaurant & Bar,1950 Esplanade Dr,Vietnamese
Hotel Mac Restaurant,50 Washington Ave,American
Assemble Restaurant,1414 Harbour Way S,New American
Brezo,135 Park Pl,Restaurant
Pikanhas Brazilian Steakhouse,25 W Richmond Ave.,Steak
Hương Trà Restaurant & Deli,12221 San Pablo Ave #8,Vietnamese
Anaviv's Table,600 Hoffman Blvd,Restaurant
Botto Bistro,,Italian
Snapper's Seafood Restaurant,1501 Ohio Ave,Seafood
Up & Under Pub and Grill,2 W Richmond Ave.,Grill
Phila Burger Station,1100 23rd St,Fast Food
Nobilis Restaurant,1900 Stenmark Dr,American
Taqueria La Bamba,12345 San Pablo Ave,Salvadoran
Aky's Café,201 Tewksbury Ave,Cafe
Sala Thai,15501 San Pablo Ave suite f,Thai
Little Louie’s Café & Catering,49 Washington Ave,Cafe
Sichuan Fusion,3288 Pierce St,Asian Fusion
Saigon Seafood Harbor Restaurant,3150 Pierce St,Seafood
Portumex,721 23rd St,Mexican
Tamales Tamazula,veterans hall,Mexican
Mägo,Oakland,Restaurant
Daimo Chinese Restaurant,Richmond,Chinese
Bubbaloo Café,Richmond,Restaurant
Gangnam Tofu Korean Cuisine,El Cerrito,Korean
2207,Richmond,Korean
Sukie's Country Kitchen,San Pablo,American
La Strada,San Pablo,Italian
Rockin Crawfish,San Pablo,Seafood
Red Onion,El Cerrito,Hamburger
Kao Sarn Thai Cuisine,Richmond,Thai
Sa Wad Dee Thai Restaurant,Richmond,Thai
the artisan cafe,Richmond,Sandwich
Tsing Tao,Richmond,Chinese
Maya Taqueria,Richmond,Mexican
RICHMOND PIZZA HOUSE,Richmond,Pizza
Rivoli,Berkeley,New American
New Soul Cafe,Richmond,Soul
Great American Hamburger,Richmond,American
El Palenque Grill,San Pablo,Mexican
Mississippi Catfish,Richmond,Seafood
Jin Ye Restaurant,Richmond,Chinese
Cafe Soleil,3550 San Pablo Dam Rd,Breakfast
Q's Halal Pizza,12847 San Pablo Ave,Mediterranean
La Lupita Mexican Eatery,2167 Meeker Ave,Mexican
Larb Thai Food & Tapas,10166 San Pablo Ave,Thai
Cafe McBryde,4925 McBryde Ave,Restaurant
La Fusion Restaurant,"1257, 1045 23rd St",Brazilian
Angel's,12469 San Pablo Ave,Breakfast
Taqueria La Estrella,325 23rd St #1723,Mexican
Raymond’s Pizzeria,130 Railroad Ave,Pizza
Tres Hermanas,12620 San Pablo Ave,Mexican
Tempero Goiano - Brazilian Restaurant & Coffe House,12221 San Pablo Ave,Brazilian
Zaytoon,1133 Solano Ave,Mediterranean
La Selva Taqueria,1049 23rd St,Mexican
Taqueria El Agricultor,550012006,Restaurant
Taqueria Chavinda,3330 Cutting Blvd,Mexican
El Sol Restaurant & Catering - Richmond,101 Park Pl,Mexican
La Gran Chiquita Restaurant,250 23rd St,Mexican
Asian Pearl Seafood Restaurant,3288 Pierce St a118,Seafood
Yoshio Sushi,10889 San Pablo Ave,Sushi
La Bahia De Jiquilisco,1096 23rd St,Salvadoran
Cafe Soleil,3550 San Pablo Dam Rd,Breakfast
Q's Halal Pizza,12847 San Pablo Ave,Mediterranean
La Lupita Mexican Eatery,2167 Meeker Ave,Mexican
Larb Thai Food & Tapas,10166 San Pablo Ave,Thai
Cafe McBryde,4925 McBryde Ave,Restaurant
La Fusion Restaurant,"1257, 1045 23rd St",Brazilian
Angel's,12469 San Pablo Ave,Breakfast
El Pollo Loco,13139 San Pablo Ave,Mexican
Boulevard Fish & Barbeque,3051 Cutting Blvd,Seafood
Salsa Taqueria,1190 Macdonald Ave # B,Mexican
Hoshi Sushi,10561 San Pablo Ave #2808,Sushi
Phở Thái Hùng,12860 San Pablo Ave,Vietnamese
Tacos El Chino,2300 Humphrey Ave,Mexican
San Francisco Pizza & Restaurant,1190 Macdonald Ave,Pizza
Tacos Los Primos,550 23rd St,Tacos
CECI'S MEXICAN FOOD,695 Harbour Way,Restaurant
Phở Saigon II,3288 Pierce St A116,Vietnamese
J J Fish & Chicken,3600 Macdonald Ave A,Restaurant
Me-n-Ed's,3800 Klose Way,Pizza
Kimchee Tofu House,3288 Pierce St a103,Korean
La Flor De Jalisco Taqueria,12951 San Pablo Ave,Mexican
PJ's Restaurant & Cocktail,3721 San Pablo Dam Rd,Italian
Mariscos las charolas,1150 23rd St,Restaurant
Joy Cafe 94801,1400 Macdonald Ave,Chinese
Tacos El Tucan,12505 San Pablo Ave,Restaurant
El Charrito,632 23rd St,Mexican
H. Salt Fish & Chips,12951 San Pablo Ave,Fish & Chips
Quiznos,2175 Meeker Ave,Sandwich
Mr. Pizza Man,353 24th St,Pizza
EurAsia,12221 San Pablo Ave,Asian
Sit & Stay Cafe,2701 Isabel St,American
Krispy Krunchy,575 23rd St,Chicken
Extreme Pizza,151 Park Pl,Pizza
Caspers Hot Dogs- Richmond,2530 Macdonald Ave #1825,Hot Dog
El Burrito Loco,2900 Hilltop Mall Rd,Mexican
El Campesino Bar & Grill,232 23rd St,Grill
Rincon Michoacano,3231 Macdonald Ave,Mexican
El Agave Azul,12955 San Pablo Ave,Restaurant
Kebab Express,13350 San Pablo Ave,Mediterranean
Tacos La Raza,514080011,Tacos
Mägo,3762 Piedmont Ave,Restaurant
Chris' Kitchen Soul Food,1260 Rumrill Blvd,Soul
ISSHIN RAMEN,3288 Pierce St c136,Ramen
Tacos Las Palmas,2220 Cutting Blvd,Mexican
Inca's Palace,3288 Pierce St A-105,Peruvian
Tacos El Autlense,601 San Pablo Ave #2,Mexican
310 Eatery,747 San Pablo Ave,Restaurant
Los Mexicanos Deli,779 23rd St,Mexican
Restaurant el chaparro sabor original barbacoa de borrego estilo hidalgo,1087 23rd St,Mexican
Golden Star Cafe,1400 Macdonald Ave,Restaurant
Tarabini's Deli,322 Harbour Way #7,Fast Food
Juanita & Maude,825 San Pablo Ave,New American
Panda Express,4250 Macdonald Ave,Chinese
C J's BBQ & Fish,2401 Macdonald Ave,Restaurant
Los Tres Gallos Giros,1023 13th St,Restaurant
Wendy's,12201 San Pablo Ave,Fast Food
Metapan Restaurant,232 23rd St,Restaurant
Cocina Guatemalteca,12929 San Pablo Ave,Guatemalan
