name,address,type
Plymire-Schwarz House Museum,519 Grand Ave,Museum
Colma Historical Association,1500 Hillside Blvd,Museum
SFO Museum Louis A. Turpen Aviation Museum and Library,,Museum
Serbian Cultural Center and Museum,1801 Hillside Blvd,Museum
Molloy's,1655 Mission Rd #6,Irish pub
ITALIAN CEMETERY,540 F St,Museum
Mark Osborne I's Grave Site,,Museum
CuriOdyssey,1651 Coyote Point Dr,Non-profit organization
Wyatt Earp gravesite,,Museum
SFO Museum Gallery Terminal 2,"San Francisco International Airport, Terminal 2",Museum
Q&As,106 Merced Dr,Museum
Peninsula Museum of Art,1777 California Dr,Modern art museum
Pacifica Coastside Museum at the Little Brown Church,1850 Francisco Blvd,Local history museum
Fly Explore Video Arts,,Modern art museum
Millbrae Train Museum,108 California Dr,Rail museum
Sam's Castle,900 Mirador Terrace,Museum
Wojciech Adalbert Głuszek grave,,Museum
SFO Museum Gallery Terminal 3,Terminal 3,Museum
Cat Museum of San Francisco,,Museum
Sky Terrace,Terminal 2,Observation deck
Daly City History Museum,Daly City,Museum
Museum of Craft and Design,San Francisco,Art museum
The Global Museum,San Francisco,Museum
Welcome To Ocean Avenue Mural,San Francisco,Museum
Mission Science Workshop - Excelsior Site,San Francisco,Science museum
Sweeney Ridge - Sneath Ln Trailhead,,Museum
San Francisco Museum of Modern Art,San Francisco,Modern art museum
Egbert Ave Murals (2018.05),San Francisco,Open air museum
Randall Museum,San Francisco,Science museum
SFO Museum International Terminal ( FLY & EXPLORE VIDEO ARTS ),San Francisco,Modern art museum
South Edge Gallery,San Francisco,Museum
GLBT Historical Society Museum,San Francisco,Museum
Imagination City,San Bruno,Children's museum
San Andreas Trail,San Bruno,Museum
Frank V. de Bellis Collection,San Francisco,Heritage museum
San Francisco Jewelry Museum,San Francisco,Museum
Maker Faire,San Mateo,Museum
Sons of Italy,San Francisco,Museum
Mirror Labyrinth,San Mateo,Art museum
Eric Joyner Art Studio,,Museum
Cooperstown S. F. Baseball Hall Of Fame Exhibit,124 King St,Museum
"USS Hornet - Sea, Air and Space Museum",707 W Hornet Ave,History museum
San Francisco Railway Museum,77 Steuart St,Rail museum
California Historical Society,678 Mission St,History museum
Graffiti MUSEUM,30 Clarion Alley,Museum
Museum of the African Diaspora,685 Mission St,Art museum
Asian Art Museum,200 Larkin St,Art museum
The David Ireland House,500 Capp St,Historical place museum
MHS Museum,3750 18th St,Local history museum
de Young Museum,50 Hagiwara Tea Garden Dr,Art museum
Turner Art Gallery,CO-119,Museum
The Poetry Center,1600 Holloway Ave,Museum
The Mexican Museum,649 Mission St #419,Museum
Dogpatch Arts Plaza,901-1049 19th St,Museum
Galería de la Raza / Estudio 16,1990 Folsom St,Museum
California Academy of Sciences,55 Music Concourse Dr,Science museum
Legion of Honor,100 34th Ave,Art museum
Mission Science Workshop,3750 18th St,Science museum
Poster Wall,1243-1217 Valencia St,Museum
废车场,201-313 Talbert St,Museum
Cooperstown S. F. Baseball Hall Of Fame Exhibit,124 King St,Museum
"USS Hornet - Sea, Air and Space Museum",707 W Hornet Ave,History museum
San Francisco Railway Museum,77 Steuart St,Rail museum
California Historical Society,678 Mission St,History museum
Graffiti MUSEUM,30 Clarion Alley,Museum
Maxime Leforestier's blue house,3841 18th St,Museum
Oakland Museum of California,1000 Oak St,Museum
Ligt Babe Mural,3884 17th St,Museum
San Francisco Cable Car Museum,1201 Mason St,Rail museum
Luna's Press and Bookstore,3790 Mission St,Museum
Corbin Steps,77-27 Corbin Stairs,Museum
Contemporary Jewish Museum,736 Mission St,Ethnographic museum
The Walt Disney Family Museum,104 Montgomery St,Museum
Качелі,3400-3416 Folsom St,Museum
Alameda Naval Air Museum,2151 Ferry Point,Museum
Children's Creativity Museum,221 4th St,Children's museum
International Art Museum of America,1023 Market St,Art museum
Seals Statue (category: statuary),"Giants Promenade, 24 Willie Mays Plaza",Museum
15 Boardman,15 Boardman Pl,Museum
Cohen Bray House,1440 29th Ave,Museum
San Francisco Fire Department Museum,655 Presidio Ave,Museum
Orlando Cepeda Statue,,Museum
Alameda Museum,2324 Alameda Ave,Historical society
The Happy House,1807 Sebastian Dr,Museum
Chateau Dolores,3809 20th St,Museum
Pardee Home Museum,672 11th St,Museum
African American Museum and Library at Oakland,659 14th St,Museum
USS Pampanito,Pier 45,Museum
Pacific Heritage Museum,608 Commercial St,History museum
Camron-Stanford House,1418 Lakeside Dr,Museum
Tenderloin Museum,398 Eddy St,Museum
Musée Mécanique,"Pier 45, Fishermans Wharf",Museum
Beat Museum,540 Broadway,Museum
Hiller Aviation Museum,601 Skyway Rd,Museum
Pacific Pinball Museum 1510 Webster Street,1510 Webster St,Museum
San Francisco Korean American Museum,1805 3rd Ave,Museum
Montara Mountain,Montara Mountain Trail,Museum
Max Muncy Home Run Ball Viewpoint,San Francisco Bay Trail,Museum
CRAFTSMAN,253 Terry A Francois Blvd,Museum
Letterform Archive,1001 Mariposa St #307,Library
