name,address,type
So Lavish Salon & Spa,331 Main St suite a,Beauty salon
Tasaris Le Salon,334 Parker St,Beauty salon
The Last Tangle Salon,348 Cernon St,Beauty salon
Aqua Hair Salon & Spa,1021 Hume Way # E,Beauty salon
Bloom Hair and Beauty Studio,372 Merchant St,Beauty salon
Salon Philosophie,116 Peabody Rd,Beauty salon
Essenza Salon Spa Studio,315 Main St,Beauty salon
Expressions Salon,"412 B, Cernon St",Beauty salon
Vogue Salon & Spa,501 Nut Tree Ct,Beauty salon
Salon Bella Sol,326 Cernon St,Beauty salon
G. G.'s Hair Salon,1989 Peabody Rd,Beauty salon
Platinum Hair Salon,400 Cernon St STE C,Beauty salon
Hairendipity Salon,329 Parker St,Beauty salon
Genesis Hair Salon,667 Merchant St,Beauty salon
Beauty Box Spa & Salon,425 Stevenson St,Nail salon
Fantasy Hair & Nail Salon,1490 Alamo Dr,Beauty salon
Mirage Salon & Spa,536 E Main St,Beauty salon
Unique Hair Salon,479 Mason St # 121A,Beauty salon
Bello Flore,311 Merchant St,Beauty salon
Rumourz Beauty Supply & Salon,1110 Marshall Rd # D,Beauty salon
Beauty Salon Supplies & More,890 Alamo Dr,Beauty salon
Elements Of Style Salon & Skincare Studio,198 Dobbins St,Hair salon
Salon In the City,333 Merchant St,Beauty salon
Elms Beauty,747 E Monte Vista Ave,Beauty salon
It's All About Me,131 Peabody Rd,Beauty salon
Studio 13 Salon & Boutique,350 Main St,Beauty salon
Fantastic Sams Cut & Color,210 Peabody Rd,Hair salon
Supercuts,3033 Alamo Dr,Beauty salon
Polished Beauty Lounge,403 Elizabeth St,Beauty salon
Prima Bella Salon & Boutique,400 Davis St,Beauty salon
Talk of the Town Salon,358 Merchant St,Beauty salon
Hope 2B Beautiful Beauty Salon,350 Main St,Beauty salon
Salon BIJOU,,Beauty salon
Noggins N Nails,198 Dobbins St # F,Nail salon
Suite One Hair & Nail Studio,831 Alamo Dr,Nail salon
Dream Nails Spa,150 Nut Tree Pkwy,Nail salon
Great Clips,601 Elmira Rd Ste 601,Beauty salon
Crystal Nails,2032 Nut Tree Rd,Beauty salon
Great Clips,152 Browns Valley Pkwy,Beauty salon
Serenity Nail Spa,324 Cernon St,Nail salon
Renegades Salon & Spa,858 Alamo Dr,Beauty salon
Hello Nail & Spa,211 Peabody Rd,Nail salon
Nvus Nails,831 Alamo Dr #2,Nail salon
Hawaii Nails & Spa,148 Browns Valley Pkwy,Nail salon
Lavender Nails & Spa,139 Peabody Rd,Beauty salon
Elegant Nails,1969 Peabody Rd #2,Nail salon
Blossom Nails & Spa,1110 Leisure Town Rd #30,Nail salon
Erasmo's Studio,430 Boyd St,Beauty salon
Star Nail Spa,1021 Hume Way ste f,Nail salon
Supercuts,2080 Harbison Dr Ste D,Beauty salon
Kings Cuts,819 Davis St # E,Beauty salon
Top Coat Nails Spa,1631 E Monte Vista Ave #105,Nail salon
L'amour Nail Shop,1961 Alamo Dr # B,Nail salon
Envy Nails & Spa,500 Elmira Rd,Nail salon
The Thairapy Lounge,590 Merchant St,Beauty salon
Pure Nails,921 Merchant St,Nail salon
Cali Nails Spa,196 Nut Tree Pkwy,Nail salon
Perfect Eyebrows,2036 Nut Tree Rd,Beauty salon
Paradise Nails & Spa,2040-B Harbison Dr,Beauty salon
Vacaville Nails,3085 Alamo Dr,Nail salon
Nice Nails & Spa,635 Elmira Rd,Nail salon
Natural Attitude Salon & Boutique,,Beauty salon
Mirror Mirror Salon Spa Boutique,331 Main St A,Beauty salon
Hot Shots Salon Spa,406 Elizabeth St,Beauty salon
Barber Joe's,444 Main St,Beauty salon
Lashed by kim,411 Elizabeth St,Beauty salon
The Pinup Parlor,419 Mason St #211,Beauty salon
House of Hue Nails & Spa,501 Davis St suite c,Nail salon
Puja Brows & Boutique,321 Nut Tree Rd #331d,Beauty salon
Perfect Eyebrows,953 Alamo Dr,Beauty salon
NouVeau Skin Studio & Salon (formerly Skin Works by Sandy),412 Elizabeth St,Hair salon
Gaia Nails,1610 E Monte Vista Ave #102,Nail salon
Lisa's Nails,955 Alamo Dr,Nail salon
BeautyByBenicia,537 Merchant St,Beauty salon
Blondies Classic Cuts & Colors,763 E Monte Vista Ave,Beauty salon
Angel Nail & Spa,1615 E Monte Vista Ave #102,Nail salon
Pro Nails,761 E Monte Vista Ave,Nail salon
Peacock Lounge A Color Bar By,348 Merchant St,Beauty salon
"Zay ""Essential Salon""",479 Mason St,Beauty salon
Hair By Nickolette,141 Parker St B,Beauty salon
Ulta Beauty,1641 E Monte Vista Ave Ste C,Beauty salon
Nails by Jenny,"333-d, Merchant St",Nail salon
Habit Salon,858 Alamo Dr B,Hair salon
Elm's Beauty,747 E Monte Vista Ave,Hair salon
Eiffel Tower Nails-Spa,1021 Hume Way # F,Nail salon
Annabelle's,179 Elmira Rd # D,Nail salon
HELLO BEAUTIFUL,412 Cernon St,Beauty salon
Alyce Murphree,1001 Nut Tree Rd,Beauty salon
Wink,407 Elizabeth St,Beauty salon
Alamo Nails,892 Alamo Dr,Nail salon
Sunlight Nail Spa,1021 Hume Way # F,Nail salon
NouVeau Skin Studio,412 Elizabeth St #B,Skin care clinic
La Barbalon | Barber Shop + Hair Salon,901 Merchant St,Hair salon
Maly's,211 Peabody Rd,Beauty salon
Tropical Looks Day Spa,2080 Harbison Dr f2,Day spa
Bottoms Up Tanning & Spa,981 Alamo Dr,Tanning salon
Beauty 2 U,3015 Alamo Dr,Hair salon
Blake Austin College - Beauty Academy,1679 E Monte Vista Ave Suite 200,Beauty salon
Klé Salon,831 Alamo Dr #1,Hair salon
Faded & Styled Salon,750 Merchant St,Hair salon
Divina Hair Studio,1969 Peabody Rd,Hair salon
Simply FAB,400 Davis St,Hair salon
Renee's House Of Hair,"590 C, Merchant St",Hair salon
Skin Works by Sandy at Vogue Salon and Spa,501 Nut Tree Ct,Beauty salon
Sport Clips Haircuts of Vacaville - Nut Tree Village,1631 E Monte Vista Ave K101,Hair salon
Le Nails Spa,1671 E Monte Vista Ave Ste 103,Nail salon
Jon Edwards Salon and Spa,536 Main St,Beauty salon
Hue Beauty Lounge,173 Leisure Way,Beauty salon
European Wax Center,1630 E Monte Vista Ave,Waxing hair removal service
The Beautyque,372 Merchant St,Beauty salon
Glitz & Glam Skin Care and Body Art,1021 Hume Way,Hair removal service
Adreana's Hair Design,536 Main St,Hair salon
Merle Norman Cosmetic Studio,368 Merchant St,Beauty salon
Ilse’s salon,111 Brown St suite c,Hair salon
Estheem Spa Boutique,418 Elizabeth St,Day spa
Glorias Beauty Spa,840-A Lovers Ln STE 4,Waxing hair removal service
Eyebrow Threading Plus Cosmo,1110 Marshall Rd A,Beauty school
Fritch Paula Permanent Hair Removal,536 Main St,Hair removal service
Skin Deep Solutions,595 Buck Ave ste g,Laser hair removal service
Gallery Nails & Spa,210 Peabody Rd,Day spa
Blush Beauté by Design,412 Cernon St Suite A,Facial spa
Massage Envy,196 Nut Tree Pkwy Suite C,Massage spa
"Sophia Evon Spa - Facials, Microdermabrasion, Waxing.",530 Merchant St,Day spa
Shear Delight,866 Studding Sail St,Beauty salon
"Atma Wholistic Day Spa | Waxing & Skin Care, Best Massage Therapy",500 Merchant St,Beauty salon
​Skin & Body Refuge,418 Elizabeth St,Beauty salon
Skye @ Barber Joe's,444 Main St,Beauty salon
Northern California Facial & Oral Surgery,301 Alamo Dr suite e,Oral surgeon
SalonCentric,211-B Peabody Rd,Beauty supply store
Personally Yours - Skincare & Lash Studio,840 Lovers Ln,Facial spa
Supercuts,3336 N Texas St Suite E,Beauty salon
De Allore Hair Studio,217B Parker St,Hair salon
Microblading By Anthony,530 Merchant St,Eyebrow bar
Salon 5,1500 Oliver Rd,Beauty salon
Sally Beauty,2080 Harbison Dr ste g,Beauty supply store
Natural Tans,858 Alamo Dr # A,Tanning salon
CosmoProf,105 Elmira Rd Ste 500,Beauty supply store
