name,address,type
Target,2700 5th St,Clothing store
Lauren's Closet,1420 Park St,Used clothing store
Aphrodite's Closet,930 Central Ave,Clothing store
Ross Dress for Less,2130 S Shore Center,Clothing store
Lanvie Inc,1419 Park St,Clothing store
To Herb with Love,1336A Park St,Clothing store
Lanvie Outlet,1501 Webster St,Women's clothing store
Old Navy,2212-A S Shore Center,Clothing store
Alameda Vintage Fashion Faire,2701 Monarch St,Vintage clothing store
Lilac Dress Boutique,1918 Encinal Ave,Boutique
T.J. Maxx,2250 S Shore Center,Clothing store
Carter's,2202 S Shore Center Suite A,Children's clothing store
Target,2700 5th St,Clothing store
J Couture,1513 Webster St,Women's clothing store
Micaela Greg,1202 Lincoln Ave,Women's clothing store
Bogattah,2149 Otis Dr #337,Clothing store
Therapy Stores,1428 Park St,Boutique
All Good Living AGL collective,2332 Alameda Ave,Custom t-shirt store
Mastick Senior center thrift store,,Clothing store
Janene's Bridal Boutique,2226 S Shore Center,Bridal shop
Offhand Designs,918 Central Ave,Clothing store
Round Robin Consignment Store,146 Main St,Consignment shop
Target,19499 Stevens Creek Blvd,Department store
Fire Tiki,1716 Lincoln Ave,Clothing store
Dubsack,,Clothing store
Tot Tank,1413 Park St,Baby store
Ski clothes,1099-1001 Willow St,Clothing store
MDG Promo,1501 Viking St # 103,Clothing store
Ross,,Clothing store
Mamawear Nursing Apparel,1205 Lincoln Ave,Women's clothing store
Goodwill,2319 Lincoln Ave,Donations center
Rocket Reuse,1355 Park St,Used book store
The Salvation Army Family Store & Donation Center,1918 Park St,Thrift store
Your Divine,,Women's clothing store
MUNTUU,,Children's clothing store
Ross Dress for Less,3010 E 9th St,Clothing store
Himalayan Gift Shop,1623 Park St,Convenience store
K&G Fashion Superstore,3020 E 9th St,Clothing store
Cuates Western Wear,3550 International Blvd,Men's clothing store
Trollin on a budget,,Clothing store
Clothing Town,3340 Foothill Blvd,Men's clothing store
WITNESS FASHION,,Clothing store
DON JAMAINE ClOTHING,,Clothing store
Round Robin Consignment Store,Los Altos,Consignment shop
Target,Cupertino,Department store
Bite Of The Bag Clothing,,Clothing store
Oakland Authentic Clothing,Oakland,Clothing store
Big 5 Sporting Goods,Alameda,Clothing store
Elizabeth's Fashions,Oakland,Women's clothing store
Altered Waste,Oakland,Vintage clothing store
Hanger 19 Silk Screening - PunkStuff.com - WierdWonderTees.com,Oakland,Custom t-shirt store
Daisy's,Alameda,Gift shop
Stitches By Baker,Alameda,Embroidery shop
Lee's Fashion & Leather Co,Oakland,Clothing store
Tombstone Western Wear,Oakland,Western apparel store
Walgreens,Alameda,Drug store
"Alameda Advertising & Recognition, Inc.",Alameda,Embroidery shop
Party City,Alameda,Party store
Kohl's Alameda- Curbside Pickup only,Alameda,Department store
Walgreens,Alameda,Drug store
Beast Mode® Apparel - Oakland,Oakland,Clothing store
Walgreens,Alameda,Drug store
Bay Thread,Alameda,Manufacturer
New World Children Wear,Oakland,Children's clothing store
Fashion for you boutique,Oakland,Women's clothing store
Round Robin Consignment Store,Los Altos,Consignment shop
Target,Cupertino,Department store
Mommy's Trading Post,Alameda,Consignment shop
Chicas Fresas,Oakland,Women's clothing store
Charlie Noble,Oakland,Men's clothing store
Passion Parties by Jackie JacksonDaley,Alameda,Lingerie store
Political Gridlock,Alameda,T-shirt store
Wallis Fashion Inc,Oakland,Clothing store
Stitches Alameda - Custom Sewing & Alterations,Alameda,Dressmaker
Bed Bath & Beyond,Alameda,Department store
Oaklandish,Oakland,Clothing store
Citi Trends,Oakland,Clothing store
Out of the Closet - Oakland,Oakland,Clothing store
The Petite Peach,,Clothing store
Calculated Clothing Headquarters,Oakland,Men's clothing store
Alameda Army Navy Surplus,Oakland,Army & navy surplus shop
Sasha House,Oakland,Women's clothing store
Field Day,Oakland,Women's clothing store
Pure Oakland,Oakland,Clothing store
Town Biz Oakland,Oakland,Clothing store
D’S EXCLUSIVE CLOSET,,Clothing store
ODESA,,Clothing store
Dope Era,Oakland,Clothing store
Regina's Door,Oakland,Clothing store
H & I Boutique,,Clothing store
Calculated Clothing,Oakland,Men's clothing store
JEAJA Design Studio,Oakland,Clothing store
Movement Ink,,Clothing store
Closet full of Money,,Clothing store
McMullen,Oakland,Clothing store
Pedal Cycling Alameda,Alameda,Clothing store
Pretty Woman Fashion Store,,Women's clothing store
Addressed Apparel,,Boutique
"Ermis Nava, Inc.",Oakland,Clothing store
All Things Vintage,Oakland,Vintage clothing store
AMG7 Clothing Store,Oakland,Clothing store
SKECHERS Warehouse Outlet,Oakland,Shoe store
The Spot Oakland,Oakland,Clothing store
Knimble,Oakland,Used clothing store
Silver Moon Kids,Oakland,Children's clothing store
Feathered Outlaw,Alameda,Metaphysical supply store
The Salvation Army Family Store & Donation Center,Oakland,Thrift store
