name,address,type
Joe Hassan's Clothing,100 N Sacramento St,Clothing store
Ross Dress for Less,340 W Kettleman Ln,Clothing store
Stella Mitchell,116 N School St,Clothing store
Fashion Safari,123 S School St,Women's clothing store
Leaders Urban Wear,500 E Lodi Ave,Custom t-shirt store
Marshalls,2429 W Kettleman Ln,Clothing store
Prêt,16 W Pine St,Clothing store
Logo Wear,1421 S Ham Ln,Clothing store
Amber's Armoire,531 W Lodi Ave,Clothing store
dd's DISCOUNTS,520 S Cherokee Ln,Clothing store
Target,2355 W Kettleman Ln,Clothing store
Just Baby Boutique & Studio,207 W Oak St,Baby clothing store
Elizabeth of Lodi,20 S School St,Bridal shop
Kush Threads,171 S Guild Ave suite b,Clothing store
Kohl's Lodi- Curbside Pickup only,530 W Kettleman Ln,Department store
Relalos San Valentin,W Lodi Ave,Clothing store
Big 5 Sporting Goods - Lodi,2411 W Kettleman Ln,Clothing store
Robinsons Feed Co,1150 E Victor Rd,Animal feed store
Tuxedos of Lodi,24a N School St,Tuxedo shop
Lodi Uniforms,133 Commerce St #101,Uniform store
Joe Hassan's Clothing,100 N Sacramento St,Clothing store
Ross Dress for Less,340 W Kettleman Ln,Clothing store
Stella Mitchell,116 N School St,Clothing store
Fashion Safari,123 S School St,Women's clothing store
Leaders Urban Wear,500 E Lodi Ave,Custom t-shirt store
Marshalls,2429 W Kettleman Ln,Clothing store
Prêt,16 W Pine St,Clothing store
Logo Wear,1421 S Ham Ln,Clothing store
Amber's Armoire,531 W Lodi Ave,Clothing store
dd's DISCOUNTS,520 S Cherokee Ln,Clothing store
Target,2355 W Kettleman Ln,Clothing store
Just Baby Boutique & Studio,207 W Oak St,Baby clothing store
Elizabeth of Lodi,20 S School St,Bridal shop
Kush Threads,171 S Guild Ave suite b,Clothing store
Kohl's Lodi- Curbside Pickup only,530 W Kettleman Ln,Department store
Pier 1,1379 S Lower Sacramento Rd Suite 503,Home goods store
The Shop Fitness,400 E Kettleman Ln #11,Gym
Nava and Co,6 W Oak St,Boutique
Walgreens,75 N Ham Ln,Drug store
Marly's Bridal,404 W Pine St #2,Bridal shop
AnnieT's Screen Printing and Embroidery,Lodi,Screen printing shop
Lodi House Thrift Store,Lodi,Thrift store
Fashion Club Avenue,,Women's clothing store
Ross Dress for Less,Stockton,Clothing store
Wolf Paw Inc.,,Costume store
Jillian's Consignment Boutique,Lodi,Consignment shop
Goodwill,Lodi,Thrift store
