name,address,type
Market Broiler Ontario,4553 Mills Cir,Seafood
Rossa's Cucina Enoteca,425 N Vineyard Ave,Italian
Zeke's Eatin' Place,1855 E 4th St,American
Beola's Southern Cuisine,1845 E Holt Blvd,Soul
Iron Skillet Restaurant,805 N Euclid Ave,American
Olive Garden Italian Restaurant,4403 Mills Cir,Italian
New York Grill,950 Ontario Mills Dr Rd,Steak
Vince's Spaghetti,1206 W Holt Blvd,Restaurant
Outback Steakhouse,4492 Ontario Mills Pkwy,Steak
Black Angus Steakhouse,3640 Porsche Way,Steak
Panda Inn,"3223 E, N Centre Lake Dr",Chinese
El Pescador Mexican Grill,2322 S Mountain Ave,Mexican
Lazy Dog Restaurant & Bar,11560 Fourth St,New American
Benihana,3760 Inland Empire Blvd,Japanese
Maple House Chicken and Waffles,1520 N Mountain Ave A101,Soul
Cannataro's Italian Restaurant,12345 Mountain Ave k,Italian
El Chilitos Mexican Restaurant,1630 E 4th St K,Mexican
The Avocado House,11618 Central Ave,Breakfast
Olive Grill,302 S Milliken Ave # C,Asian Fusion
The Luxe Buffet - Seafood & Grill,701 N Milliken Ave,Seafood
Metro Ale House & Grill,197 E 2nd St,Grill
Panini Kabob Grill - Rancho Cucamonga,7903 Kew Ave,Restaurant
El Torito,3680 Inland Empire Blvd,Mexican
BJ's Restaurant & Brewhouse,11520 Fourth St,Restaurant
Green Mango Thai Bistro,11226 Fourth St #102,Thai
Bombay Restaurant Cuisine of India,405 North Vineyard Avenue Suite: A,Indian
Spires Restaurant,104 N Vineyard Ave,Diner
Fuddruckers,4423 Mills Cir,Hamburger
Big Catch Seafood House,765 N Milliken Ave,Seafood
El Pescador,636 N Euclid Ave,Mexican
Rainforest Cafe,4810 Mills Cir,Restaurant
Tokyo Wako Ontario,4480 E Ontario Mills Pkwy,Japanese
Juancho's,2802 Milliken Ave #B,Mexican
Gloria's Cocina Mexicana Ontario,401 N Euclid Ave,Mexican
Porter's Prime Steakhouse,222 N Vineyard Ave,Steak
Red Lobster,"4413 E, Mills Cir",Seafood
Hamburger Mary's Ontario,3550 Porsche Way,Grill
In-N-Out Burger,1891 E G St,Hamburger
The Original Graziano's Pizza Restaurant,3060 S Archibald Ave,Pizza
Lucky Elephant Thai Cuisine,1515 N Mountain Ave,Thai
Ontar Thai Restaurant,750 Archibald Ave,Thai
5 Star Pizza,951 N Haven Ave,Pizza
Metro Ale House & Grill,197 E 2nd St,Grill
Panini Kabob Grill - Rancho Cucamonga,7903 Kew Ave,Restaurant
Casa Sanchez Restaurant,2264 Mountain Ave,Mexican
Mariscos los socios,404 S Vine Ave,Restaurant
In-N-Out Burger,"4310 E, Ontario Mills Pkwy",Hamburger
Mantra Indian Cuisine,990 Ontario Mills Dr ste h,Indian
Fong Noodle,1515 N Mountain Ave D,Chinese
Juanita's III,1209 E 4th St,Restaurant
Brothers Burgers,843 N Mountain Ave,American
Chopsticks House,4451 Ontario Mills Pkwy,Chinese
La Victoria Restaurant,450 N Mountain Ave,Mexican
Pho Island Restaurant,3055 S Archibald Ave # F,Vietnamese
Fredy's Tacos Restaurant,1821 E 4th St,Mexican
Joanne's Cafe,1141 N Mountain Ave,Diner
The Bucket Crab & Crawfish,612 N Euclid Ave,Seafood
Brandon's Diner,2407 S Vineyard Ave ste a,American
Zendejas Restaurant,2440 S Vineyard Ave,Mexican
Applebee's Grill + Bar,1021 N Milliken Ave,Restaurant
Jikan Japanese Restaurant,3495 Concours St suite e,Japanese
Aria Kabob & Bar,112 W B St,Mediterranean
@ Home Thai Fusion bistro,4275 Concours St Suite 130,Thai
Natural-e Delicious,200 S Euclid Ave,Restaurant
Metro Ale House & Grill,197 E 2nd St,Grill
Panini Kabob Grill - Rancho Cucamonga,7903 Kew Ave,Restaurant
Alina's Lebanese Cuisine,2250 S Archibald Ave,Lebanese
LA Express Chinese Food,2229 S Mountain Ave,Chinese
Chick-fil-A,4350 Ontario Mills Pkwy,Fast Food
Andy's Burgers,310 E Holt Blvd,Hamburger
Chopsticks Wok,1520 N Mountain Ave #109,Chinese
Mariscos Mexico Lindo,239 W Francis St,Mexican
King Sushi,2550 S Archibald Ave o,Sushi
Mandarin House,1118 W Mission Blvd #E-F KFC Same Plaza,Restaurant
Rocky's New York Pizzeria,1919 E 4th St,Pizza
Joey's Pizza,790 N Archibald Ave suite b,Pizza
Farmer Boys,1190 E Francis St,Restaurant
Boiling World,4431 Ontario Mills Pkwy,Hot Pot
Daphne's,4261 Inland Empire Blvd b101,Greek
In-N-Out Burger,2235 S Mountain Ave,Hamburger
Si Como No Mexican Restaurant,2407 S Grove Ave,Mexican
IHOP,2285 S Archibald Ave,Restaurant
Yoshinoya Ontario,405 N Vineyard Ave C,Restaurant
Mariscos El Dorado,1111 N Grove Ave,Restaurant
Taqueria Tamazulena,635 E Holt Blvd # B,Restaurant
chaffey's restaurant,3663 E Guasti Rd,American
Metro Ale House & Grill,197 E 2nd St,Grill
Panini Kabob Grill - Rancho Cucamonga,7903 Kew Ave,Restaurant
Sizzler,2228 S Mountain Ave,Restaurant
Los Amigos,500 E Holt Blvd,Mexican
Taqueria Cotija,1047 N Mountain Ave,Mexican
Blaze Pizza,1 Mills Cir,Pizza
Archibald's Drive-Thru,2685 E Riverside Dr,Hamburger
Baja Fresh,929 N Milliken Ave,Tacos
Yoshinoya Ontario Mills,4323 Mills Cir Suite 107,Restaurant
Restaurant Enrique's,812 S Mountain Ave,Mexican
Galaxy Hamburgers,2150 S Archibald Ave,Hamburger
Carnitas A El Estilo Michoacan,818 S Mountain Ave,Mexican
Cask 'n Cleaver,8689 E 9th St,Steak
Tacos El Ranchero,106 W G St,Tacos
King Taco # 28,406 N Mountain Ave,Mexican
Subway,936 N Mountain Ave,Sandwich
Denny's,2421 S Archibald Ave,Diner
Sumo Sushi,1520 N Mountain Ave bldg d,Sushi
The Bowl Thai Cuisine & Tea Bar,1105 N Mountain Ave,Thai
Alfredo's Mexican Food,1127 E 4th St,Mexican
Taco Hut,1150 E Philadelphia St #106,Mexican
Panda Express,1160 E Philadelphia St,Chinese
Metro Ale House & Grill,197 E 2nd St,Grill
Panini Kabob Grill - Rancho Cucamonga,7903 Kew Ave,Restaurant
Wendy's,1890 E G St,Fast Food
WaBa Grill,1343 E 4th St,Asian Fusion
Mr You Chinese Food,978 N Mountain Ave,Chinese
Farmer Boys,54 S Milliken Ave,Restaurant
Golden Corral Ontario,1640 E 4th St,Buffet
China Express Restaurant,1325 E 4th St,Chinese
Denny's,715 N Milliken Ave,Diner
Denny's,1409 E 4th St,Diner
Rock & Brews Restaurant,2900 E Airport Dr,American
J J Grill,59 N Milliken Ave # 101,Fast Food
IHOP,4422 Ontario Mills Pkwy,Restaurant
Farmer Boys,2180 South Haven Street,Restaurant
Taqueria La Gloria,1405 W Mission Blvd,Mexican
PIZZA FUEGO,805 S Mountain Ave,Pizza
Pizza Pirates,2207 Mountain Ave,Pizza
Iron Skillet Restaurant,4325 E Guasti Rd,American
Pizza Hut,715 N Euclid Ave,Pizza
Sushi/Seafood,,Sushi
Mar Y Tierra,826 W Mission Blvd,Mexican
Firewater Bar,1528 W Holt Blvd,Grill
Metro Ale House & Grill,197 E 2nd St,Grill
Panini Kabob Grill - Rancho Cucamonga,7903 Kew Ave,Restaurant
Magic Hawaiian Barbeque,1150 E Philadelphia St #113,Hawaiian
La Culichi Fresa,1517 N Baker Ave,Restaurant
Tacos el Juanito,1866 S Euclid Ave,Mexican
Ramona's Mexican Food,4320 Mills Cir,Mexican
Poke Boat,1150 E Philadelphia St #109,Hawaiian
Tijuana's Tacos,1702 S Euclid Ave,Mexican
Jack in the Box,1551 E 4th St,Fast Food
Round Table Pizza,1020 N Mountain Ave,Pizza
Baker's Drive-Thru,5080 Fourth St,Fast Food
El Pollo Loco,668 W Holt Blvd,Mexican
Del Taco,1909 E 4th St,Fast Food
Popeyes Louisiana Kitchen,2460 S Vineyard Ave,Restaurant
Baker's Drive-Thru,2555 S Archibald Ave,Fast Food
WaBa Grill,1055 W Philadelphia St,Asian Fusion
Liberty Bell,142 N Mountain Ave,Fast Food
Brick Shack Pizza,1201 N Grove Ave,Pizza
Las Islas Marias Ontario,1133 W 6th St,Seafood
Jack in the Box,990 N Mountain Ave,Fast Food
Carl's Jr.,1445 N Mountain Ave,Fast Food
Baker's Drive-Thru,2695 Inland Empire Blvd,Fast Food
Metro Ale House & Grill,197 E 2nd St,Grill
Roti Fresh Indian Grill,1042 N Mountain Ave #1a,Restaurant
Wendy's,590 E Holt Blvd,Fast Food
Mezzaterranean,9491 Foothill Blvd #B,Mediterranean
Swad Of India,1410 W 7th St,Indian
Taqueria Tamazula Lindo,105 N Euclid Ave,Mexican
Jack in the Box,800 S Mountain Ave Ste A,Fast Food
Jim's Burgers,805 S Euclid Ave,Hamburger
Tom's Burgers,701 W Holt Blvd,Hamburger
Carl's Jr.,1625 E 4th St,Fast Food
WaBa Grill,1337 N Mountain Ave,Asian Fusion
Taqueria Tamazula,719 S Euclid Ave,Mexican
Wienerschnitzel,1820 Euclid Ave,Fast Food
Zendejas Mobile Taco Man,1248 Doral Ct,Tacos
Holiday Cafe,931 N Milliken Ave,Restaurant
Juan Pollo,615 S Euclid Ave,Chicken
Spaggi's,1651 W Foothill Blvd,Italian
The Chocolate Bar,1520 N Mountain Ave Suite 114,Restaurant
Tacos Mister Pancho,1119 N Mountain Ave,Mexican
LA ESTRELLA LATINA,722 S Euclid Ave,Mexican
Pupuseria Gladys Restaurant,741 W Holt Blvd,Salvadoran
Taco Bell,859 N Mountain Ave,Fast Food
D'Flame Pizza,1520 N Mountain Ave #116,Pizza
Brandon's Cantina,2411 S Vineyard Ave,Restaurant
Little Caesars Pizza,602 W Holt Blvd,Pizza
Tortas Sinaloa,2252 S Euclid Ave,Mexican
China Chilli Express,2252 S Euclid Ave ste H ste H,Restaurant
Subway,1333 N Mountain Ave,Sandwich
Mexican Food,,Mexican
Flamingos Cuban on 4th Street,4423 Mills Cir,Cuban
Salpicón Salvadorean Restaurant,2252 Euclid Ave G,Salvadoran
AZURE COURTYARD GRILLE,1945 E Holt Blvd,Restaurant
Subway,710 N Archibald Ave Suite A,Sandwich
Alibertos Mexican Food,765 W Holt Blvd,Mexican
Allegro,186 N 2nd Ave,Italian
Subway,405 N Vineyard Ave Suite E,Sandwich
Little Caesars Pizza,1375 E 4th St,Pizza
Vegan Market Bar and Grill,,Vegan
Papa John's Pizza,420 N Euclid Ave,Pizza
Tacos Y Panaderia Jalisco,1128 W Mission Blvd,Restaurant
Pizza Hut,2598 S Archibald Ave Space B,Pizza
Cafe Calato,9640 Center Ave #150,Cafe
Metro Ale House & Grill,Pomona,Grill
Panini Kabob Grill - Rancho Cucamonga,Rancho Cucamonga,Restaurant
Panda Express,Ontario,Chinese
Farmer Boys,Montclair,Restaurant
Molly's Souper,Upland,American
The Sycamore Inn,Rancho Cucamonga,Steak
McDonald's,Ontario,Fast Food
Del Taco,Ontario,Fast Food
Mariscos Espinoza #10,Ontario,Restaurant
Panda Express,Upland,Chinese
Wienerschnitzel,Ontario,Fast Food
Corky's Kitchen & Bakery - Upland,Upland,American
Good & Tasty Concessions,Ontario,Restaurant
Mr Dumpling,Rancho Cucamonga,Chinese Noodles
Burger King,Ontario,Fast Food
Dave & Buster's,Ontario,Sports bar
Los Rosales mexican food,Ontario,Restaurant
Flo's Airport Cafe,Chino,Restaurant
Titan Burgers Chino,Chino,Hamburger
China Star,Ontario,Chinese
Owen's Bistro,Chino,New American
Church's Chicken,Ontario,Chicken
Metro Ale House & Grill,197 E 2nd St,Grill
Panini Kabob Grill - Rancho Cucamonga,7903 Kew Ave,Restaurant
Panda Express,1 Mills Cir Space F3,Chinese
Lily's Nutritional Club,501-507 N Cherry Ave,Restaurant
Jack in the Box,1780 S Grove Ave,Fast Food
Pizza Loca,1436 S Euclid Ave,Pizza
La Michoacana Premium,1327 E 4th St,Ice Cream
The Hat,857 N Central Ave,Fast Food
Denny's,502 N Vineyard Ave Rd,Diner
Philly's Sandwich & Grill,1701 S Grove Ave # B,Sandwich
Subway,1118 W Mission Blvd Unit H,Sandwich
Nuno's Bistro & Bar,2440 W Arrow Route #4a,Restaurant
El Pollo Loco,9185 Central Ave,Mexican
Krispy Kreme,4485 Mills Cir,Donuts
Ontario Airport Hotel & Conference Center,,3-star hotel
Jersey Mike's Subs,1150 E Philadelphia St #105,Sandwich
Chipotle Mexican Grill,9177 Central Ave ste b,Mexican
Wienerschnitzel,11901 Central Ave,Fast Food
El Rincon De Donia Mary,501 S Sultana Ave,Mexican
Wingstop,1305 E 4th St,Chicken Wings
Subway,562 W Holt Blvd Suite A,Sandwich
Chipotle Mexican Grill,12188 Central Ave,Mexican
Metro Ale House & Grill,197 E 2nd St,Grill
Roti Fresh Indian Grill,1042 N Mountain Ave #1a,Restaurant
Old World Delicatessens,281 S Mountain Ave,Deli
Raising Cane's Chicken Fingers,1437 N Mountain Ave,Fast Food
Elvira's Grill - Upland,373 E Foothill Blvd,Mexican
China Wok Mongolian BBQ,720 N Archibald Ave suite a,Restaurant
El Chilito Mexican Restaurant,,Mexican
Lisa's Market/ Sandwiches Shop / Check Cashing 1 %,600 E D St,Grocery store
Daddy O’s Rockin Cafe,228 N 2nd Ave,Hamburger
