name,address,type
Antojitos Mexicanos Restaurant,15526 Paramount Blvd,Mexican
Parrain's Soul Food,7908 Alondra Blvd,Soul
Cafe Corleone Italian Restaurant,15337 Paramount Blvd,Pizza
Casa Gamino,8330 Alondra Blvd,Mexican
La Diosa De Los Moles,8335 Rosecrans Ave,Restaurant
Waikiki Hawaiian Grill,16280 Paramount Blvd A,Hawaiian
La Hacienda Peruvian Food,8532 Rosecrans Ave,Peruvian
Gus's Deli BBQ And Grill,8320 Alondra Blvd,Barbecue
Japanese Castle,16222 Paramount Blvd,Restaurant
Treasure Pot,8540 Alondra Blvd,Thai
Restaurant El Sinaloense,15503 Paramount Blvd,Mexican
El Compa Restaurant,7010 Rosecrans Ave,Mexican
Tacos El Fogon Grill,7351 Rosecrans Ave,Mexican
Tam's Burgers,8454 Alondra Blvd,Hamburger
Mariscos El Perihuete,16600 Paramount Blvd,Mexican
The Nest: A Breakfast Joint,9260 Alondra Blvd,Breakfast
Mariscos Alas,15516 Paramount Blvd B,Mexican
Thai Fiesta Cafe,8408 Alondra Blvd,Restaurant
Casa Adelita,8063 Alondra Blvd #4341,Mexican
Cascada Refrescante,,Mexican
"Matern Law Group, PC",1230 Rosecrans Ave #200,Legal services
Antojitos Mexicanos Restaurant,15526 Paramount Blvd,Mexican
Parrain's Soul Food,7908 Alondra Blvd,Soul
Cafe Corleone Italian Restaurant,15337 Paramount Blvd,Pizza
Casa Gamino,8330 Alondra Blvd,Mexican
La Diosa De Los Moles,8335 Rosecrans Ave,Restaurant
Waikiki Hawaiian Grill,16280 Paramount Blvd A,Hawaiian
La Hacienda Peruvian Food,8532 Rosecrans Ave,Peruvian
Gus's Deli BBQ And Grill,8320 Alondra Blvd,Barbecue
Japanese Castle,16222 Paramount Blvd,Restaurant
Treasure Pot,8540 Alondra Blvd,Thai
Restaurant El Sinaloense,15503 Paramount Blvd,Mexican
El Compa Restaurant,7010 Rosecrans Ave,Mexican
Tacos El Fogon Grill,7351 Rosecrans Ave,Mexican
Tam's Burgers,8454 Alondra Blvd,Hamburger
Mariscos El Perihuete,16600 Paramount Blvd,Mexican
The Nest: A Breakfast Joint,9260 Alondra Blvd,Breakfast
Mariscos Alas,15516 Paramount Blvd B,Mexican
Thai Fiesta Cafe,8408 Alondra Blvd,Restaurant
Casa Adelita,8063 Alondra Blvd #4341,Mexican
Cascada Refrescante,,Mexican
"Matern Law Group, PC",1230 Rosecrans Ave #200,Legal services
El Comalon,15000 Paramount Blvd,Mexican
Stinkin Crawfish of Paramount,8009 Alondra Blvd unit b,Seafood
Tortas Chingonas,7015 Somerset Blvd,Fast Food
El Tapatio Restaurant,7528 Rosecrans Ave,Mexican
Oishi Teriyaki & Sushi,16289 Paramount Blvd,Sushi
Doublz,15100 Paramount Blvd,Fast Food
Mariscos Los Dorados,8111 Rosecrans Ave,Mexican
Lucky Wok,"8527 E, Alondra Blvd UNIT 172",Chinese
Ono Hawaiian BBQ,8509 Alondra Blvd A,Hawaiian
Hiccups Tea House,16279 Paramount Blvd #A1,Asian Fusion
Asian Star Buffet,8524 Alondra Blvd,Asian Fusion
Alondra’s,8411 Alondra Blvd,Chicken Wings
Mariscos El Guero,7045 Somerset Blvd,Seafood
Douglas Burgers,15100 Garfield Ave,Restaurant
Tacos Giyo #2,8000 Rosecrans Ave,Mexican
Bionicos Michoacan,14135 Downey Ave,Mexican
Chipotle Mexican Grill,15754 Paramount Blvd A,Mexican
Mariscos El Viejon,14121 Paramount Blvd,Restaurant
Mazatlan Restaurant,6902 Paramount Blvd,Mexican
Maya Teriyaki,16212 Paramount Blvd,Restaurant
"Matern Law Group, PC",1230 Rosecrans Ave #200,Legal services
El Peri Sushi,16604 Paramount Blvd,Sushi
Chinatown Kitchen,7922 Rosecrans Ave,Chinese
Tacos El Pueblo,15901 Garfield Ave,Mexican
The Habit Burger Grill,15754 Paramount Blvd suite c,Hamburger
Taqueria 2 Amigos,6857 Somerset Blvd,Mexican
Jack in the Box,8433 Alondra Blvd,Fast Food
Sky Burgers,15025 Lakewood Blvd,Hamburger
El Pollo Loco,6833 Alondra Blvd,Mexican
Hot Salsa Mexican Restaurant,14327 Garfield Ave,Mexican
Hola Teriyaki,7010 Somerset Blvd,Restaurant
Birrieria Guadalajara,15102 Paramount Blvd,Mexican
Golden Bowl,8514 Alondra Blvd,Fast Food
The Pizza Press,8009 Alondra Blvd suite a,Pizza
Douglas Burgers,15100 Garfield Ave,Restaurant
Tacos Giyo #2,8000 Rosecrans Ave,Mexican
McDonald's,7357 Alondra Blvd,Fast Food
Hambones BBQ & PO Boys,9342 Alondra Blvd,Barbecue
Estrellita Del Mar,13610 Garfield Ave,Seafood
Pinoy Fusion BBQ,17236 Downey Ave,Filipino
El Sanguchetto Bakery,8133 Alondra Blvd,Bakery
Pho Tea House,15739 Downey Ave,Restaurant
Taqueria Zavala #1,"8179, 13665 Garfield Ave",Mexican
Joy Catering,7922 Rosecrans Ave # H,Korean
