name,address,type
Cool Hand Luke's - Santa Maria,1321 Nicholson Ave,Steak
Jaffa Cafe,2530 S Broadway a,Mediterranean
Swiss Restaurant,516 N Broadway,Steak
North China Restaurant,113 N Broadway,Chinese
Atari-Ya Japanese Restaurant,"1551 Stowell, C St",Japanese
The Garden Mediterranean Restaurant & Cafe,122 E Boone St,Mediterranean
The Moxie Cafe,1317 W McCoy Ln,Health Food
Mikado Sushi Japanese Restaurant,209 Town Center E W,Japanese
Cugini's Pizzeria & Trattoria,230 Betteravia Rd,Pizza
Ichiban Japanese Restaurant,2011 S Broadway # L,Japanese
Casa Mañana Mexican Restaurant Santa Maria,1640 S Broadway,Mexican
El Palenque Mexican Restaurant,715 S Broadway,Mexican
Thai Hut Restaurant,120 E Foster Rd,Thai
Olive Garden Italian Restaurant,1210 S Bradley Rd,Italian
SizzlinGogi,1841 S Broadway,Korean BBQ
Boonie Thai Cuisine,618 E Main St,Thai
Pappy's Restaurant,1275 Betteravia Rd,Breakfast
Lo Mejor De Jalisco Mexican And Seafood,116 Blosser Rd,Mexican
The Pantry,726 S Broadway,American
Klondike Pizza,2059 S Broadway,Pizza
Law Office of Christopher S. Biely,705 E Main St Ste 202,Law firm
Francisco's Country Kitchen,1701 N Broadway,American
Zoe's Hawaiian BBQ,2880 Santa Maria Way,Hawaiian
IHOP,202 Nicholson Ave,Restaurant
Red Lobster,1525 S Bradley Rd,Seafood
Applebee's Grill + Bar,1415 S Bradley Rd,Restaurant
Jade's Filipino Food,2025 S Broadway B,Filipino
La Picosita Restaurant,923 N Broadway,Mexican
Black Bear Diner,335 E Betteravia Rd,American
Natural Cafe,2407 S Broadway,American
Vintners Bar & Grill,3455 Skyway Dr,Restaurant
Maya Mexican Restaurant,110 S Lincoln St,Mexican
Tom's Take Out,826 W Main St,Hamburger
El Pollo Norteno,1954 S Broadway #H,Restaurant
Al Pho,1201 E Main St,Vietnamese
Rancho Nipomo BBQ,108 Cuyama Ln,Barbecue
El Pueblito Restaurant,603 S Blosser Rd,Mexican
In-N-Out Burger,1330 S Bradley Rd,Hamburger
Woody's Butcher Block,700 E Main St #104,Butcher shop
The Boy's Restaurant,117 N College Dr,Family-friendly
Urbane Cafe,655 Betteravia Rd,Sandwich
Law Office of Christopher S. Biely,705 E Main St Ste 202,Law firm
Papa Napoli Italian Deli,325 Betteravia Rd # B9,Restaurant
Shaw's Steakhouse,714 S Broadway,Steak
Chick-fil-A Enos Ranch,605 Betteravia Rd,Restaurant
Pearl East Chinese Restaurant,1559 Stowell Center Plaza,Chinese
Cracker Barrel Old Country Store,905 E Betteravia Rd,American
New Ocean,Town Center West,Chinese
Fatte's Pizza of Santa Maria,1772 S Broadway,Pizza
Ming Dynasty,2011 S Broadway F,Chinese
Yanagi Sushi & Grill,2431 S Broadway,Japanese
Taco Ranchero,108 E Jones St,Mexican
Angeles de Puebla Restaurante,2255 S Broadway,Mexican
Hamasato Japanese Restaurant,230 Betteravia Rd # V,Japanese
The 'A' Street Cafe,2445 A St,Restaurant
