name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched,state,zipcode,store_type
Monkey Thai Restaurant & Bar,"2210 S Shore Center H, Alameda, CA 94501",Thai,Alameda,,https://www.monkeythaiatsouthshore.com/,https://www.monkeythaiatsouthshore.com/menus-1,,https://www.monkeythaiatsouthshore.com,,CONTACT US,1,CA,94501,restaurant
Hong Kong City Seafood Restaurant,"1425 Park St, Alameda, CA 94501",Seafood,Alameda,Bare-bones space providing an extensive selection of familiar Chinese fare & house specials.,https://alamedahongkongcity.com/,https://alamedahongkongcity.com/,,https://alamedahongkongcity.com/#contact,,Contact Us,1,CA,94501,restaurant
Up 2U Thai Eatery,"1405 Webster St, Alameda, CA 94501",Thai,Alameda,,https://www.up2uthaieatery.com/,https://www.up2uthaieatery.com/online-ordering,,https://www.up2uthaieatery.com/contact-us,,Contact us,1,CA,94501,restaurant
Xing Yuan,"839 Marina Village Pkwy, Alameda, CA 94501",Chinese,Alameda,"Unassuming eatery providing traditional Chinese dishes, including chow mein & Kung Pao chicken.",https://xingyuanrestaurant.com/,https://xingyuanrestaurant.com/,,https://xingyuanrestaurant.com/#contact,,Contact Us,1,CA,94501,restaurant
Habanas Cuban Cuisine,"1518 Park St, Alameda, CA 94501",Cuban,Alameda,"Cuban chow with a creative twist plus mojitos served in a bright, casual space with tropical colors.",http://www.habanascubancuisine.com/,,,http://www.habanascubancuisine.com/html/habana-contacts.html,,Contacts,1,CA,94501,restaurant
Yokohama,"1427 Webster St #3824, Alameda, CA 94501",Japanese,Alameda,Neighborhood sushi bar offering a variety of traditional Japanese dishes plus a sake menu.,http://www.yokohamasushi.com/,http://www.yokohamasushi.com/,,http://www.yokohamasushi.com/find-us,,FIND US,1,CA,94501,restaurant
El Caballo Wraps,"1108 Lincoln Ave, Alameda, CA 94501",Latin American,Alameda,"Simple, family-run Mexican spot offering a range of traditional fare for breakfast, lunch & dinner.",https://www.elcaballowraps.com/,http://places.singleplatform.com/el-caballo-wraps/menu?ref=google,,https://www.elcaballowraps.com/location,,CONTACT US,1,CA,94501,restaurant
Orchid Pavillion Cafe,"1540 Webster St, Alameda, CA 94501",Asian,Alameda,,http://www.orchidpavillioncafe.com/,,,http://www.orchidpavillioncafe.com/tel:5108712908,,(510) 871-2908,1,CA,94501,restaurant
Kitchen of Alameda,"1727 Webster St, Alameda, CA 94501",Chinese,Alameda,,http://www.kitchenofalameda.com/,,,http://www.kitchenofalameda.com/tel:5108651662,,(510) 865-1662,1,CA,94501,restaurant
Calafia Taqueria,"1445 Webster St, Alameda, CA 94501",Mexican,Alameda,"Brick-front neighborhood spot for generous portions of burritos & fajitas, plus a chips & salsa bar.",http://www.calafiataqueria.com/,https://www.calafiataqueria.com/online-ordering,,https://www.calafiataqueria.com/contact,,Contact,1,CA,94501,restaurant
Thai Noodle House of Alameda,"1700 Park St #100, Alameda, CA 94501",Thai,Alameda,,http://thainoodlehouse.wixsite.com/,http://www.thainoodlealameda.com/,,https://thainoodlehouse.wixsite.com/ofalameda/contact-us,,Contact us,1,CA,94501,restaurant
Alice Bistro,"1707 Lincoln Ave, Alameda, CA 94501",Chinese,Alameda,,http://www.alicebistroca.com/,http://www.alicebistroalameda.com/,,http://www.alicebistroca.com/#contact,,"
Contact

",1,CA,94501,restaurant
