name,address,type
Olde Bay Cafe & Dunedin Fish Market,51 Main St,Seafood
Bon Appetit Restaurant and Bar,148 Marina Plaza,American
Cafe Alfresco,344 Main St,Family-friendly
Hog Island Fish Camp,900 Broadway Ave,Seafood
Coattails,985 Douglas Ave,Restaurant
The Black Pearl of Dunedin,315 Main St,Fine Dining
The Dunedin Smokehouse,471 Main St,Barbecue
Bonnie's Breakfast And Lunch,1714 County Rd 1,Restaurant
Pisces Sushi and Global Bistro,799 Highland Ave,Sushi
Crown and Bull,319 Main St #5733,New American
Casa Tina Mexican & Vegetarian Cuisine,365 Main St,Mexican
Happy's Bayou Bites,431 Skinner Blvd,Cajun
Lucky Lobster Co.,941 Huntley Ave,Seafood
The Living Room on Main,487 Main St,New American
Julian's Little Italy,916-A Patricia Ave,Italian
Frenchy's Outpost Bar and Grill,466 Causeway Blvd,Grill
Eli's Bar-B-Que,360 Skinner Blvd,Barbecue
Sea Sea Riders Restaurant,221 Main St,Seafood
Benedict's Restaurant,2632 Bayshore Blvd,Family-friendly
Hackett's Causeway Cafe & Creamery,901 Curlew Rd,American
The Living Room on Main,487 Main St,New American
Olde Bay Cafe & Dunedin Fish Market,51 Main St,Seafood
Bon Appetit Restaurant and Bar,148 Marina Plaza,American
Cafe Alfresco,344 Main St,Family-friendly
Hog Island Fish Camp,900 Broadway Ave,Seafood
Coattails,985 Douglas Ave,Restaurant
The Black Pearl of Dunedin,315 Main St,Fine Dining
The Dunedin Smokehouse,471 Main St,Barbecue
Bonnie's Breakfast And Lunch,1714 County Rd 1,Restaurant
Pisces Sushi and Global Bistro,799 Highland Ave,Sushi
Crown and Bull,319 Main St #5733,New American
Casa Tina Mexican & Vegetarian Cuisine,365 Main St,Mexican
Happy's Bayou Bites,431 Skinner Blvd,Cajun
Marguerite's Cafe and Catering,405 Plaza Dr,Restaurant
Los Amigos,404 Patricia Ave,Mexican
Delco's Original Steaks,1701 Main St,Sandwich
Dunedin Coffee Company & Bakery,730 Broadway #3,Coffee shop
Blue Sake Sushi & Asian Fusion,1425 Main St,Sushi
Marker 8,1420 Bayshore Blvd,Grill
Pete's Diner,2140 Main St,Family-friendly
Bascettis Italian Grille,1568 Main St,Italian
Pearly's Beach Eats,903 Douglas Ave,Restaurant
Our Place Dunedin,1617 Main St,American
Juan`s Mexican Grill,1409 Main St,Mexican
Tony's Pizza,320 Main St,Pizza
Madison Avenue Pizza,2660 Bayshore Blvd,Pizza
Thai Town of Dunedin,1342 Main St,Thai
Covered Bridge,2070 Bayshore Blvd,Breakfast
Phoedin,355 Scotland St,Vietnamese
Sandbar Grill,2602 Bayshore Blvd,Grill
Carmelita's Mexican Grill & Cantina,1280 Main St,Mexican
Seikaku Sushi & Steak,1269 Bayshore Blvd,Sushi
High & Dry Grill,61 Causeway Blvd,Grill
Frank's Pizza,1600 Virginia St,Restaurant
Hot Dogs on Main,505 Main St,Hot Dog
Bambino Pizza,2028 Bayshore Blvd,Pizza
El Huarache Azteca,2020 Bayshore Blvd,Mexican
China Star,916 Patricia Ave,Chinese
D-Town Bar & Grill,1056 Main St,Restaurant
HEW Parlor & Chophouse,453 Edgewater Dr,Restaurant
Chatterbox Family Restaurant,405 Patricia Ave,Family-friendly
"Caracara Asian Tapas,Tacos and Bar",730 Broadway Suite 4,Restaurant
Happi Wok,1252 County Rd 1,Chinese
The Rusty Lyon,923 Broadway,Restaurant
Ozona Blue Grilling Company,125 Orange St,Seafood
Big Greek Gyros & Bakery,1232 County Rd 1,Greek
Ha Long Bay Bistro,2192 Main St,Chinese
Eddie's Bar & Grill,1283 Bayshore Blvd,Sports bar
"Lonni's sandwiches, etc.",1153 Main St Suite #106,American
Flanagan's Irish Pub,465 Main St,Irish pub
Starlite Cafe,1336 Main St,Family-friendly
Fusion Street Eatery,422 Patricia Ave,Restaurant
Freshii,1737 Main St,Restaurant
Pan Y Vino,369 Main St,Bar
Plaza Garibaldi Mex Restaurant,2020 Bayshore Blvd,Mexican
L'oven Pizza,2194 Main St,Pizza
Happy cactus mexican cocina,2676 Bayshore Blvd Ste h,Mexican
Rizzoli's Pizza,2340 FL-580,Pizza
Crazy Burrito Dunedin,1140 Main St unit 2,Mexican
Subway,1425 Main St Suite A,Sandwich
