name,address,type
Ross Dress for Less,1466 W Granada Blvd,Clothing store
Bealls Florida,1458 W Granada Blvd,Clothing store
Kairo Clothing,600 S Yonge St Unit 1C,Women's clothing store
Bealls Florida,2505 N Atlantic Ave,Clothing store
Jos. A. Bank,266 N Nova Rd,Men's clothing store
Bealls Outlet,1250 Ocean Shore Blvd,Clothing store
Bealls Outlet,2617 N Atlantic Ave,Clothing store
True Love Boutique,370 W Granada Blvd,Consignment shop
Bikini Company,235 E Granada Blvd,Swimwear store
Talbots,286 N Nova Rd,Women's clothing store
Sara's Shop and Mall,,Clothing store
Bikers Pride Inc.,301 Division Ave,Clothing store
Purple Dragonfly Boutique,1462 W Granada Blvd #220,Clothing store
Marshalls,2461N N Atlantic Ave,Clothing store
Artsy Abode Ormond Beach,243 E Granada Blvd,Gift shop
Ocean Club,712 S Atlantic Ave,Beach clothing store
On the Fringe Leather LLC,"1095 N, US-1",Clothing store
cci daytona,7 Sunshine Blvd,Children's clothing store
Blush Bridal Gallery,156 W Granada Blvd a,Bridal shop
White House Black Market,280 N Nova Rd,Clothing store
Molto Bella Boutique,140 N Nova Rd,Boutique
Preppy Beach Boutique & Bakery,218 E Granada Blvd,Boutique
Beach Village Gift Shop,762 S Atlantic Ave,Gift shop
Chico's,258 N Nova Rd,Clothing store
Nice Twice,344 S Yonge St,Clothing store
Comfort Fashion,1985 Myrtle Jo Dr,Clothing alteration service
WAYmat,157 W Granada Blvd,Outdoor clothing and equipment shop
"FR Clothing Of FL - Safety Equipment, Construction Clothes",,Safety equipment supplier
Citi Trends,878 N Nova Rd,Clothing store
Walmart Supercenter,1521 W Granada Blvd,Department store
Ladies High Fashions Ebay Store,,Clothing store
rue21,1100 Cornerstone Blvd #540,Clothing store
FabRox LLC/FitUSA Manufacturing,"2-B, Sunshine Blvd",Uniform store
Amaya's Boutique,146 S Beach St,Clothing store
Family Dollar,780 S Nova Rd,Clothing store
Papaya Clothing,1100 Cornerstone Blvd #970,Clothing store
Sand Box Beachwear Shops,1310 S Atlantic Ave,Swimwear store
Stork Report,1212 Biltmore Dr,Baby store
Party City,1474 West Grenada Boulevard,Party store
Rainbow Shops,890 N Nova Rd,Women's clothing store
Purple Haze,Ormond Beach,Clothing store
Moxie Vintage,Daytona Beach,Vintage clothing store
Walgreens,Daytona Beach,Drug store
Wings Beachwear,Daytona Beach,Beach clothing store
Walgreens,Ormond Beach,Drug store
Biker's Pride Clothing Store,Daytona Beach,Couture store
Sussman's Inc,Daytona Beach,Women's clothing store
Lane Bryant Outlet,Daytona Beach,Clothing store
Wings Beachwear,Daytona Beach,Beach clothing store
Levi's Outlet Store at Tanger Outlets Daytona,Daytona Beach,Clothing store
"Salt Life Outlet Daytona Beach, FL",Daytona Beach,Clothing store
NADA Swim,Ormond Beach,Swimwear store
Old Navy Outlet,Daytona Beach,Clothing store
T.J. Maxx,Daytona Beach,Clothing store
Palmetto Moon Daytona Beach,Daytona Beach,Clothing store
Hanes,Daytona Beach,Clothing store
Windsor,Daytona Beach,Women's clothing store
Plato's Closet Daytona Beach,Daytona Beach,Clothing store
Danny Daytona Clothing,Daytona Beach,Clothing store
LOFT Outlet,Daytona Beach,Women's clothing store
Target,2380 W International Speedway Blvd,Department store
Lucy's Gift Boutique,234 North Nova Road Trails Shopping Center,Boutique
Miss Priss LLC,150 W Granada Blvd,Consignment shop
Gap Factory,1100 Cornerstone Blvd Suite #400,Clothing store
Torrid,1700 W International Speedway Blvd Spc 4114,Plus size clothing store
J.Crew Factory,1100 Cornerstone Blvd Suite 690,Clothing store
Polo Ralph Lauren Factory Store,1100 Cornerstone Blvd Unit 600,Clothing store
Columbia Factory Store,1100 Cornerstone Blvd Ste 105,Clothing store
Haggar,1100 Cornerstone Blvd Suite 980,Men's clothing store
Nike Factory Store,1100 Cornerstone Blvd Suite 180,Sportswear store
JCPenney,1700 W International Speedway Blvd,Clothing store
H&M,1100 Cornerstone Blvd #590,Clothing store
Ocean Blue Beach Shop,203 N Atlantic Ave,Clothing store
Van Heusen,,Clothing store
Stein Mart,2500 W International Speedway Blvd,Clothing store
Dillard's,1700 W International Speedway Blvd,Clothing store
