name,address,type
Plantation Historical Museum,511 N Fig Tree Ln,Heritage museum
Lauderhill Historical Museum,1080 NW 47th Ave,Museum
Young At Art Museum,751 SW 121st Ave,Art museum
big mac st.,NR,Museum
Old Davie School Historical Museum,6650 Griffin Rd,Museum
Car Museum Swap Shop,3291 W Sunrise Blvd,Museum
Fine Arts Gallery,3501 Davie Rd,Museum
Museum of Discovery and Science,401 SW 2nd St,Science museum
The Craig and Barbara Weiner Holocaust Reflection and Resource Center,"Alvin Sherman Library, 3100 Ray Ferrero Jr Blvd",Museum
NSU Art Museum Fort Lauderdale,1 E Las Olas Blvd,Art museum
Old Dillard Museum,1009 NW 4th St,Museum
The Fort Lauderdale Antique Car Museum,1527 SW 1st Ave,Museum
Naval Air Station Fort Lauderdale Museum,4000 W Perimeter Rd,Museum
"Fort Lauderdale Fire and Safety Museum, Inc.",1022 W Las Olas Blvd,Museum
Historic Stranahan House Museum,335 SE 6th Ave,Historical place museum
History Fort Lauderdale,231 SW 2nd Ave,History museum
Mercado De Corotos,3121 W Sunrise Blvd,Museum
La Vacita,4111 SW 25th St,Museum
Stonewall National Museum & Archives,2157 Wilton Dr,Art gallery
Bienes Museum of the Modern Book,100 S Andrews Ave,Museum
Parking BtT,Unnamed Road,Museum
Ah-Tah-Thi-Ki Msm Okalee Village,4161 FL-7,Museum
Stonewall National Museum & Archives,1300 E Sunrise Blvd,Museum
Bonnet House Museum & Gardens,900 N Birch Rd,Museum
World AIDS MUSEUM and Educational Center,1201 NE 26th St #111,Museum
TAE Wallace,3500 N FL-7,Museum of space history
Girls' Club Warehouse,723 NE 2nd Ave,Art museum
Sawgrass,Sawgrass Corporate Pkwy,Museum
International Swimming Hall of Fame Museum,1 Hall of Fame Dr,Museum
