name,address,type
Sample-McDougald House Museum,450 NE 10th St,Historical place museum
Hillsboro Lighthouse Museum,2639 N Riverside Dr,Museum
Pompano Beach Historical Society and Kester Museums,217 NE 4th Ave,Museum
Namm Group Inc,1591 N Powerline Rd # D,Handicraft museum
The Deerfield Beach Historical Society,380 E Hillsboro Blvd,Museum
Blanche Ely House,1500 NW 6th Ave,Museum
South Florida Railway Museum,1300 W Hillsboro Blvd,Rail museum
Broken brick house,NW 3rd Ave,Museum
Santa’s Satellite Office - Pompano Beach,2680 SE 5th St,Museum
Ely Educational Museum,1500 NW 6th Ave,Museum
Butterfly World,"Tradewinds Park, 3600 W Sample Rd",Museum
Creation Discovery Museum,2200 SW 10th St,Museum
Morais Art Gallery Art Classes and Workshops,418 N Federal Hwy,Museum
times square,5727 N Federal Hwy,Museum
Childrens Science Explorium,300 S Military Trail,Children's museum
Concrete Ship,1000 E Hillsboro Blvd #200,Museum
Boca Raton Children's Museum,498 Crawford Blvd,Children's museum
Boca Raton Museum of Art,501 Plaza Real,Art museum
Barber Salon,1101 S Military Trail,Museum
Tradewinds & Atlantic Railroad,,Rail museum
Activity For Sumer School,,Museum
Continental Art Installation,6250 Wiles Rd,Museum
Boca Raton Historical Society & Museum,"Historic Town Hall, 71 N Federal Hwy",History museum
Boca Express Train Museum,747 S Dixie Hwy,History museum
Tim Kiusalaas Gallery,2948 NW 9th St,Photographer
Joan D. Saperstein,,Museum
North Andrews Neighborhood Park,301 NW 55th St,Museum
World AIDS MUSEUM and Educational Center,1201 NE 26th St #111,Museum
Coral Springs Museum of Art,2855A Coral Springs Dr,Art museum
Casa Clare,484135CA0000,Museum
Museum of Coral Springs History,10000 NW 29th St,Museum
Joan D. Saperstein,Off The Coast of,Museum
Museum Pieces North America,9900 W Sample Rd # 300,Museum
T.O.E.,7000 W Palmetto Park Rd,Children's museum
Compere Casa,8313 N Coral Cir,Museum
Puzzle Palace,7555 Mandarin Dr,Museum
