name,address,type
Floral Acres Florist and Greenhouse,Antioch,Florist
Antioch Flower Shop,Antioch,Florist
Larkspur & Leo Artisan Floral Design,,Florist
Prunella's Flower Shoppe,Fox Lake,Florist
The Posh Posie Petaler,Wadsworth,Florist
Westosha Floral,Salem,Florist
Designscapes By LEH Florist,Round Lake Beach,Florist
Heavenly Creations Florist,,Florist
Once Upon A Petal Wedding Florist,,Florist
Field Flower Designs,Round Lake Beach,Florist
Flowers For All Seasons,Grayslake,Florist
Fox & Company,,Florist
Lewis Florist,Grayslake,Florist
Birds of Paradise Flower and Gift Shop,Spring Grove,Florist
Balmes Flowers Gurnee,Gurnee,Florist
Sam's Club Floral,Gurnee,Florist
Heavenly Creations Florist,,Florist
