name,address,type
Church Thrift Store,Chester,Thrift store
Spinach Can Collectibles,Chester,Collectibles store
Magnolia Memories,Chester,Store
Walmart,Chester,Discount store
Dollar General,Chester,Discount store
Rowold True Value,Chester,Hardware store
Muddy River Coffee,Chester,Coffee shop
Chester Ace Hardware,Chester,Hardware store
O'Reilly Auto Parts,Chester,Auto parts store
Napa Auto Tire & Parts,Chester,Auto parts store
Casey's,Chester,Gas station
Rent One,Chester,Appliance store
Chester Chrysler Center,Chester,Used car dealer
Walmart Photo Center,Chester,Photo shop
Barnes & Noble,Carbondale,Book store
McDonald's,Chester,Fast Food
Southwestern Illinois College - Bookstore,Belleville,Book store
John A. Logan Bookstore,Carterville,Book store
Barnes & Noble,Fairview Heights,Book store
King City Books,Mt Vernon,Book store
Books-A-Million,Edwardsville,Book store
NFL Christian Book Store,Alton,Book store
Novel Idea Bookstore And More,Granite City,Used book store
Taylor's Treasures,Ellis Grove,Thrift store
McKendree University Bookstore,Lebanon,Book store
Books On the Square,Virden,Used book store
Barnes & Noble,Springfield,Book store
Bob's Bookstore,Charleston,Used book store
Book Rack,Springfield,Used book store
UIS Bookstore,Springfield,Book store
Prairie Archives,Springfield,Used book store
Left Bank Books,St. Louis,Book store
MacMurray College Bookstore,Jacksonville,Book store
Old Book Barn,Forsyth,Book store
St Mary Antique Mall Inc,St Mary,Antique store
Illini Union Bookstore,Champaign,Book store
Jane Addams Book Shop,Champaign,Used book store
Illinois Wesleyan University Bookstore,Bloomington,Book store
Barnes & Noble,Champaign,Book store
Hartfield Book Company,Monticello,Book store
Books-A-Million,Edwardsville,Book store
NFL Christian Book Store,Alton,Book store
Novel Idea Bookstore And More,Granite City,Used book store
Taylor's Treasures,Ellis Grove,Thrift store
McKendree University Bookstore,Lebanon,Book store
Books On the Square,Virden,Used book store
Barnes & Noble,Springfield,Book store
Bob's Bookstore,Charleston,Used book store
Book Rack,Springfield,Used book store
UIS Bookstore,Springfield,Book store
Prairie Archives,Springfield,Used book store
Left Bank Books,St. Louis,Book store
MacMurray College Bookstore,Jacksonville,Book store
Old Book Barn,Forsyth,Book store
St Mary Antique Mall Inc,St Mary,Antique store
Illini Union Bookstore,Champaign,Book store
Jane Addams Book Shop,Champaign,Used book store
Kids Ink Children's Bookstores,Indianapolis,Book store
Bookie's - New and Used Books,Chicago,Book store
Barnes & Noble,Joliet,Book store
after-words bookstore,Chicago,Book store
Harvest Christian Bookstore,Chicago,Christian book store
Barnes & Noble,Orland Park,Book store
The Book Market Sales And Trading Center,Crest Hill,Used book store
Heartland CC Bookstore,Normal,Book store
JJC Bookstore,Joliet,Book store
Matthews Midwestern University Bookstore,Downers Grove,Book store
Half Price Books,Orland Park,Book store
NEIU Bookstore,Chicago,Book store
Unabridged Bookstore,Chicago,Book store
Stepan Bookstore,River Forest,Book store
Barnes & Noble,Naperville,Book store
Village Commons Book Store,DeKalb,Book store
Illinois Institute of Technology Official Bookstore,Chicago,Book store
Lewis University Bookstore,Romeoville,Book store
Half Price Books,Naperville,Book store
The Book Table,Oak Park,Book store
Saint Xavier University Bookstore,Chicago,Book store
Aurora University Bookstore,Aurora,Book store
Chester Video,Chester,Movie rental
Triton College Bookstore,River Grove,Book store
The Book Shop,Batavia,Used book store
Barnes & Noble,Geneva,Book store
Sandmeyer's Bookstore,Chicago,Book store
Barnes & Noble,Rockford,Book store
Barnes & Noble,Oak Brook,Book store
Aurora Downtown Campus Bookstore,Aurora,Book store
Judson University Bookstore,Elgin,Book store
Bradley University Bookstore,Peoria,Book store
Town House Books,St. Charles,Book store
Half Price Books,Downers Grove,Book store
Barnes & Noble,Bolingbrook,Book store
Prairie Path Books,Wheaton,Book store
Half Price Books,Countryside,Book store
Rosenberg Bookshop at the Newberry Library,Chicago,Book store
Wheaton College Bookstore,Wheaton,Book store
Barnes & Noble,Evanston,Book store
Amazon Books,Chicago,Book store
Powell's Books Chicago,Chicago,Used book store
Folletts College of DuPage Bookstore,Glen Ellyn,Book store
