name,address,type
Chillicothe Area History Museum,Chillicothe,Museum
Rock Island Railroad Museum,Chillicothe,Museum
Wheels O' Time Museum,Dunlap,Museum
Peoria Riverfront Museum,Peoria,Museum
Marshall County Museum,Lacon,Museum
The Peoria PlayHouse,Peoria,Children's museum
John C. Flanagan House Museum,Peoria,Museum
BNSF Caboose,,Local history museum
Peoria Historical Society,Peoria,Museum
Sand Ridge Cemetery,,Museum
Pettengill-Morron House Museum,Peoria,Historical place museum
Metamora Courthouse,Metamora,Museum
Princeville Heritage Museum,Princeville,Museum
Ronald Reagan Museum,Eureka,Museum
Charles Perdew Museum,Henry,Museum
Peoria Holocaust Memorial,Peoria,Museum
Toraason Glass,Peoria,Museum
Hunzinger Museum,Roanoke,Museum
African American Hall of Fame,Peoria,Museum
Peoria State Hospital Museum,Bartonville,Museum
Fondulac Seep Nature Preserve,East Peoria,Museum
Spankys,Peoria,Museum
Vicary Bottoms Park,,Museum
Al Fresco Park,Peoria Heights,Museum
Peoria lake view library,Peoria,Museum
St. Patrick's Catholic Church,,Museum
"Chicago, Burlington & Quincy Railroad Depot",,Rail museum
PC Global LLC. DBA Global LLC.,,Museum
Caterpillar Visitors Center,Peoria,Visitor center
