name,address,type
Elle Hair Salon,6246 Main St,Beauty salon
Galleria Hair Salon & Day Spa,5147 Mochel Dr,Beauty salon
Rocco & Rocco,5127 Main St,Beauty salon
Daniel Stevens Salon,7315 Lemont Rd,Beauty salon
Ambience Hair Studio,2222 Maple Ave #2,Beauty salon
"980 Salon Studios, Ltd.",980 Warren Ave,Beauty salon
Heaven's Beauty Hair & Day Spa,2125 63rd St,Beauty salon
Salon Sophia,132 Ogden Ave,Beauty salon
Salon Divino,2001 Butterfield Rd,Beauty salon
Salon Q,410 75th St,Beauty salon
LaCoutoure Salon & Day Spa,5112 Forest Ave,Beauty salon
U Style Hair Salon,1640 E 75th St E,Beauty salon
Q Hair,2019 Ogden Ave,Beauty salon
AviZen Color Bar,"1546 C, 75th St",Beauty salon
Beauty Company Of Chicago,7201 Lemont Rd,Beauty salon
Fine Design Hair Studio,5101-A Washington St,Beauty salon
Cutting Edge Salon,1227 Ogden Ave A,Beauty salon
Serenity Nail Spa Dg,2954 Finley Rd,Nail salon
Great Clips,1414 Butterfield Rd,Beauty salon
Great Clips,64 Ogden Ave Ste C2,Beauty salon
A Shear Encounter II,5017 Highland Ave,Beauty salon
Silk roses salon spa / European Salon Spa,4244 Main St,Beauty salon
Expressions Hair Design,132 W Ogden Ave,Beauty salon
Bizy Cuts,444 75th St,Beauty salon
Supercuts,1202P 75th St,Beauty salon
MegaLash Studio,4928 Main St,Beauty salon
H Nails,4952 Main St #4,Nail salon
Laura's Hair & Nail Studio,4404 Fairview Ave,Beauty salon
Studio 34 Hair Design,1525 Ogden Ave # J,Beauty salon
My Nails & Toes,937 Curtiss St # 1,Nail salon
Allure Hair Design,5133 Belmont Rd,Beauty salon
Hair Razors,5529 Belmont Rd,Beauty salon
Great Clips,6319 Woodward Ave,Beauty salon
X Nails,2569 Ogden Ave # 7,Nail salon
Studio 800 Salon Suites,800 Ogden Ave #8 Suite A,Beauty salon
Lee Nails,2005 63rd St,Nail salon
Vinni's Salon and Spa,1121 Fairview Ave,Beauty salon
Happy Nails,414 Ogden Ave,Nail salon
Headz Up Barber Salon,5528 Belmont Rd # A,Beauty salon
twilight nails salon,7333 Lemont Rd,Beauty salon
BoRics Hair Care,7311 Lemont Rd,Beauty salon
Beauty Concepts Salon & Spa,6309 Fairview Ave,Beauty salon
Beauty Co. Salon & Spa,7201 Lemont Rd,Beauty salon
House of Nails & Spa,1400 75th St b2,Nail salon
Bo Nails,6236 Main St,Nail salon
Garnet Nails,5133 Washington St,Nail salon
Unique Face And Lashes,132 Ogden Ave,Beauty salon
Elana Darrus Wedding Makeup & Hair,1061 Robey Ave,Beauty salon
T Nail,5001 Fairview Ave,Nail salon
Yuva Beauty Downers Grove (The Art of Eyebrow Threading),"Between Bed Bath & Beyond and PetSmart, 1548A Butterfield Rd",Beauty salon
International Beauty Systems Inc,2263 Maple Ave,Beauty salon
Four Seasons Nails,426 75th St,Nail salon
The Velvet Hair Sweet Salon,3021 Butterfield Rd #128,Beauty salon
Phenix Salon Suites,7315 Lemont Rd,Beauty salon
Takara Belmont Usa Inc,3010 Woodcreek Dr suite d,Beauty salon
Hairwerks Salon,526 Ogden Ave,Hair salon
Venezia Nail Spa,124 A Ogden Ave,Nail salon
Lynn's Nails,2025 Ogden Ave,Nail salon
Karma Salon-Spa,15 N Cass Ave,Beauty salon
Xclusive Nails LTD,6307 Woodward Ave,Nail salon
Phenix Salon Suites,3021 Butterfield Rd,Beauty salon
Asha SalonSpa Butterfield,352 Yorktown Shopping Center,Beauty salon
Wild Orchid Salon,7511 Lemont Rd,Hair salon
Salon Rivaz,687 N Cass Ave,Beauty salon
T Bella Salon,"3021 Butterfield Rd #208, Suites 102, 103, 104",Beauty salon
Beauty Vision Salon,3 S. 24 Route 53,Beauty salon
Simply Beautiful Day Spa,640 C Ogden Ave,Day spa
The Image Salon at J.WiLDER Studios,36 N Cass Ave,Beauty salon
Crystal's Underground Hair Design,132 N Cass Ave #1,Beauty salon
Ulta Beauty,1310 75th St,Beauty salon
Audra's Spa,314 W Ogden Ave,Beauty salon
Gina Sulo Salon,5010 Fairview Ave Suite #1,Hair salon
Nail Fairy,125 W Ogden Ave,Nail salon
Supercuts,349 W Ogden Ave,Beauty salon
Hair Cuttery,1018 W Ogden Ave,Hair salon
Sport Clips Haircuts of Downers Grove,334 Ogden Ave Suite 1004,Hair salon
War Room Wax Studio,800 Ogden Ave #1g,Beauty salon
lylocks,15 W Quincy St STE B,Beauty salon
The SALON by InStyle Inside JCPenney,175 Yorktown Shopping Center,Beauty salon
InVinceAble Hair LTD,3021 Butterfield Rd,Beauty salon
Mario Tricoci Hair Salon & Day Spa - Yorktown,256 Yorktown Shopping Center,Beauty salon
Kids Cuts,2746 Maple Ave,Hair salon
NINA MARIE HAIR,800 Ogden Ave suite b,Hair salon
Perfect Lashes,5133 Washington St #1,Beauty salon
Classy Nails and Spa,2830 S Highland Ave,Nail salon
Studio 101 - Izabelle,7315 Lemont Rd,Beauty salon
JCPenney Salon,203 Yorktown Shopping Center,Beauty salon
BE Nail Beauty Lounge,436 Ogden Ave,Nail salon
nails x me,5405 Elm St,Nail salon
University of Aesthetics & Cosmetology,1037-1043 Curtiss St,Beauty salon
Santo Albanese Salon,407 W Ogden Ave,Beauty salon
Magic Nails and Spa,3041 Butterfield Rd #114,Nail salon
Amazing Lash Studio,228 B Yorktown Center,Beauty salon
Great Clips,2133 W 75th St,Beauty salon
Flo's Tips N' Toes,128 S Cass Ave,Nail salon
Natural Look Salon & Spa,219 E Ogden Ave,Hair salon
Main Street Hair Company,4736 Main St #1,Beauty salon
Blend Facial + Style Bar // Blend Salon + Skincare,1111 Burlington Ave #103,Beauty salon
Cosmetic Laser Vein & Surgical,6800 Main St,Laser hair removal service
L.A. TAN,241 Ogden Ave,Beauty salon
Johnny & Cher's House of Hair,927 63rd St,Hair salon
Red Nails,266 Yorktown Shopping Center,Nail salon
Glowing Skin,5147 Mochel Dr,Beauty salon
Celestine Salon & Spa,"2702, 1224 Plainfield Rd # 2",Beauty salon
Hair Cuttery,2301 63rd St,Hair salon
Charismas,Elm St,Hair salon
Shear Reflections Ltd. Hair Salon - A Suite Salon,1909 S Meyers Rd #114,Beauty salon
Cheryl's Total Look,210 E Chicago Ave,Beauty salon
Metamorphosis Med Spa,3825 Highland Ave tower 1 suite 5g,Medical spa
Sanly Beauty Studio,4756 Main St,Beauty salon
Sesha’s Beauty Salon,6115 S Cass Ave,Beauty salon
Randall Brent Salon,4726 Main St,Beauty salon
Justin Joseph Salon,4901 Forest Grove Ln,Hair salon
Paul Mitchell The School Lombard,106 Yorktown Shopping Center,Beauty salon
TRICEY DAZZLEZ,420 Walnut Creek Rd UNIT 3101,Beauty salon
New Look Salon & Spa,6601 S Cass Ave,Beauty salon
Brad Paul's Hair Salon,6436 S Cass Ave,Beauty salon
Nails by Lisa,3021 Butterfield Rd suite 208,Nail salon
AmeriLaser Center,1034 Warren Ave,Laser hair removal service
The WeaveLuxe Bar,7315 Lemont Rd,Hair salon
Northfield Plaza Salons,1 Northfield Plaza Suite 101,Beauty salon
Chic Concepts Salon,607 Irving Park Rd,Hair salon
Laura's Cut Above,1000 Burlington Railroad Tracks,Beauty salon
Hair Cuttery,1001 75th St #181,Hair salon
Swedish Spa,"1227 A, Ogden Ave",Massage therapist
Beauty Refuge,1909 Meyers Rd #112,Beauty salon
Buzzz Beauty Salon,85 61st St,Beauty salon
Phoenix Nails & Spa,15 E Burlington Ave,Spa
Nails Shine,31 63rd St suit C,Nail salon
Scumaci Hair Studio,11 S Prospect Ave,Beauty salon
