name,address,type
The Wooden Nickel Pub and Grill,171 S Main St,Grill
54th Street Grill & Bar,6660 Edwardsville Crossing Dr,Restaurant
Applebee's Grill + Bar,"3600 S, IL-159",Restaurant
Doc's Smokehouse & Catering,6108 Shoger Dr Suite D,Barbecue
Texas Roadhouse,6640 Edwardsville Crossing Dr,Steak
Bella Milano Edwardsville,1063 S State Rte 157,Italian
The Cabin At Judy Creek,3730 S State Rte 157,Restaurant
La Fonda Mexican Restaurant,2310 Troy Rd,Mexican
Bann Thai,4 Club Centre Ct,Thai
Wang Gang,1035 Century Dr,Chinese
Edison's Entertainment Complex,2477 S State Rte 157,American
Joe's Pizza & Pasta,4 Club Centre Ct,Restaurant
IHOP,"4233 South, IL-159",Restaurant
Culver's,6724 Old Troy Rd,American
Taj Indian Cuisine,4 Club Centre Ct A,Indian
KFC,3202 IL-159,Fast Food
Dairy Queen,"3905 S, IL-159",Fast Food
The Weeping Willow,123 Glen Crossing Rd,Restaurant
Teaspoons Cafe,2125 IL-157,Restaurant
Denny's,27 Jct Dr W,Diner
EdgeWild Edwardsville,1071 S State Rte 157,Restaurant
Catrinas,1027 Century Dr,Mexican
Oriental Spoon,229 Harvard Dr,Korean
Sugo's Spaghetteria,243 Harvard Dr,Italian
Mariachi's,2922 N Center St,Mexican
Hardee's,"4207 S, IL-159",Fast Food
Gulf Shores Restaurant & Catering,215 Harvard Dr,Cajun
Papa John's Pizza,"3592 S, IL-159",Pizza
The Studio,60 School St,Restaurant
Hotshots Sports Bar & Grill,2511 IL-157,Grill
Imo's Pizza,1100 S State Rte 157,Pizza
Fazoli's,6663 Edwardsville Crossing Dr,Restaurant
Kyoto Sushi Steakhouse,441 S State Rte 157 #103,Japanese steakhouse
Shangri-la Chinese Restaurant,1039 Century Dr,Chinese
Pasta House Co,1097 IL-157,Italian
Nori Sushi & Japanese Grill,1025 Century Dr,Japanese
Sonic Drive-In,1017 Plummer Dr,Fast Food
Sugarfire Smoke House,2323 Plum St,Restaurant
Red Robin Gourmet Burgers and Brews,6699 Edwardsville Crossing Dr,Restaurant
Chicken Salad Chick,2323 Plum St #300,Southern
Fire-N-Smoke Wood Fired Kitchen,914 Edwardsville Rd,Barbecue
Little Caesars Pizza,3751 IL-159,Pizza
Peel Wood Fired Pizza,921 S Arbor Vitae,Pizza
China King,1063 IL-157 #10,Chinese
MOD Pizza,2300A Troy Rd,Pizza
McAlister's Deli,312 Great Pl Dr,Sandwich
QDOBA Mexican Eats,2100 Troy Rd #5,Mexican
Steak 'n Shake,2382 Troy Rd,Hamburger
Jack in the Box,31 Jct Dr W,Fast Food
Crazy Bowls and Wraps,6679 Edwardsville Crossing Dr,Fast Food
Mike Shannon's Grill,871 S Arbor Vitae,Restaurant
Freddy's Frozen Custard & Steakburgers,2204 Troy Rd,Hamburger
Pizza Hut,2386 Troy Rd,Pizza
Cleveland-Heath,106 N Main St,American
Buffalo Wild Wings,249 Harvard Dr,Chicken Wings
The Lake House,2822 N Center St,Grill
Zapp Thai,1500 Troy Rd,Thai
Pantera's Pizza,1522 Troy Rd,Pizza
Dewey's Pizza,112 E Vandalia St,Pizza
Old Towne Tavern,155 S Main St,Bar
La Casa Mexicana Inc,201 Harvard Dr,Mexican
Red Apple Family Restaurant,2625 N Center St,Family-friendly
El Maguey,1534 Troy Rd,Mexican
1818 Chophouse,210 S Buchanan St,Steak
Jimmy John's,"3815 S, IL-159",Sandwich
Wendy's,6104 Center Grove Rd,Fast Food
Wingstop,2100 Troy Rd #103,Chicken Wings
Boogies,2082 Vadalabene Dr,Grill
The Orient Chinese Restaurant,1518 Troy Rd,Chinese
McDonald's,6091 Center Grove Rd,Fast Food
Queens Cuisine Tea Room,120 S Main St,Restaurant
Papa Murphy's Take 'N' Bake Pizza,207 Harvard Dr Suite 159,Pizza
Lion's Choice,2384 Troy Rd,Fast Food
Quiznos- TEMPORARILY CLOSED PLEASE CHECK BACK,1053 Century Dr,Sandwich
Tropical Sno,"1705-1761, IL-157",Soul
Cracker Barrel Old Country Store,2001 Formosa Rd,American
Taco Bell,1710 Troy Rd,Fast Food
Foundry Public House,126 N Main St,Grill
Subway,#2 Shepard Plaza,Sandwich
Arby's,1800 Troy Rd,Fast Food
Terra Sur,920 Edwardsville Rd,Mexican
Captain D's,1960 Troy Rd,Fast Food
Jade Garden Chinese Restaurant,2 Professional Park Dr STE D,Chinese
Sweet Bakery Creations by C&K,2709 N Center St,Restaurant
McDonald's,1704 Troy Rd,Fast Food
North Main Diner,146 N Main St,American
Taqueria Z,109 E Park St,Tacos
Stagger Inn,104 E Vandalia St,Grill
Chava's Mexican Restaurant,217 E Vandalia St,Mexican
Clean Eatz,316 S Buchanan St,Restaurant
G C Cuisine & Crystal Garden Banquet & Event Center,1230 University Dr,Takeout Restaurant
Uncle Linny's Restaurant,4112 E Pontoon Rd,Family-friendly
Joe's Pizza and Pasta,904 Edwardsville Rd,Italian
St. Louis Bread Co.,6683 Edwardsville Crossing Dr,Sandwich
Hen House Restaurant,1250 Chain of Rocks Rd,American
Dairy Queen Grill & Chill,400 S Buchanan St,Fast Food
Wasabi Sushi Bar Edwardsville,100 S Buchanan St,Sushi
Taco Bell,908 Edwardsville Rd,Fast Food
Chick-fil-A,University Ctr Box 1170,Fast Food
Jimmy John's,1063 S State Rte 157 #3,Sandwich
Country Pride,819 Edwardsville Rd,Restaurant
222 Artisan Bakery & Cafe,222 N Main St,Bakery
Subway,108 S Buchanan St Unit C,Sandwich
So'Pasta,1031 Century Dr,Italian
Big Daddy's Edwardsville,132 N Main St,Grill
Mr Currys India Restaurant -Countryside Gourmet By Reservation only,7403 Marine Rd,Indian
"Bandana's Bar-B-Q Collinsville, IL",4 Commerce Dr,Barbecue
Subway,"4 Club Centre Shpg Ctr, Suite J",Sandwich
Arby's,820 Edwardsville Rd,Fast Food
Sam's Club Cafe,5 Illini Dr,Cafe
Fazzi's Restaurant & Bar,1813 Vandalia St,Greek
Penn Station East Coast Subs,231 Harvard Dr,Sandwich
Auntie Anne's Pretzels,Southern Illinois University,Restaurant
SIUE FOUNDERS,119 Peck Service Rd,American
Moussalli’s Prime,7415 IL-143,Restaurant
Carisilos,1978 Vandalia St,Mexican
Taste Of Country,,Restaurant
Pizza Hut Express,"Morris University Center, Box 1170",Pizza
Culver's,100 United Dr,American
Burger King,708 Edwardsville Rd,Fast Food
Porter's Steakhouse,1000 Eastport Plaza Dr,Steak
