name,address,type
Los Amigos 2,1745 IL-127,Mexican
Mario's Pizza,111 W College Ave,Pizza
Joe's Pizza & Pasta,106 N 2nd St,Italian
Huddle House,1730 IL-127,American
Lu-Bob's Restaurant,1604 IL-127,Family-friendly
Corner Cafe,111 N 3rd St,Restaurant
Hibachi Buffet,221 W College Ave,Buffet
Jo's Java,500 Ganton Cir,Restaurant
Chang's Chinese Restaurant,1504 IL-127,Chinese
Kahuna's Burgers,104 W Harris Ave,Fast Food
Domino's Pizza,"1501 S, IL-127 Ste A",Pizza Delivery
McDonald's,1600 South Street,Fast Food
Dairy Queen Grill & Chill,219 N 3rd St,Fast Food
Greenville Country Club,1391 IL-140,American
Subway,108 N 2nd St,Sandwich
Greenville University Dining Commons,500 Ganton Cir,Restaurant
4th Street BBQ,2105 S 4th St,Barbecue
Subway,"1900 So, IL-127",Sandwich
Taco Bell,"1607 South, IL-127",Fast Food
KFC,"1607 South, IL-127",Chicken
west tom cat,280 W College Ave,Restaurant
Chester's Chicken,1900 IL-127,Chicken
3st Place Bar and Grill,596 IL-127,Restaurant
Willie's Place,2105 S 4th St,Bar
Nuby's Steakhouse,679 Old National Trail,Steak
