name,address,type
Sunderlage House,1775 Vista Ln,Museum
Schaumburg Historical Society,208 E Schaumburg Rd,Museum
Volkening Heritage Farm,201 S Plum Grove Rd,Open air museum
Historic Turret House,,Museum
School House Museum,700 W Irving Park Rd,Museum
Epic,1936 Wayland Ln,Historical place museum
First Saint Peter Church,220 E Schaumburg Rd,Historical place museum
Schaumburg Center School,222 E Schaumburg Rd,Historical place museum
Elgin Public Museum,225 Grand Blvd,Museum
Blocks to Bricks,5 Woodfield Mall d215,Toy museum
The lyon mansion,45 Lakeview Ln,Museum
Brethen Historical Society,1451 Dundee Ave,Museum
Rolling Meadows Historical Msm,3100 W Central Rd,Museum
Elgin History Museum,360 Park St,Local history museum
Barrington History Museum,212 W Main St,Museum
Elk Grove Historical Museum,399 Biesterfield Rd,Museum
Elgin Fire Barn No. 5 Museum,533 St Charles St,Museum
Bartlett Depot Museum,100 W Railroad Ave,Museum
George Clayson House Museum,224 E Palatine Rd,Museum
Cady Cemetery,,Museum
Roselle History Museum,39 E Elm St,History museum
Captive Portal Login,7521 Wedgewood Dr,Museum
The White House of Schaumburg,513 N Meacham Rd,Museum
Dundee Twp Historical Society,426 Highland Ave,Museum
Spring Valley Nature Center & Heritage Farm,1111 E Schaumburg Rd,Nature preserve
East Dundee Water Tower,12 Rolling Hills Dr,Museum
LegoLand,601 N Martingale Rd,Museum
Xplor,N Western Ave,Museum
Itasca Historical Depot,101 Catalpa Ave,History museum
Firemen Memorial,,Museum
Bartlett History Museum,228 S Main St,History museum
Bloomingdale Park District Museum,108 S Bloomingdale Rd,History museum
Fox River Trolley Museum,365 S La Fox St,Rail museum
Sixties Museum Inc,,Museum
Place de la Musique,,Museum
Bertlett.,100 W Railroad Ave,Museum
Chongo bongo inc.,154 E Cunningham Dr,Museum
Ray Franzen Bird Sanctuary,650 N Rohlwing Rd,Museum
White cemetery,26361-26273 W Cuba Rd,Museum
Gretna Station Museum,849 W Lies Rd,Museum
Barrington Area Historical Society,212 W Main St,Non-profit organization
Raupp Memorial Museum,901 Dunham Ln,Museum
Donald E. Stephens Museum of Hummels,9513 W Higgins Rd,Museum
JCC Chicago- Garoon Gateway to Science,23280 N Old McHenry Rd,Park
DuPage County Historical Museum & Wheaton Park District Administration Building,102 E Wesley St,History museum
The Art Institute of Chicago,111 S Michigan Ave,Museum
Field Museum,1400 S Lake Shore Dr,Museum
Kohl Children's Museum,2100 Patriot Blvd,Museum
West Chicago City Museum,132 Main St,Museum
Elmhurst History Museum,120 E Park Ave,Museum
Elmhurst Art Museum,150 S Cottage Hill Ave,Museum
Geneva History Museum,113 S 3rd St,Museum
Illinois Railway Museum,7000 Olson Rd,Rail museum
"Museum of Science and Industry, Chicago",5700 S Lake Shore Dr,Science museum
Bess Bower Dunn Museum of Lake County,1899 W Winchester Rd,Museum
DuPage Children's Museum,301 N Washington St,Children's museum
Big Red One Museum,,Museum
Volo Auto Museum,27582 Volo Village Rd,Museum
Lizzadro Museum of Lapidary Art,1220 Kensington Rd,Art museum
Aurora Regional Fire Museum,53 N Broadway,Museum
Lizzadro Museum of Lapidary Art,Oak Brook,Art museum
Aurora Regional Fire Museum,Aurora,Museum
Museum Of Contemporary Art Chicago,Chicago,Modern art museum
Illinois Holocaust Museum & Education Center,Skokie,History museum
Illinois Aviation Museum,Bolingbrook,Museum
SciTech Hands On Museum,Aurora,Museum
National Museum of the American Sailor,Great Lakes,Museum
Ansel B. Cook House,Libertyville,Museum
Pleasant Home,Oak Park,Museum
Swedish American Museum,Chicago,Museum
Chicago History Museum,Chicago,History museum
National Museum of Mexican Art,Chicago,Art museum
Mitchell Museum of the American Indian,Evanston,Museum
Pioneer Sholes School,St. Charles,Museum
International Museum of Surgical Science,Chicago,Science museum
Pritzker Military Museum & Library,Chicago,History museum
Kenilworth Historical Society,Kenilworth,Museum
Lemont Area Historical Society,Lemont,Museum
Peggy Notebaert Nature Museum,Chicago,Natural history museum
Glessner House,Chicago,Museum
McCormick Bridgehouse & Chicago River Museum,Chicago,Museum
Museum of Contemporary Photography,Chicago,Museum
Intuit: The Center for Intuitive and Outsider Art,Chicago,Art museum
National Hellenic Museum,Chicago,Museum
Chicago Maritime Museum,Chicago,Local history museum
Cantigny Park,Wheaton,Park
Midway Village Museum,Rockford,Local history museum
Modern Wing Entrance,Chicago,Museum
Big Rock Historical Society,Big Rock,Museum
Frederick C. Robie House,Chicago,Museum
Oriental Institute Museum,Chicago,Archaeological museum
National A. Philip Randolph Pullman Porter Museum,Chicago,Heritage museum
Bronzeville Children's Museum,Chicago,Children's museum
Burpee Museum of Natural History,Rockford,Natural history museum
Smart Museum of Art,Chicago,Art museum
Calumet City Historical Society,Calumet City,Museum
Art Institute of Chicago Modern Wing Entrance,Chicago,Museum
Museum Of The Gilding Arts,Pontiac,Museum
Stockton Heritage Museum,Stockton,History museum
Catherine Yost House Museum,Pontiac,Museum
