name,address,type
Sofia's Mexican Restaurant,640 E State Rd,Mexican
Nancy's Pizza,527 Auburn Dr,Pizza
El Norteno,206 E State Rd,Mexican
Taco & Burrito Express,215 E State Rd,Mexican
Hunan Gourmet Chinese Restaurant,529 Auburn Dr,Chinese
Bella Lukes of Island Lake,107 E State Rd,Italian
Kief's Reef,3505 S Wright Rd,Pizza
Chi-Town Dogs,541 Auburn Dr,Fast Food
Culver's,203 E State Rd,American
McDonald's,600 W State Rd,Fast Food
hunan gourmet,3510 Ridge Rd,Restaurant
Carlos River Cafe,1707 Nish Rd,Cafe
Island Lake Cafe,310 E State Rd,Cafe
BROKEN OAR MARINA-BAR & GRILL,614 Rawson Bridge Rd,Grill
Riverside Pub,1625 IL-176,Restaurant
Lindy's Landing,115 Park St,American
3D-Sideouts,4018 W Roberts Rd,Bar
J J Twig's Pizza,1200 N Old Rand Rd,Pizza
Thorntons,27905 W Highway176,Convenience store
Uncle D's Bar and Grille,380 W Liberty St,Grill
Rosati's Pizza,531 W Liberty St,Pizza
Guys Grille Gyros & More,386 W Liberty St,American
Deacon's Restaurant & Bar at the Golf Farm,2100 US-12,Grill
Buck Wild Tavern,27509 Beech St # A,Bar
Gianelli's Drive Thru,3111 IL-176,Restaurant
Taco Bell,705 W Liberty St,Fast Food
Fratellos Hot Dogs,31682 N US Hwy 12,American
Bobby's Barrel,35009 N Gilmer Rd,Restaurant
Bulldogs Grill,122 Main St,Hamburger
Little Caesars Pizza,618 W Liberty St,Pizza
Middleton's on Main,110 S Main St,Restaurant
Panda Chinese Restaurant,587 W Liberty St,Chinese
SLYCE coal fired pizza company,127 N Main St,Pizza
Taylor Mobile Restorations,,Upholstery shop
Panhandler's Pizza,349 Barrington Rd #5,Pizza
El Manantial Restaurant,461 W Liberty St,Mexican
No Wake Bar and Grill,99 Kazimour Dr,Grill
Za Za's Tavola Italiana,5047 Shoreline Rd,Italian
Rosati's Pizza of Lakemoor,28948 IL-120,Pizza
Green Goat,203 S Main St,Restaurant
Raul's Burrito Express,Wauconda,Mexican
Sweet Melissa's Pizza & Pub,Lakemoor,Pizza
El Dorado Mexican Restaurant,Lakemoor,Mexican
Docks Bar & Grill,Wauconda,Grill
Little Rock Stock Cafe,Wauconda,Restaurant
Red house video gaming cafe and bar,Lakemoor,Grill
Main Street Tacos,Wauconda,Mexican
Tony V's Pizzeria and Bar,Cary,Pizza
Burger King,Wauconda,Fast Food
Whiskey Bungalow,Crystal Lake,Grill
Cucina Rosa Italian Restaurant,McHenry,Restaurant
J&D's Bar and Grill,Wauconda,Grill
Crystal Lake Rib House,Crystal Lake,Barbecue
Dunkin',Island Lake,Coffee shop
Texas Roadhouse,Crystal Lake,Steak
