name,address,type
"Johnny D Tees, L.L.C.",Lake Villa,Screen printer
Walgreens,Lake Villa,Drug store
Real American Warriors - R.A.W.,,Custom t-shirt store
Kustom Apparel Printing,,Clothing store
Novedades Latinas,Round Lake Beach,Clothing store
BEBUSTED PLUS SIZE CLOTHING,,Plus size clothing store
Walmart Supercenter,Round Lake Beach,Department store
Christina's Specials,,Women's clothing store
Sinful Seductions,,Lingerie store
Cuna's Formal Wear,Round Lake,Formal wear store
A.B.C. Diaper Creations,,Gift basket store
Jordan's,Round Lake Beach,Men's clothing store
Braxton Boutique,Round Lake Beach,Clothing store
Great Lakes Antiques Boutique,Antioch,Clothing store
Zanna Dunes,Antioch,Clothing store
Let Me Suit You Bespoke Clothing,Round Lake Beach,Clothing store
El Guerrero Western Wear,Round Lake,Clothing store
Relish Brand,Lindenhurst,Clothing store
ArtRageous Apparel,Grayslake,Custom t-shirt store
KarmaShay,,Clothing store
Walgreens,Round Lake Beach,Drug store
"Nielsen Enterprises, Inc.",Lake Villa,Motorsports store
Sparrow's Nest Thrift Store and Donation Center,Third Lake,Clothing store
Curvy Diva Boutique,Antioch,Clothing store
Closet Traders,Grayslake,Clothing store
Sky Fashion,Grayslake,Clothing store
Chez Shea North Embroidery,Antioch,Embroidery shop
Elite Embroidery,Antioch,T-shirt store
Toucan Dive Shop,Lake Villa,Dive shop
JJ BLINKERS Joke Magic & Costume Shop!,Antioch,Costume store
Ross Dress for Less,Gurnee,Clothing store
Kohl's Round Lake,Round Lake Beach,Department store
Men's Wearhouse,Gurnee,Men's clothing store
Lake Villa Liquor-Tosa,Lake Villa,Liquor store
Todds Pawn Shop,Lake Villa,Pawn shop
Ooh~La~La Boutique & Consignment,Antioch,Boutique
Creative Clothing Created 4U,Grayslake,Women's clothing store
The Tailored Foundation,,Men's clothing store
Maurices,Gurnee,Women's clothing store
Lake Villa Tire & Service,Lake Villa,Auto repair shop
Carhartt,Gurnee,Work clothes store
Old Navy,Gurnee,Clothing store
Julden Designs,,Custom t-shirt store
Pinkskate LLC,,Clothing store
Target,Gurnee,Clothing store
"Leathers 4U, II. Inc",Antioch,Clothing store
Blissful Discount Kids,,Baby store
Ninth Avenue,,Clothing store
Levi's Outlet Store at Gurnee Mills,Gurnee,Clothing store
Macy's,Gurnee,Department store
The Deli Lama Store & Cafe,Lake Villa,Deli
Lake County Barnwood,Lake Villa,Home goods store
Mis quince primaveras,Round Lake Beach,Dress store
H&M,Gurnee,Clothing store
Red Dot Arms,Lake Villa,Gun shop
Ross Dress for Less,McHenry,Clothing store
Tillys,Gurnee,Clothing store
Good Family Tattoo,Lake Villa,Tattoo shop
Walgreens,Antioch,Drug store
Hollister Co. Outlet,Gurnee,Clothing store
Burlington - Temporarily Closed,Gurnee,Clothing store
Maurices,McHenry,Women's clothing store
Abercrombie & Fitch,Gurnee,Clothing store
Niche Style LLC,,Clothing store
T.J. Maxx,Gurnee,Clothing store
Vape Scene,Lake Villa,Vaporizer store
Just Kidding Boutique,,Children's clothing store
American Eagle Outlet,Gurnee,Clothing store
Windsor,Gurnee,Women's clothing store
Banana Republic Factory Store,Gurnee,Clothing store
LOFT Outlet,Gurnee,Women's clothing store
Impressions Count,Antioch,Commercial printer
Marshalls & HomeGoods,Gurnee,Clothing store
Nike Clearance Store,Gurnee,Sportswear store
Belvidere Blues,Gurnee,Clothing store
Old Navy,McHenry,Clothing store
5.11 Tactical,Gurnee,Clothing store
J's Liquor,Lake Villa,Liquor store
Mandee,Gurnee,Clothing store
Polo Ralph Lauren Factory Store,Gurnee,Clothing store
rue21,Gurnee,Clothing store
The Children's Place Outlet,Gurnee,Children's clothing store
Buckle,Gurnee,Clothing store
GUESS Factory,Gurnee,Clothing store
Zumiez,Gurnee,Clothing store
ChinLet Collectibles,,Clothing store
Elizabeth and Comp,,Clothing store
Aerie Store,Gurnee,Clothing store
Walgreens,Lindenhurst,Drug store
Affirmation Tea,,Clothing store
T.J. Maxx,McHenry,Clothing store
Hot Topic,Gurnee,Clothing store
Carter's,Gurnee,Children's clothing store
Aéropostale,Gurnee,Clothing store
JandVmajortees,,Clothing store
"Northerly Outfitters, Ltd.",,Clothing store
Target,Mundelein,Clothing store
Burlington Shoes,Gurnee,Clothing store
Bonnie's Chic Boutique,Grayslake,Boutique
Mr. J's Motors Inc,Lake Villa,Used car dealer
