name,address,type
Roadhouse 52,525 S State St,Family-friendly
Agave Azul Mexican Restaurant,330 W North St,Mexican
Gallagher's Pub,160 E North St,Grill
"The Manhattan Firehouse Grill, Inc",195 S State St,Hamburger
Manhattan Pizza & Wings,120 E North St,Pizza
China One,360 W North St,Chinese
Kat's Cafe,340 W North St,Breakfast
Rosati's Pizza,530 W North St,Pizza
Pizza For U,130 W North St,Pizza
Subway,530 W North St Suite 103,Sandwich
Pizza Hut Express,"Fast N Fresh #641, 555 W North St",Pizza
Creamery,525 W North St,Dessert shop
Fritz's Saloon,225 S State St,Bar
Gina's Teardrop Cafe,826 W Laraway Rd,Breakfast
Arrowhead Ales Brewing Company,2101 Calistoga Dr,Restaurant
Badda Bing's Italian Beef & Sausage,2001 Calistoga Dr,Fast Food
Pizza Mia! New Lenox,830 W Laraway Rd,Pizza
Italian Fiesta Pizzeria,2021 Calistoga Dr,Pizza
Rosati's Pizza,108 W Illinois Hwy,Pizza
Country Charm Restaurant,101 Lincolnway Dr #2034,Breakfast
Rising Sun,100 W Illinois Hwy,Chinese
Kirby's Korner Bakery,165 S State St,Caterer
Paisano's Restaurant,348 W Maple St,Pizza
McDonald's,2151 E Laraway Rd,Fast Food
Tacos Maui,1913 S Chicago St e,Restaurant
Louisiana Barbeque,1220 Richards St,Barbecue
Dunkin',970 W Laraway Rd,Coffee shop
The Irish Pig BBQ,280 E Lincoln Hwy,Barbecue
Williamson's Restaurant & Bar,1490 W Maple St,Gastropub
Dogs 'R' Us,1601 S Chicago St,Hot Dog
"Bernies Jerk Kitchen ""Jerk Is In Town""",312 Manhattan Rd,Restaurant
Cooper's Hawk Winery & Restaurant,2307 E Lincoln Hwy,American
Gatto's Italian Restaurant & Bar,1938 East Lincoln Hwy,Italian
Pop's Italian Beef,2410 S Chicago St,Italian
"Gracie's, Lucky Burrito II",5756 W Monee Manhattan Rd,Mexican
Tom Kelly’s Chophouse & Pub,495 Degroate Road,Restaurant
Zuki,11230 Lincoln Hwy,Japanese
Culver's,5871 W Monee Manhattan Rd,American
Bulldog Ale House,2387 E Joliet Hwy,American
Chicago Dough Company - New Lenox,1080 E Lincoln Hwy,Pizza
J J Fish & Chicken,Joliet,Seafood
Schoop's Hamburgers,Monee,Hamburger
El Burrito Loco,New Lenox,Mexican
OMG It's Gluten Free LLC,Frankfort,Food manufacturer
Portillo's Hot Dogs,New Lenox,Fast Food
Five Guys,New Lenox,Hamburger
Harold's Chicken Of Monee,Monee,Restaurant
Los potrillos bar & mexicano food,,Grill
Subway,Joliet,Sandwich
Emmy's Cafe,Manhattan,Cafe
SPG Green Garden Country Club & Driving Range,Frankfort,Restaurant
Arby's,Joliet,Fast Food
