name,address,type
Fat Edd's Roadhouse,323 Ferry St,American
Cordavino's,310 Ferry St,Italian
Just Like Mamas Home Cooking,901 E 5th St,Restaurant
Yesterday’s Home Cookin',310 W 10th St,Family-friendly
El Tequila Mexican Restaurant,1407 E 5th St,Mexican
Huddle House,2105 E 5th St,American
China House Buffet,1201 E 8th St,Chinese
Rube's,701 W 10th St,Diner
Domino's Pizza,501 W 10th St,Pizza Delivery
Bill's BBQ,1215 E 8th St,Barbecue
Fresh Buffet,100 E Front St,Buffet
Sonic Drive-In,1403 E 5th St,Fast Food
Bridges Dining Company,100 E Front St,Restaurant
Dairy Queen,401 E 5th St,Fast Food
Quiznos,2105 E 5th St,Sandwich
Hardee's,601 Ferry St,Fast Food
Super City Bar & Grill,2340 Devers Rd,Restaurant
Pizza Hut,2047 E 5th St,Pizza
McDonald's,1545 E 5th St,Fast Food
Sully's Billiards Bar & Grill,318 Scott St,Grill
Subway,903 E 5th St,Sandwich
El Toro Loco,613 B Market St,Restaurant
KFC,1215 E 8th St,Restaurant
SuperBowl Metropolis,1107 E 8th St,Bowling alley
Sissy's- A Sweet Shoppe,613 Market St,Cafe
Metropolis Knapp Mart,1117 E 5th St,Restaurant
Huck's Food and Fuel,102 W 10th St,Gas station
Strickland's Seafood Restaurant,548 N 32nd St,Seafood
Texas Roadhouse,2900 James Sanders Blvd,Steak
El Torito Mexican Grill,5450 Cairo Rd #1,Mexican
Flamingo Row,2640 Perkins Creek Dr,Caribbean
