name,address,type
McWethy's Tavern,1700 W Renwick Rd,American
Niko's Breakfast Club,38 S Weber Rd,Breakfast
White Fence Farm Restaurant,1376 Joliet Rd,Chicken
Doc Watson's Smokehouse,444 N Weber Rd,Barbecue
Tasty Waffle,642 S Weber Rd,Breakfast
At's A Nice Pizza,334 N Independence Blvd A,Pizza
Aodake Sushi & Steak House,462 N Weber Rd b,Steak
Bee Brothers,472 N Weber Rd,Breakfast
Sushi Train Japanese Restaurant,70 S Weber Rd,Sushi
Fat Ricky's,646 N Independence Blvd,Italian
Taco Dale Romeoville,364 S Weber Rd,Restaurant
Cracker Barrel Old Country Store,1295 Lakeview Dr,American
Ruby's Burritos & Pancake House Romeoville,41 Normantown Rd,Mexican
Thaiway,465 N Weber Rd,Thai
El Barrio Mexican Restaurant,336 N Independence Blvd,Mexican
Mongo McMichaels,1101 N Independence Blvd,American
China House Restaurant,44 S Weber Rd,Chinese
Chili's Grill & Bar,259 S Weber Rd,Tex Mex
Little China Restaurant,480 N Weber Rd,Chinese
Windy City Grill,300 N Independence Blvd,Sandwich
Culver's,485 N Weber Rd,American
Pop's Italian Beef & Sausage,277 S Weber Rd,Fast Food
Mamma Onesta's Italian Restaurant,1100 S State St,Italian
Burritos Mi Tierra,444 N Weber Rd,Mexican
"Tilted Kilt Pub and Eatery Bolingbrook, IL",1055 S Weber Rd,Grill
Public Landing Restaurant,200 W 8th St,Fine Dining
La Tortuga Feliz,330 S Budler Rd,Mexican
Cafe Romeo,345 N Independence Blvd,Breakfast
Rosati's Pizza,463 N Weber Rd,Pizza
McDonald's,1300 Marquette Dr,Fast Food
All-Star Diner,457 N Weber Rd,American
Stone City Saloon,721 N Independence Blvd,Grill
Ruby's Pancake House,39 Normantown Rd,Breakfast
Surf's Up - Romeoville,175 S Highpoint Dr,Seafood
Chipotle Mexican Grill,253 S Weber Rd,Mexican
Buffalo Wild Wings,74 S Weber Rd,Chicken Wings
Fatty Magoos Bar & Eatery,551 S Bolingbrook Dr,Italian
Michael's Pizza Romeoville,422 N Weber Rd,Pizza
Pepe's Mexican Restaurant,634 S Weber Rd,Mexican
OTOBO Sushi & Bar,477 S Weber Rd,Sushi
Romeoville,646 Forestwood Dr,Restaurant
Jimano's Pizzeria,365 S Budler Rd,Pizza
Panda Express,404 Weber Rd,Chinese
Tallgrass Restaurant,1006 S State St,Restaurant
El Comedor Express,660 N Independence Blvd,Restaurant
Wendy's,58 S Weber Rd,Fast Food
Popeyes Louisiana Kitchen,"1245 W, Normantown Rd",Chicken
White Castle,1265 Normantown Rd,Fast Food
McDonald's,778 S Weber Rd,Fast Food
Arby's,1245 Lakeview Dr,Fast Food
PITA ZONE,497 S Weber Rd,Mediterranean
Las Islas Marias,660 N Independence Blvd,Mexican
Mangia Pizza,132 E 9th St,Pizza
Larry's Bar & Grill,322 N Independence Blvd # A,Grill
McDonald's,645 N Independence Blvd,Fast Food
La Michoacana De Monarca,342 S Budler Rd,Ice Cream
Nest Bar & Grill,2001 Rodeo Dr,Restaurant
The Vegan Cafe,928 S State St,Vegan
Salerno's Pizza of Bolingbrook,899 S Weber Rd,Pizza
McDonald's,675 N Weber Rd,Fast Food
Cheddar's Scratch Kitchen,105 Remington Blvd,Traditional American
El Authentico Burrito,16143 Weber Rd,Mexican
Embers Tap House,933 S State St,Grill
Mickey's Grille & Pub,377 S Budler Rd,Bar
Checkers,651 N Independence Blvd,Restaurant
Wendy's,1275 Lakeview Dr,Fast Food
Taco Bell,76 S Weber Rd,Fast Food
P K Christian Restaurant,15921 Weber Rd,American
Subway,459 N Weber Rd,Sandwich
The Port of Peri Peri,766 S Weber Rd,Portuguese
Family Square Restaurant,372 S Bolingbrook Dr,Fast Food
Lost Acre Tavern,7 Alexander Cir,Pub
Domino's Pizza,360 S Weber Rd,Pizza Delivery
Papa Joe's Italian Restaurant,1001 S State St,Italian
Honeyfield Pancake House & Restaurant,984 E 9th St,Family-friendly
Pizzeria At the Point,631 N State St,Pizza
Jersey Mike's Subs,412 S Weber Rd,Sandwich
El Burrito Habanero,1500 S State St,Mexican
Comfort Inn Romeoville - Bolingbrook,,2-star hotel
Burger King,1290 Normantown Rd,Fast Food
El Asador,649 N Independence Blvd,Mexican
"Gio's Breakfast, Lunch, & Dinner",330 N Independence Blvd,Restaurant
Stagecoach Saloon,1028 S State St,Restaurant
Pizza Hut,291 S Weber Rd,Pizza
Burger King,304 N Independence Blvd,Fast Food
Zen House,1339 Lily Cache Ln,Takeout Restaurant
Hanover & Hardy's Public House,205 Remington Blvd,Restaurant
Jimmy John's,381 S Weber Rd,Sandwich
Big dude Bean Shack,361 Gainsborough Dr,Restaurant
Court yard cafe lewis university,University Dr S,Restaurant
Golden Chopsticks Restaurant,361 S Bolingbrook Dr,Chinese
Dunkin',239 S Weber Rd,Coffee shop
"Eggs, Inc. Cafe",278 S Weber Rd,Breakfast
Godfather's Eatery,301 S State St,Sandwich
Olive Garden Italian Restaurant,215 S Weber Rd,Italian
Bowlero Romeoville (Temporarily Closed),735 Center Blvd,Restaurant
Villa Nova Pizza,874 N State St,Pizza
I-55 Americana Restaurant,510 S Bolingbrook Dr,American
Buona,303 S Weber Rd,Italian
Outback Steakhouse,3241 Chicagoland Cir,Steak
El Asador,649 N Independence Blvd,Mexican
"Gio's Breakfast, Lunch, & Dinner",330 N Independence Blvd,Restaurant
Stagecoach Saloon,1028 S State St,Restaurant
Pizza Hut,291 S Weber Rd,Pizza
Burger King,304 N Independence Blvd,Fast Food
Zen House,1339 Lily Cache Ln,Takeout Restaurant
Hanover & Hardy's Public House,205 Remington Blvd,Restaurant
Jimmy John's,381 S Weber Rd,Sandwich
Big dude Bean Shack,361 Gainsborough Dr,Restaurant
Court yard cafe lewis university,University Dr S,Restaurant
Golden Chopsticks Restaurant,361 S Bolingbrook Dr,Chinese
Dunkin',239 S Weber Rd,Coffee shop
"Eggs, Inc. Cafe",278 S Weber Rd,Breakfast
Godfather's Eatery,301 S State St,Sandwich
Olive Garden Italian Restaurant,215 S Weber Rd,Italian
Bowlero Romeoville (Temporarily Closed),735 Center Blvd,Restaurant
Villa Nova Pizza,874 N State St,Pizza
I-55 Americana Restaurant,510 S Bolingbrook Dr,American
Buona,303 S Weber Rd,Italian
Outback Steakhouse,3241 Chicagoland Cir,Steak
Bulldog Ale House,Bolingbrook,Grill
Subway,Bolingbrook,Sandwich
Desi Diner,Bolingbrook,Indian
Baby Back Blues BBQ,Plainfield,Barbecue
Red Lobster,Joliet,Seafood
Taco Patio,Lockport,Mexican
Jonny's Tacos,Bolingbrook,Mexican
Circle K,Romeoville,Gas station
Anthonys Pancake House & Restaurant,Lockport,Restaurant
Noodles and Company,Bolingbrook,Restaurant
Chick-fil-A,Bolingbrook,Fast Food
El Authentico Burrito,Bolingbrook,Mexican
Applebee's Grill + Bar,Joliet,Restaurant
Taco Dale Bolingbrook,Bolingbrook,Mexican
Wendy's,Bolingbrook,Fast Food
Denny's,Bolingbrook,Diner
El Burrito Loco,Bolingbrook,Mexican
Lou Malnati's Pizzeria - Carry Out,Bolingbrook,Pizza Takeout
Anthonys Restaurant and Pub,Joliet,Restaurant
Home Run Inn Pizza,Bolingbrook,Pizza
European Deli & Subs Inc,1327 Lily Cache Ln,Deli
Ko Sushi,1237 W Boughton Rd,Sushi
Garden China Bolingbrook,176 S Bolingbrook Dr,Chinese
Panda Express,207 N Weber Rd,Chinese
El Balcon Restaurant y Mariscos,291 N Bolingbrook Dr,Mexican
Wendy's,221 S Weber Rd,Fast Food
Culver's,250 N Bolingbrook Dr,American
Nancy's Pizza,1209 E 9th St,Pizza
Osaka Grill,121 S Weber Rd,Buffet
Las Gorditas De Don Angel,299 S Bolingbrook Dr,Mexican
McDonald's,1039 E 9th St,Fast Food
Boston Market,285 N Weber Rd,American
