name,address,type
American Family Restaurant,1699 E Sauk Trail,Family-friendly
Shugga Shack,1719 Sauk Trail,Restaurant
Sharks Fish & Chicken,16 E Sauk Trail,Chicken Wings
Zio D's Pizza,2420 E Sauk Trail,Pizza
394 Smoke House,1719 E Sauk Trail,European
Hometown Gyros,2550 E Sauk Trail,Fast Food
Roots Bamboo Jerk,1715 E Sauk Trail A,Restaurant
Culver's,23180 Volbrecht Rd,American
McDonald's,2707 Sauk Trail,Fast Food
Popeyes Louisiana Kitchen,20 Surrey Brook Plz,Chicken
Tequila Sports Bar,2408 E Sauk Trail,Grill
El Pueblito,,Restaurant
Dunkin',2703 E Sauk Trail,Coffee shop
Ta Canijo,1445 E Sauk Trail,Restaurant
Northwoods Hearty Home Cookin' & Saloon,968 E Steger Rd,Restaurant
Popeyes,"20 Surrey, Brook Ave",Chicken
Warsaw Inn,2180 Glenwood Dyer Rd,Restaurant
Sharks Fish & Chicken,801 Lincoln Hwy,Chicken Wings
Gas N Wash,1445 E Sauk Trail,Restaurant
McDonald's,1350 Steger Rd,Fast Food
Burrito Station,39 W Sauk Trail,Burritos
Dunkin',1445 E Sauk Trail,Coffee shop
The New Corner Bar & Grill,2399 Joe Orr Rd #2349,Grill
Dean Gyros,162 W Sauk Trail,Gyro
Foodie's Cafe,151 Joliet St,Restaurant
The Savory Spot Restaurant & Catering,202 Joliet St,Southern
Bank Shots Bar and Grill,3285 Glenwood Dyer Rd,Grill
Taco Bell,23210 Volbrecht Rd,Fast Food
Pepe's Mexican Restaurant,44 W Sauk Trail,Mexican
Hardy's Fish & Chicken,996 E Steger Rd,Fast Food
Beggar's Pizza,3344 Sheffield Ave,Pizza
Circle K,1400 E Steger Rd,Gas station
Coppers Hawk,2685 E Lincoln Hwy,Restaurant
The Scrambled Diner,250 W 81st Ave,Breakfast
"Scrementi's | Restaurant, Banquets & Catering",3760 Chicago Rd,Banquet hall
Raspberry's Pancake House & Restaurant,3145 Chicago Rd,Breakfast
Harold's Chicken of Dyer #19,101 Joliet St,Fast Food
McDonald's,100 W Sauk Trail,Fast Food
La Cecina Restaurant,2013 Hart St,Mexican
Ruben's Mexican Grill,3364 Sheffield Ave,Mexican
The Brown Onion,11 W 34th St,American
La Fondita,212 22nd St,Mexican
Subway,1012 E Steger Rd,Sandwich
White Rhino Bar & Grill,101 East Joliet St,Grill
Bambino's Family Restaurant,37 E 34th St,Pizza
Texas Roadhouse,2070 Calumet Ave,Steak
Patsy's Pizza,2844 Chicago Rd,Pizza
Lynnie Ques,3249 Glenwood Lansing Rd,Barbecue
Doreen's Pizzeria,726 Joliet St,Pizza
El Lienzo Charro,2308 Chicago Rd,Mexican
Tony's Italian Deli,3360 Sheffield Ave,Restaurant
Tavern On The Green,390 E Richton Rd,Restaurant
Enzo's Restaurant,1710 Chicago Rd,Italian
Sheffield's Restaurant,1027 Sheffield Ave,Restaurant
Dozeli Pizzaria,3324 Chicago Rd,Pizza
Tortas DF,1 E 23rd St,Mexican
State Line Pizza Dyer,183 Matteson St,Pizza
Dairy Queen,1006 E Steger Rd,Fast Food
Blue Sharks Fish and Chicken of South Chicago Heights,3332 Chicago Rd,Chicken
L & A Barbque & Jerk Shack,130 E Lincoln Hwy,Barbecue
Cafe Borgia,10018 Calumet Ave,Italian
Venice Pizza of Dyer,1233 Sheffield Ave,Restaurant
Pop's Beef,1419 Joliet Highway,Takeout Restaurant
Boz Hot Dogs,3314 Louis Sherman Dr,Restaurant
Perro's Brothers Gyros,2601 Chicago Rd,Seafood
John's Pizzeria,1209 Sheffield Ave,Pizza
Dal Santo's Italian Sausage,976 E Steger Rd,Restaurant
The Station Pizzeria,151 N Glenwood Ave,Pizza
Pat's Gourmet Cooking,,Restaurant
