name,address,type
Krannert Art Museum,500 E Peabody Dr,Art museum
Spurlock Museum,600 S Gregory St,Museum
Champaign County History Museum (Cattle Bank Building),102 E University Ave,Museum
Orpheum Children's Science Museum,346 N Neil St,Children's museum
Origin of Boneyard Creek,1000 N Market St,Museum
Nat Cohen Building,136 W Main St,Museum
Pollinatarium,606 W Windsor Rd,University
Sousa Archives and Center for American Music,"Harding Band Building, 1103 S 6th St",Records storage facility
Anita Purves Nature Center,1505 N Broadway Ave,Museum
Champagne Rock Park,9147 Cottage Row,Museum
Wullenwebber Array,"9, 88°22'50, W Illinois St",Museum
Promenade Showcase and Gift Shop,"500 S Goodwin Ave, Krannert Center for the Performing Arts",Museum
