name,address,type
"Just Writers, Inc.",,Book store
This Old Book Inc.,Grayslake,Used book store
College of Lake County Bookstore,Grayslake,Book store
Volo Antique Malls,Volo,Antique store
Welcome Center & Bookstore/Gift Shop,Mundelein,Book store
Books-A-Million,Gurnee,Book store
Jay's Comics,Grayslake,Comic book store
American Bike Trails,,Book store
Read Between The Lynes,Woodstock,Book store
Barnes & Noble,Deer Park,Book store
The Green Spot Used Books,Woodstock,Used book store
CLC Bookstore,Vernon Hills,Book store
Lake Forest Book Store,Lake Forest,Book store
College of Lake County Bookstore,Waukegan,Book store
Barbara's Bookstore,Vernon Hills,Book store
Delta Publishing Company & Raven Tree Press,,Book publisher
Half Price Books,Algonquin,Book store
Half Price Books,Vernon Hills,Book store
Judson University Bookstore,Elgin,Book store
Barnes & Noble,Deerfield,Book store
Menards,Fox Lake,Home improvement store
Barnes & Noble,Schaumburg,Book store
Starbucks,Volo,Coffee shop
Lurvey Landscape Supply,Volo,Landscaping supply store
Half Price Books,Schaumburg,Book store
New Life Resale,Grayslake,Thrift store
Harper Campus Store,Palatine,Book store
Galaxy of Books,Winthrop Harbor,Used book store
Book Bin,Northbrook,Book store
Bernie's Book Bank,Lake Bluff,Book store
Half Price Books,Bloomingdale,Book store
NEIU Bookstore,Chicago,Book store
Dollar Tree,Fox Lake,Dollar store
The Book Stall,Winnetka,Book store
Stepan Bookstore,River Forest,Book store
Barnes & Noble,Geneva,Book store
Triton College Bookstore,River Grove,Book store
Missions Possible Book Store,Lake Forest,Book store
Unabridged Bookstore,Chicago,Book store
The Book Shop,Batavia,Used book store
Half Price Books,Niles,Book store
Centuries & Sleuths Bookstore,Forest Park,Book store
Wheaton College Bookstore,Wheaton,Book store
Barnes & Noble,Evanston,Book store
Follett's College Bookstore at Lake Forest College,Lake Forest,Book store
Barnes & Noble,Oak Brook,Book store
Prairie Path Books,Wheaton,Book store
Village Commons Book Store,DeKalb,Book store
The Book Table,Oak Park,Book store
SkipperBud's Volo,Volo,Boat dealer
Amaranth Books,Evanston,Used book store
Matthews Midwestern University Bookstore,Downers Grove,Book store
Walgreens,Lakemoor,Drug store
Illinois Institute of Technology Official Bookstore,Chicago,Book store
Amazon Books,Chicago,Book store
Folletts College of DuPage Bookstore,Glen Ellyn,Book store
after-words bookstore,Chicago,Book store
Quimby's Bookstore,Chicago,Book store
Half Price Books,Downers Grove,Book store
North Park University Bookstore,Chicago,Book store
Barnes & Noble,Rockford,Book store
Barnes & Noble,Naperville,Book store
Royal Christian Bookstores & Cafés,Forest Park,Christian book store
Ravenswood Used Books,Chicago,Used book store
RoscoeBooks,Chicago,Book store
Uncharted Books,Chicago,Book store
The Book Cellar,Chicago,Book store
The Looking Glass,Oak Park,Used book store
Women & Children First,Chicago,Book store
Barnes & Noble,Vernon Hills,Book store
Sandmeyer's Bookstore,Chicago,Book store
Half Price Books,Countryside,Book store
American Bike Trails,,Publisher
City Lit Books,Chicago,Book store
Myopic Books,Chicago,Book store
UIC Bookstore,Chicago,Book store
Barnes & Noble,Bolingbrook,Book store
Booked,Evanston,Childrens book store
Half Price Books Outlet,Rockford,Book store
Seminary Co-op Bookstore,Chicago,Book store
Lewis University Bookstore,Romeoville,Book store
Half Price Books,Naperville,Book store
McDonald's,Volo,Fast Food
The University of Chicago Bookstore,Chicago,Book store
"Abraham Lincoln Book Shop, Inc.",Chicago,Book store
Semicolon Bookstore,Chicago,Book store
Barnes & Noble,Orland Park,Book store
Barnes & Noble,Joliet,Book store
Open Books,Chicago,Book store
Aurora Downtown Campus Bookstore,Aurora,Book store
Saint Xavier University Bookstore,Chicago,Book store
Chicago-Kent College of Law Bookstore,Chicago,Law book store
Half Price Books,Orland Park,Book store
UIC Medical Bookstore,Chicago,Book store
Morton College Bookstore,Cicero,Book store
Learning Express Toys,Lake Zurich,Book store
Bookie's - New and Used Books,Chicago,Book store
Huskie Books and Gear,DeKalb,Book store
Volumes Bookcafe,Chicago,Book store
Harvest Christian Bookstore,Chicago,Christian book store
