name,address,type
Bolingbrook Historical Museum,444 E Briarcliff Rd,Museum
Jurica-Suchy Nature Museum,5700 College Rd,Museum
Downers Grove Museum,831 Maple Ave,Local history museum
Museums at Lisle Station Park,921 School St,Museum
Lemont Area Historical Society,306 Lemont St,Museum
DuPage Children's Museum,301 N Washington St,Children's museum
Illinois Aviation Museum,"S, 110 Clow International Pkwy",Museum
Safety Village of Lemont,55 Stephen St,Museum
Isle a la Cache Museum,501 E Romeo Rd,Heritage museum
Naper Settlement,523 S Webster St,Open air museum
Netzley-Yender House,920 Burlington Ave,Open air museum
Gregg House Museum,115 S Linden Ave,Museum
Coolkids Club,,Museum
"Little Arturs, Morton Arboretum",,Museum
Chicago Archaeological Society‎,12 S 675 Knoebel Drive,Educational institution
"Joe the Guardian, The Morton Arboretum",,Museum
"Niels Bragger, Morton Arboretum",,Museum
"Furry Ema, The Morton Arboretum",Unnamed Road,Museum
Museum Blacksmith Shop,925 School St,Open air museum
Historic Train Depot,921 School St,Open air museum
Beaubien Tavern,921 School St,Open air museum
Hinsdale History Museum,15 S Clay St,History museum
Il State Museum-Lockport Gallery,201 W 10th St,Museum
Westmont Special Events,"One, S Cass Ave #102",Museum
Compass Rose Music Together,180 Canterbury Ln,Music school
The Morton Arboretum,Unnamed Road,Museum
Darien VFW War Memorial,,Museum
Gladys Fox Museum,231 E 9th St,Museum
Waterfall Glen - parking by waterfall,9892 S Cass Ave,Museum
Dr. Preston Bradley Memorial Forest Preserve,2401 Lisson Rd,Museum
Clarendon Hills Historical Society Heritage Hall,50 Sheridan Ave,Museum
Richmond Education Gardens & Apiary,1 S Richmond Ave,Museum
Jack's Pumpkin Glow Chicago,2751 Navistar Dr,Museum
Will County Historical Museum Heritage Village,803 S State St,Open air museum
Martin Mitchell Mansion,,Museum
Halfway House,523 S Webster St,Museum
Museum Restrooms,523 S Webster St,Open air museum
Miranda house,321 Fremont Ave,Museum
Horse Market Days Statues,200 Aurora Ave,Open air museum
Antiques Show Plow,523 S Webster St,Open air museum
Stonecarver's Shop,523 S Webster St,Open air museum
Plank Road and Shed,523 S Webster St,Open air museum
Naper Haight House,523 S Webster St,Open air museum
Schulz Building,523 S Webster St,Open air museum
Paw Paw Post Office,523 S Webster St,Open air museum
Log House and Shed,523 S Webster St,Open air museum
Copenhagen Schoolhouse,523 S Webster St,Open air museum
Bandstand,523 S Webster St,Open air museum
Windmill,523 S Webster St,Open air museum
Halfway House and Farm Cellar (Naper Settlement),,Open air museum
Pre-Emption House (Naper Settlement),200 Aurora Ave,Open air museum
"Little Arturs, Troll Hunt",4100 IL-53,Museum
"Rocky Bardur, Troll Hunt",4100 IL-53,Museum
Graue Mill & Museum,3800 York Rd,Museum
"Joe the Guardian, Troll Hunt",4100 IL-53,Museum
First Division Museum at Cantigny,1s151 Winfield Rd,History museum
"Niels Bragger, Troll Hunt",4100 IL-53,Museum
"Sneaky Socks Alexa, Troll Hunt",4100 IL-53,Museum
Warrenville Historical Society City Museum,3S530 2nd St,Museum
Lizzadro Museum of Lapidary Art,1220 Kensington Rd,Art museum
DuPage County Historical Museum & Wheaton Park District Administration Building,102 E Wesley St,History museum
"Furry Ema, Troll Hunt",4100 IL-53,Museum
Robert R. McCormick House,1S151 Winfield Rd,Museum
Winfield Park District Hedges Station Museum,0N555 Winfield Rd,Museum
R. Harold Zook Home and Studio,5901 S County Line Rd,Museum
Joliet Area Historical Museum,204 N Ottawa St,Historical place museum
Cleve Carney Museum of Art,425 Fawell Blvd,Museum
Field Museum,1400 S Lake Shore Dr,Museum
SciTech Hands On Museum,18 W Benton St,Museum
"Museum of Science and Industry, Chicago",5700 S Lake Shore Dr,Science museum
Lombard Historical Society- Victorian Cottage Museum,23 W Maple St,Historical society
The Art Institute of Chicago,111 S Michigan Ave,Museum
Villa Park Historical Society,220 S Villa Ave,Museum
Elmhurst Art Museum,150 S Cottage Hill Ave,Museum
Elmhurst History Museum,120 E Park Ave,Museum
Aurora Regional Fire Museum,53 N Broadway,Museum
West Chicago City Museum,132 Main St,Museum
Riverside Historical Museum,10 Pine Ave,Museum
Cantigny Park,1 S 151 Winfield Road,Park
Children's Museum in Oak Lawn,5100 Museum Dr,Children's museum
Little White School Museum,Oswego,History museum
Stacy's Tavern Museum,Glen Ellyn,History museum
Batavia Depot Museum,Batavia,Museum
Elk Grove Historical Museum,Elk Grove Village,Museum
Chicago Children's Museum,Chicago,Children's museum
Frankfort Children's Museum,Frankfort,Children's museum
Geneva History Museum,Geneva,Museum
Roselle History Museum,Roselle,History museum
National Museum of Mexican Art,Chicago,Art museum
Pleasant Home,Oak Park,Museum
Wood Dale Historical Society,Wood Dale,Museum
Fabyan Villa Museum & Japanese Garden,Geneva,Historical place museum
Elgin Public Museum,Elgin,Museum
The Kendall County Historical Society - Lyon Farm,Yorkville,Historical place museum
Bronzeville Children's Museum,Chicago,Children's museum
wndr museum,Chicago,Museum
Elgin History Museum,Elgin,Local history museum
Skokie Heritage Museum,Skokie,History museum
Oriental Institute Museum,Chicago,Archaeological museum
Arlington Heights Historical Museum,Arlington Heights,History museum
