name,address,type,place
Follett Campus Bookstore,5300 Stevens Creek Blvd  201,Book store,addison
Follett Book Store,1500 Ralston Ave,Book store,addison
Half Price Books,39152 Fremont Hub,Book store,addison
Half Price Books,7898 Dublin Blvd,Book store,addison
Follett Corporation,25976 Carlos Bee Blvd,Book store,addison
Follett Higher Education Group,3033 Collier Canyon Rd,Book store,addison
Half Price Books,2036 Shattuck Ave,Book store,addison
Cornerstone Used Books,22 S Villa Ave,Used book store,addison
Follett Higher Education Group,1221 Swift Rd,Book store,addison
Lushena Books,607 Country Club Dr e,Book store,addison
Elmhurst College Book Cellar,190 S Prospect Ave,Book store,addison
Barnes & Noble,200 S Gary Ave,Book store,addison
A Book Above Family Bookshop,136 W Vallette St 6,Book store,addison
Marathon Books,,Book store,addison
Bible Book Store,53 W Industrial Rd,Book store,addison
Unicorn Comics & Cards,216 S Villa Ave,Comic book store,addison
The Bookstore of Glen Ellyn,475 N Main St,Book store,addison
Got Comics Inc,330 Army Trail Rd,Comic book store,addison
AncestorStuffcom,,Book store,addison
Costa Ivone LLC,715 W Lake St,Law book store,addison
Gem Comics,125 W 1st St,Comic book store,addison
Ken's Books,,Book store,addison
MJM Publishing LLC,,Book store,addison
Barnes & Noble,297 Oakbrook Center,Book store,addison
Half Price Books,366 W Army Trail Rd,Book store,addison
Quimby's Bookstore,1854 W North Ave,Book store,addison
Newman Educational Publishing Company,,Book store,addison
Half Price Books,1328 Butterfield Rd,Book store,addison
Wyoming Clark,,Book store,addison
Zrodlo Polish Religious Books,5517 W Belmont Ave,Religious book store,addison
Barnes & Noble,Woodfield Plaza Shopping Center 590 E Golf Rd,Book store,addison
Barnes & Noble,102 Commons Dr,Book store,addison
Barnes & Noble,5301 Belt Line Rd 118,Book store,addison
Prairie Path Books,255 Town Square,Book store,addison
Half Price Books,1075 E Golf Rd,Book store,addison
Lake Forest Book Store,662 N Western Ave 1951,Book store,addison
afterwords bookstore,23 E Illinois St,Book store,addison
The Book Shop,Batavia,Used book store,addison
Half Price Books,Orland Park,Book store,addison
Prairie Fox Books,Ottawa,Book store,addison
Southwestern Illinois College  Bookstore,Belleville,Book store,addison
Folletts College of DuPage Bookstore,Glen Ellyn,Book store,addison
Barnes & Noble,Deerfield,Book store,addison
Wheaton College Bookstore,Wheaton,Book store,addison
Unabridged Bookstore,Chicago,Book store,addison
Matthews Midwestern University Bookstore,Downers Grove,Book store,addison
Read Between The Lynes,Woodstock,Book store,addison
NEIU Bookstore,Chicago,Book store,addison
Seminary Coop Bookstore,Chicago,Book store,addison
The University of Chicago Bookstore,Chicago,Book store,addison
Barnes & Noble,Bolingbrook,Book store,addison
Maxine Llewellyn Book Store,Wood Dale,Book store,addison
Barnes & Noble,Orland Park,Book store,addison
St Pauls Catholic Biblical Center,Chicago,Religious book store,addison
Half Price Books,Algonquin,Book store,addison
Red Lotus Reads,,Book store,addison
Barnes & Noble,Deer Park,Book store,addison
Illinois Institute of Technology Official Bookstore,Chicago,Book store,addison
Half Price Books,Countryside,Book store,addison
Half Price Books,Niles,Book store,addison
Half Price Books,Naperville,Book store,addison
Barnes & Noble,Champaign,Book store,addison
Royal Christian Bookstores & Cafes,Forest Park,Christian book store,addison
57th Street Books,Chicago,Book store,addison
Augustana College Bookstore *,Rock Island,Book store,addison
FriendShop Bookstore,Champaign,Used book store,addison
Myopic Books,Chicago,Book store,addison
Barnes & Noble,Evanston,Book store,addison
Sandmeyer's Bookstore,Chicago,Book store,addison
Ravenswood Used Books,Chicago,Used book store,addison
Open Books,Chicago,Book store,addison
Harvest Christian Bookstore,Chicago,Christian book store,addison
Uncharted Books,Chicago,Book store,addison
UIS Bookstore,Springfield,Book store,addison
RoscoeBooks,Chicago,Book store,addison
Barnes & Noble,Peoria,Book store,addison
Powell's Books Chicago,Chicago,Used book store,addison
Bob's Bookstore,Charleston,Used book store,addison
Occult Book Store,Chicago,Book store,addison
Amazon Books,Chicago,Book store,addison
Illinois Wesleyan University Bookstore,Bloomington,Book store,addison
ChicagoKent College of Law Bookstore,Chicago,Law book store,addison
The Book Cellar,Chicago,Book store,addison
Open Books Pilsen,Chicago,Book store,addison
Half Price Books,Vernon Hills,Book store,addison
Barnes & Noble,Bloomington,Book store,addison
Barnes & Noble,West Dundee,Book store,algonquin
Modern Age Comics Inc,Algonquin,Comic book store,algonquin
Mya Payaya Books,Lake in the Hills,Childrens book store,algonquin
She Just Loves Books,,Book store,algonquin
Modern Age Comics,Crystal Lake,Comic book store,algonquin
Sparrow's Nest Thrift Store,Algonquin,Thrift store,algonquin
Goodwill Algonquin Illinois,Algonquin,Thrift store,algonquin
Harper Campus Store,Palatine,Book store,algonquin
The Green Read,Crystal Lake,Book store,algonquin
Heavenly Attic Resale,Algonquin,Thrift store,algonquin
Barnes & Noble,Schaumburg,Book store,algonquin
Lake Forest Book Store,Lake Forest,Book store,algonquin
Kinokuniya Chicago,Arlington Heights,Book store,algonquin
Half Price Books,Schaumburg,Book store,algonquin
Barnes & Noble,Geneva,Book store,algonquin
St Johns Mission Resale Shop,Algonquin,Thrift store,algonquin
Best Buy,Algonquin,Music store,algonquin
Half Price Books,Bloomingdale,Book store,algonquin
Every Good Thing,Algonquin,Greeting card shop,algonquin
Alternate Reality Inc,Chicago,Comic book store,alsip
Elsewhere Comics & Collectible,Blue Island,Comic book store,alsip
Comic Asylum,Worth,Comic book store,alsip
Saint Xavier University Bookstore,Chicago,Book store,alsip
Christ Universal Book Store,Chicago,Book store,alsip
Bookie's  New and Used Books,Chicago,Book store,alsip
BooksAMillion,Chicago Ridge,Book store,alsip
Oak Lawn Comics,Oak Lawn,Comic book store,alsip
Rockstonerick's Comics and Cards,Midlothian,Comic book store,alsip
All American Comic Shop,Evergreen Park,Comic book store,alsip
Christian Book Store,,Book store,alsip
Literary Love,Chicago,Book store,alsip
Moraine Valley Community College Bookstore,Palos Hills,Book store,alsip
The Storytime Box,,Childrens book store,alsip
Kerri Ann Book Store,Palos Heights,Book store,alsip
Akiba Book Store,Chicago,Book store,alsip
Campus Bookstore,,Book store,alsip
Bookish Beverly,Chicago,Book store,alsip
Kimberly Richards Book Store,Evergreen Park,Book store,alsip
2nd is the NEW 1st,Oak Lawn,Thrift store,alsip
Reviving Books,,Book store,alsip
Steven C Moore Author,,Book store,alsip
Keep It Moving  Exception Realty,,Book store,alsip
Heavenly Storybook,,Christian book store,alsip
LiterallyLit,,Book store,alsip
The Royal Friendss,,Childrens book store,alsip
The Write Mind Studio,,Book store,alsip
First Impression Comic Pressing,,Comic book store,alsip
Paragon Book Gallery,Chicago,Book store,alsip
The Shannon Center,Chicago,Book store,alsip
Underground Bookstore,Chicago,Book store,alsip
Pass It On Thrift Center,Crestwood,Thrift store,alsip
Centuries & Sleuths Bookstore,Forest Park,Book store,alsip
Love's Sweet Arrow A Romance Bookstore,Tinley Park,Book store,alsip
afterwords bookstore,Chicago,Book store,alsip
Paragon Book Gallery,1029 W 35th St,Book store,alsip
