name,address,type
Campbell Soul Cafe,808 Louise St,Soul
Hong Kong Chinese Restaurant,100 Edwards St # B,Chinese
Barbecue Haven,732 Louise St,Barbecue
Southern Classic Chicken,410 Washington Ave,Chicken
Camellia Mexican Restaurant,812 Washington Ave,Mexican
Great Wall Buffet,1312 McArthur Dr,Chinese
Hood Burgerz,499-401 LA-175,Restaurant
Armadillo Mexican Grill,770 Washington Ave,Mexican
Popeyes Louisiana Kitchen,412 Washington Ave,Chicken
McDonald's,1116 Polk St,Fast Food
Pizza Hut,417 Washington Ave Suite C,Pizza
Circle Drive Landing,"1249 Circle Drive hwy 191 1249 circle drive off, LA-191",Restaurant
Sonic Drive-In,118 Lake Rd,Fast Food
Billy B's Cajun Grill,13147 US-171,Cajun
Healthy Zone Nutrition,110 Edwards St,Restaurant
Bosco Wray Road,133 Shell St,American
Southern Classic Chicken,,Restaurant
Mansfield Seafood,12894 US-171,Restaurant
Sugar Hill Place,2303 US-84,Fine Dining
The Village Restaurant of Grand Cane,8334 Old Hwy 171,American
Habanero’s,7041 Youree Dr #100,Mexican
Campbell Soul Cafe,808 Louise St,Soul
Hong Kong Chinese Restaurant,100 Edwards St # B,Chinese
Barbecue Haven,732 Louise St,Barbecue
Southern Classic Chicken,410 Washington Ave,Chicken
Camellia Mexican Restaurant,812 Washington Ave,Mexican
Great Wall Buffet,1312 McArthur Dr,Chinese
Hood Burgerz,499-401 LA-175,Restaurant
Armadillo Mexican Grill,770 Washington Ave,Mexican
Popeyes Louisiana Kitchen,412 Washington Ave,Chicken
Waffle House,9217 Mansfield Rd,Breakfast
RJ's,9124 Mansfield Rd,Breakfast
Nicky's Mexican Restaurant,8995 Mansfield Rd,Mexican
Raising Cane's Chicken Fingers,8998 Mansfield Rd,Fast Food
Posados,9165 Mansfield Rd,Mexican
Shane's Seafood & BBQ,9176 Mansfield Rd,Seafood
Chicken Express,9430 Mansfield Rd,Chicken
Anthony's Steak and Seafood,7504 Mansfield Rd,Steak
Zaxby's Chicken Fingers & Buffalo Wings,9619 Mansfield Rd,Chicken
Southern Classic Chicken,9415 Mansfield Rd,American
Pit Stop Pizza,9312 Mansfield Rd,Pizza
Habanero’s,Shreveport,Mexican
Trejo's Mexican Restaurant,Shreveport,Mexican
Podnuh's Bar-B-Q,Shreveport,Barbecue
Taco Bell,Shreveport,Fast Food
Applebee's Grill + Bar,Shreveport,Restaurant
The York Chop,Coushatta,Barbecue
Popeyes Louisiana Kitchen,Shreveport,Chicken
