name,address,type
The Salon,282 Edgewood Dr,Beauty salon
Meshelz Hair Salon,1008 Main St,Beauty salon
Fantastic Sams Cut & Color,3121 LA-28,Hair salon
SmartStyle Hair Salon,3636 Monroe Hwy,Beauty salon
Southern Flair,3919 LA-28,Beauty salon
Tangles Hair Salon,3497 LA-28 C,Hair salon
Headz Up,2901 LA-28,Beauty salon
Tranz4mations Hair Studio,826 Main St,Beauty salon
Creating Self Images,101 Fendler Pkwy,Beauty salon
Starrz Styling Salon,216 E Shamrock Ave,Beauty salon
Strandz Studio,4421 Monroe Hwy,Beauty salon
Andy's Totally Clips Hair,2714 LA-28,Beauty salon
Anointed Creations,2426 Main St,Beauty salon
Dr Hair Super Style Boutique,1927 3rd St,Beauty salon
Honolulu Nail Salon,2990 LA-28 E,Nail salon
Pearl Nails & Spa,3200 Monroe Hwy #138,Nail salon
Hawaiian Nails,3800 Monroe Hwy Suite 1,Nail salon
Linda's Nail & Spa,2963 Cottingham Expy,Beauty salon
Happy Nail Salon,3113 LA-28 e suite,Nail salon
Tracy Nails,3493 LA-28,Nail salon
The Salon,282 Edgewood Dr,Beauty salon
Meshelz Hair Salon,1008 Main St,Beauty salon
Fantastic Sams Cut & Color,3121 LA-28,Hair salon
SmartStyle Hair Salon,3636 Monroe Hwy,Beauty salon
Southern Flair,3919 LA-28,Beauty salon
Tangles Hair Salon,3497 LA-28 C,Hair salon
Headz Up,2901 LA-28,Beauty salon
Tranz4mations Hair Studio,826 Main St,Beauty salon
Hair Co,1706 Jackson St,Beauty salon
SmartStyle Hair Salon,2050 N Mall Dr,Beauty salon
Premiere Nails,2600 C Highway 28 E,Nail salon
Hair Loft,3493 LA-28,Hair salon
Creative Concept Hair Fashions,6009 Monroe Hwy,Beauty salon
Hair Gang Studio and Extensions Bar,300 Edgewood Dr,Hair salon
The Beauty Box Skincare and Aesthetics LLC,2590 Military Hwy,Skin care clinic
Top Nails,"3113 LA-28 e, suite A",Nail salon
Angie's Hair Studio,2150 N Mall Dr,Beauty salon
Shak's Beauty Salon,3221 Masonic Dr,Beauty salon
DXZYN STUDIO HAIR SALON,630 Bolton Ave,Hair salon
HAIR PLUS,2985 Cottingham Expy,Beauty supply store
Sea Nails & Spa,Pineville,Nail salon
Queen Nails,Pineville,Nail salon
My Salon: Professional Hair Salon in Alexandria LA,Alexandria,Hair salon
A Beautiful You,Pineville,Beauty salon
Scissor Trix,Alexandria,Beauty salon
JCP Salon,Alexandria,Beauty salon
Sally Beauty,Pineville,Beauty supply store
Turntup Makeup and Hair Salon,Alexandria,Hair salon
First Impression Nail Salon,Ball,Nail salon
Gor Col Barber and Beauty Salon,Alexandria,Hair salon
Beauty Plus,Pineville,Beauty supply store
Beauty And The Bleach,Pineville,Hair salon
Studio 28 Salon LLC,Alexandria,Beauty salon
Mirror Image Salon etc,Alexandria,Beauty salon
Technical Nails & Hair Salon,Alexandria,Nail salon
Bethany's Place,Alexandria,Beauty salon
Hairology Studio,Alexandria,Beauty salon
Southern Belles Salon,Pineville,Hair salon
Family Nails & Spa,Ball,Nail salon
Image Reflec-Shon's Beauty Salon,Alexandria,Beauty salon
Hair Flair Beauty Salon,1508 Metro Dr,Beauty salon
Aloha Nails Spa,3640 North Blvd,Nail salon
Lady J's Beauty Salon,4002 Jackson St # B,Beauty salon
SmartStyle Hair Salon,6225 Coliseum Blvd,Beauty salon
Spa Belleza,3004 Jackson St # C,Day spa
Kayla's southern roots,9816 LA-28 east,Hair salon
My Legacy Salon,4012 Parliament Dr,Beauty salon
Tomarra's Studio,1357 Peterman Dr,Beauty salon
Simply Red,3206 Jackson St,Beauty salon
Donna Brown Salon,"5704 B, Jackson St",Beauty salon
Touch Of Elegance By Nina,5215 Jackson St,Beauty salon
The Color Bar Salon,5120 Monroe Hwy suite d,Hair salon
OMG NAIL SALON,2041 N Mall Dr,Nail salon
Lux Studios,"Holiday Inn, 701 4th St suite a",Hair salon
Pineville Beauty School,1008 Main St,Beauty school
Day's Barber Shop,3800 Monroe Hwy # H,Barber shop
Star Nails & Spa,3716 S MacArthur Dr,Nail salon
Sport Clips Haircuts of Alexandria - Plaza 28,6501 Coliseum Blvd Suite #100A,Hair salon
