name,address,type
West Baton Rouge Museum,845 N Jefferson Ave,Museum
USS KIDD Veterans Museum - Temporarily Closed,305 S River Rd,Museum
Louisiana Art & Science Museum,100 S River Rd,Museum
Capitol Park Museum,660 N 4th St,Museum
Louisiana's Old State Capitol,100 North Blvd,Museum
LSU Museum of Art,100 Lafayette St,Art museum
Pentagon Barracks Museum,702 River Rd,Museum
West Baton Rouge Recreation,,Museum
Old Bogan Fire Station,427 Laurel St,Museum
Odell S. Williams African-American Museum,538 South Blvd,Museum
Coast Guard Cutter WHITE ALDER Memorial,305 S River Rd,Museum
River Center,275 S River Rd,Museum
Knock Knock Children's Museum,1900 Dalrymple Dr,Museum
Old Dock on River,916-1398 River Rd,Museum
BREC Magnolia Mound Plantation,2040 Iowa St,Heritage museum
Baton Rouge Sunset Museum,,Museum
LSU Museum of Natural Science,"Murphy J. Foster Hall, 119 Dalrymple Dr",Museum
Baton Rouge Rotary Club Centennial Sculpture,,Museum
Governor's Mansion,1001 Capitol Access Rd,Museum
Allendale Plantation Historical Marker,,Museum
Governor's Mansion,1001 Capitol Access Rd,Museum
Cinclare Sugar Mill & Historic Site,Cinclare,Museum
Rhythm Museum,1712 N Acadian Thruway W,Museum
LaHouse Home and Landscape Resource Center,2858 Gourrier Ave,Museum
Crenshaw Infants Memorial,10,Historical place museum
Andonie Sports Museum at LSU,3828 W Lakeshore Dr,Museum
Shaw Center for the Arts,100 Lafayette St,Museum
⚜️ Wilkinson Estates,3721 River Rd,Farm
Historic Preservation Division,1051 N 3rd St #402,Museum
Magnolia Mound Plantation,2161 Nicholson Dr,Museum
