name,address,type
Deja Vu Love Boutique Shreveport,202 Commerce St,Lingerie store
Favorite Sisters' Boutique,5723 Youree Dr,Clothing store
Couleur Boutique,855 Pierremont Rd #126,Women's clothing store
Simply Chic Boutique Shreveport,6120 Line Ave,Clothing store
Citi Trends,1219 Shreveport Barksdale Hwy,Clothing store
Cactus Clothing Company,4832 Line Ave,Women's clothing store
The Moppet Shoppe,4840 Line Ave,Children's clothing store
It's Fashion Metro,9136 Mansfield Rd #100,Clothing store
Vessel Vintage,3323 Line Ave,Vintage clothing store
LOFT,6535 Youree Dr,Women's clothing store
Oxford Street,8100 Jewella Ave,Men's clothing store
La Bambolina Boutique,6505 Line Ave # 20,Children's clothing store
John Pickens Clothiers,6022 Line Ave,Men's clothing store
"On Time Fashions, Shreveport, LA",621 Texas St,Men's clothing store
Citi Trends,3723 Jewella Ave,Clothing store
Simply Chic Boutique,2850 Douglas Dr B,Women's clothing store
Citi Trends,9032 Mansfield Rd,Clothing store
Stage,3000 N Market St #120,Clothing store
T.J. Maxx,7060 Youree Dr,Clothing store
H&M,1133 St Vincent Ave,Clothing store
Target,2735 Beene Blvd,Department store
Deja Vu Love Boutique Shreveport,202 Commerce St,Lingerie store
Favorite Sisters' Boutique,5723 Youree Dr,Clothing store
Couleur Boutique,855 Pierremont Rd #126,Women's clothing store
Simply Chic Boutique Shreveport,6120 Line Ave,Clothing store
Citi Trends,1219 Shreveport Barksdale Hwy,Clothing store
Cactus Clothing Company,4832 Line Ave,Women's clothing store
The Moppet Shoppe,4840 Line Ave,Children's clothing store
It's Fashion Metro,9136 Mansfield Rd #100,Clothing store
Vessel Vintage,3323 Line Ave,Vintage clothing store
LOFT,6535 Youree Dr,Women's clothing store
Oxford Street,8100 Jewella Ave,Men's clothing store
La Bambolina Boutique,6505 Line Ave # 20,Children's clothing store
John Pickens Clothiers,6022 Line Ave,Men's clothing store
"On Time Fashions, Shreveport, LA",621 Texas St,Men's clothing store
Citi Trends,3723 Jewella Ave,Clothing store
Simply Chic Boutique,2850 Douglas Dr B,Women's clothing store
Citi Trends,9032 Mansfield Rd,Clothing store
Stage,3000 N Market St #120,Clothing store
T.J. Maxx,7060 Youree Dr,Clothing store
H&M,1133 St Vincent Ave,Clothing store
Target,2735 Beene Blvd,Department store
Shreveport Haberdashery,1419 E 70th St suite a,Men's clothing store
Dillard's,1133 St Vincent Ave,Clothing store
Isadora Boutique,5803 Youree Dr #400,Women's clothing store
Buckle,1133 St Vincent Ave Ste 430,Clothing store
Stein Mart,4801 Line Ave,Clothing store
Hock Your Smocks,129 E Kings Hwy,Children's clothing store
Harper House Boutique,4845 Line Ave,Boutique
Old Navy,6640 Youree Dr,Clothing store
Gearhead Outfitters Mall St. Vincent,1133 St Vincent Ave #445,Clothing store
Burlington,8924 Jewella Ave,Clothing store
Cactus Trading Co,750 Southfield Rd,Women's clothing store
Simply 10,2500 Waggoner Ave,Women's clothing store
J.Jill,6535 Youree Dr,Women's clothing store
Chico's,6535 Youree Dr Ste 101,Clothing store
DXL Big + Tall,7527 Youree Dr,Men's clothing store
Burlington,1239 Shreveport Barksdale Hwy,Clothing store
Target,7110 Youree Dr,Clothing store
Torrid,320 Boardwalk Blvd Spc G320,Plus size clothing store
High Fashion & Beauty (Fashion Smart),3707A Greenwood Rd,Women's clothing store
Talbots,6535 Youree Dr,Women's clothing store
City Gear,Shreveport,Clothing store
Sleep is For The Rich Clothing,,Clothing store
In Style,Shreveport,Men's clothing store
Babe Boutique,Shreveport,Clothing store
Cato Fashions,Shreveport,Women's clothing store
K Couture Boutique,Bossier City,Women's clothing store
Cato Fashions,Shreveport,Women's clothing store
Maurices,Bossier City,Women's clothing store
Levi's Outlet Store at Louisiana Boardwalk Outlets,Bossier City,Clothing store
Rainbow Shops,Bossier City,Women's clothing store
American Eagle Store,Shreveport,Clothing store
Nike Factory Store,Bossier City,Sportswear store
JCPenney,Bossier City,Clothing store
Suite Nine 1 Six,,Clothing store
Sugar and Spice LLC,Shreveport,Clothing store
On Time Fashion,Shreveport,Men's clothing store
LBD By Design,Shreveport,Boutique
Zumiez,Bossier City,Clothing store
Kid to Kid,Bossier City,Children's clothing store
Stage,Bossier City,Clothing store
Target,Bossier City,Clothing store
Banana Republic Factory Store,Bossier City,Clothing store
Maurices,Bossier City,Women's clothing store
Dillard's,Bossier City,Clothing store
Moda97 Essentials LLC,Shreveport,Women's clothing store
New To You Boutique Inc,Shreveport,Boutique
Sloan's Boutique,Bossier City,Clothing store
Lerner New York,Shreveport,Women's clothing store
Papaya Clothing,Bossier City,Women's clothing store
rue21,Bossier City,Clothing store
Gap,Bossier City,Clothing store
Versona,Bossier City,Women's clothing store
Pat Midkiff Fashion Consultant,Shreveport,Clothing store
White House Black Market,Shreveport,Clothing store
City Gear,Bossier City,Clothing store
Sloan's Formals,Bossier City,Clothing store
Caspiana Gifts & Clothing,Shreveport,Boutique
Target,Bossier City,Clothing store
Hershe,Shreveport,Women's clothing store
Haggar,Bossier City,Men's clothing store
The Children's Place Outlet,Bossier City,Children's clothing store
