name,address,type
Queen Nails,Tallulah,Nail salon
L A Tanning,Tallulah,Tanning salon
Dollar General,Tallulah,Beauty supply store
New Attitude Hair Design Boutique,Delhi,Beauty salon
Glamour Cuts & Adeline's Boutique,Delhi,Beauty salon
A B Nail Salon,Delhi,Nail salon
N'Tangels,Delhi,Beauty salon
Tallulah Behavioral Health Clinic,Tallulah,Mental health clinic
Madison Parish Hospital Rural Health Clinic,Tallulah,Medical clinic
Preventive Measures,Tallulah,Family counselor
Hair It Iz,Vicksburg,Beauty salon
Perfect Image Styling Salon,Vicksburg,Beauty salon
Split Ends,Vicksburg,Beauty salon
Hair Masters,Vicksburg,Beauty salon
Flutters,Tallulah,
Perfect Nails In Vicksburg,Vicksburg,Nail salon
Pemberton Hairstylist LLC,Vicksburg,Beauty salon
First Nail & Spa,Vicksburg,Nail salon
Downey's Barber & Style Shop,Vicksburg,Beauty salon
Mayes Elegant Styles & Braids,Vicksburg,Beauty salon
Serenity Nails & Spa,Vicksburg,Nail salon
Fancy Nails,Vicksburg,Nail salon
Top Nails,Vicksburg,Nail salon
Southern Barber & Style Shop,Vicksburg,Hair care
Beene's Health Mart,Tallulah,Pharmacy
S & B Drugs,Tallulah,Drug store
Neumann's Pharmacy,Tallulah,Pharmacy
Joseph W Yerger Inc,Tallulah,Dentist
20/20 Eye Care,Tallulah,Optician
Madison Parish Health Unit,Tallulah,Public health department
"Dr. Don C. Williams, DMD",Tallulah,Dentist
A Nails,Monroe,Nail salon
Madison Parish Hospital,Tallulah,General hospital
Design 2000 By Stacey,Vidalia,Beauty salon
Legacy Nursing and Rehabilitation of Tallulah,Tallulah,Retirement home
Northeast Louisiana Ambulance Service (Tallulah),Tallulah,Ambulance service
Marie's Family Healthcare,Tallulah,Doctor
Love's Travel Stop,Tallulah,Truck stop
Nu Way Cleaners,Tallulah,Dry cleaner
Madison Parish Port Commission,Tallulah,County government office
Tallulah Cove Apartments,Tallulah,Apartment building
TravelCenters of America,Tallulah,Truck stop
Tallulah Community Center,Tallulah,Auditorium
Beene's Drug Store,Tallulah,Pharmacy
Jackson Joy,Tallulah,Attorney
First Baptist Church,Tallulah,Baptist church
Madison Parish Library,Tallulah,Public library
Toby Salon,Natchez,Beauty salon
Bishop & Moberley,Tallulah,Attorney
Brushy Bayou Restaurant,Tallulah,Restaurant
Anruss & Co,Natchez,Beauty salon
Super 8 by Wyndham Tallulah LA,,2-star hotel
Mane Event,Natchez,Beauty salon
Fredericks Car & Truck Exchange,Tallulah,Used car dealer
Tallulah Elementary School,Tallulah,Elementary school
Smoke Shop,Tallulah,Tobacco shop
Chopsticks buffet,Tallulah,Buffet
Tallulah Academy,Tallulah,School
Public Safety-Motor Vehicle,Tallulah,Department of Public Safety
Doug's Market Tallulah LA,Tallulah,Grocery store
Family Dollar,Tallulah,Dollar store
Chevron Tallulah,Tallulah,Gas station
Southside Apartments,Tallulah,Apartment complex
Delta Animal Hospital,Tallulah,Animal hospital
Finishing Touch-Tallulah,Tallulah,Gift shop
U-Pak-It of Tallulah,Tallulah,Convenience store
Sugas,Tallulah,Restaurant
MacKinney Oil Co,Tallulah,Gas station
Probation Department,Tallulah,Probation office
Knockout BBQ,Tallulah,Barbecue
"Tallulah Fuel Injection Service, Inc.",Tallulah,Engine rebuilding service
Delta Tire Inc,Tallulah,Tire shop
Delta Community Action Association,Tallulah,Non-profit organization
O'Neal Gas,Tallulah,Propane supplier
Madison Parish Career Solution,Tallulah,State government office
H & H Repair Services Inc,Tallulah,Auto body shop
NAPA Auto Parts - AG Supply Inc,Tallulah,Auto parts store
Mirror Image Salon etc,Alexandria,Beauty salon
Citgo,Tallulah,Gas station
KFC,Tallulah,Chicken
Kangaroo Express,Tallulah,Convenience store
Richmond Shop-A-Minute,Tallulah,Convenience store
Support Enforcement,Tallulah,Social services organization
rose’s nails,Natchez,Nail salon
Queen Mama Foods,Tallulah,Grocery store
Wendy's,Tallulah,Fast Food
Sportsman's Super Stop / Bait house,Tallulah,Gas station
TA Truck Service,Tallulah,Truck repair shop
Raymond Lee Cannon & Associates,Tallulah,Insurance attorney
Western Auto,,Auto parts store
Madison Parish School District,Tallulah,Public school
Delta Bank,Tallulah,Bank
Home Hardware Center,Tallulah,Hardware store
Anna Schneider - State Farm Insurance Agent,Tallulah,Insurance agency
Capital One Bank,Tallulah,Bank
Steve Hoyle Rehab Correctional,Tallulah,Prison
Richardson David CPA,Tallulah,Accountant
Madison Voluntary Council,Tallulah,Social services organization
May & Co,Tallulah,Accountant
Tower Loan,Tallulah,Loan agency
Madisonpointe,Tallulah,Housing authority
BHRAMANI INC.,Tallulah,Gas station
Levee Board Fifth District,Tallulah,State government office
Madison High School,Tallulah,High school
"Tallulah, LA",,School
Ezell Jerry G DDS,Tallulah,
Diva Fashion,Tallulah,
Security Finance,Tallulah,Loan agency
LSU AG Center,Tallulah,Research institute
"Scriber Insurance Agency, INC",Tallulah,Insurance agency
Bears Towing,Tallulah,
Salon 51,Hammond,Beauty salon
Clark Real Estate,Tallulah,Real estate agency
Madison Feed & Supply,Tallulah,Animal feed store
Security Plan Insurance,Tallulah,Insurance agency
SoHo Boutique Salon,Baton Rouge,Beauty salon
Paris Parker Salon & Spa,Baton Rouge,Beauty salon
The SALON by InStyle Inside JCPenney,Hammond,Beauty salon
H2O Salon Northshore,Mandeville,Beauty salon
Richmond Automotive,Tallulah,Auto parts store
Tallulah Hardwood Crossties & Lumber,Tallulah,Home goods store
Buff Beauty Bar,New Orleans,Beauty salon
Bella Style Salon,Slidell,Beauty salon
Twisted Hair Salon,New Orleans,Beauty salon
Lux Salon Blends,New Orleans,Hair salon
Scarborough's Salon & Day Spa,Lake Charles,Beauty salon
Ringletts Salon,New Orleans,Beauty salon
Bauhaus Salon,Lake Charles,Hair salon
La Rousse Salon & Spa,Oxford,Beauty salon
The SALON by InStyle Inside JCPenney,Metairie,Beauty salon
Supercuts (South Carrollton),New Orleans,Beauty salon
Madison AG Products,Tallulah,Agricultural service
Paris Parker Salon & Spa,New Orleans,Beauty salon
Paris Parker Salon & Spa,New Orleans,Beauty salon
Ulta Beauty,Denham Springs,Beauty salon
Jimmy Sanders Inc,Tallulah,Seed supplier
Cowboys & Angels Salon Boutique,Tallulah,Beauty salon
Shans Got Hair,Tallulah,Beauty salon
