name,address,type
Blue Point,6 Dayton St,Seafood
Captain's Place,162 S Main St,Seafood
Rochelle's Restaurant,586 N Main St,American
Seafood Hut,2 S Main St,Seafood
Jeffrey's House of Pizza,161 S Main St,Pizza
Kam Cuisine Chinese Restaurant,132 S Main St # A1,Chinese
Country Whip Inc,1173 Main St,Ice Cream
The Mill,156 S Main St,American
Blue Latern Cafe,605 N Main St,American
Cafe Roma,3371 Acushnet Ave,Italian
Little Phoenix,4128 Acushnet Ave,Breakfast
Ray's Pizza,2186 Acushnet Ave,Pizza
Pa Raffa's Italian Restaurant,2857 Acushnet Ave,Italian
Sassaquin House of Pizza,4326 Acushnet Ave,Pizza
Cyd's Creative Kitchen,2331 Acushnet Ave,Breakfast
Town Crier,5 Maitland St,Grill
Ying Dynasty of New Bedford,4422 Acushnet Ave,Chinese
Vila Verde,362 Main St,Restaurant
Jade Garden,1309 Phillips Rd,Chinese
Dee's Hot Dogs,51 Tarkiln Hill Rd,Hot Dog
G & S Pizza,2840 Acushnet Ave,Pizza
Antonio's Restaurant,267 Coggeshall St,Fine Dining
KFC,2135 Acushnet Ave,Chicken
Everybody's Pizza,54 County St,Pizza
The Pasta House,100 Alden Rd #4721,Italian
Hong Kong Restaurant,2899 Acushnet Ave,Chinese
Cotali Mar Restaurante,1178 Acushnet Ave,Portuguese
Girassol Restaurant,1698 Acushnet Ave,Portuguese
Top Shelf Bar & Grill,1825 Acushnet Ave,Grill
jade garden,Phillips Rd,Chinese
Table 8,1836 Acushnet Ave,Breakfast
Mimo Restaurant,1528 Acushnet Ave,Portuguese
Dunkin',150 S Main St,Coffee shop
Galaxy Pizza House,342 Main St,Pizza
Bom Apetite,703 Belleville Ave,Portuguese
Taqueria La Raza,1408 Acushnet Ave,Tacos
Lucky Dragon Restaurant,2061 Acushnet Ave,Chinese
Adriana's Mexican Restaurant,1262 Acushnet Ave,Restaurant
Gouveia Grill,1500 Acushnet Ave,Barbecue
Dee's Hot Dogs,1778 Acushnet Ave,Hot Dog
Knuckle Heads,85 MacArthur Dr,Sports bar
Golden Greek Restaurant,1103 Acushnet Ave,Greek
Cafe Portugal,1280 Acushnet Ave,Portuguese
Incognito Bistro & Lounge,1606 Acushnet Ave,Restaurant
Endzone Sports Pub,218 Coggeshall St,Grill
Gary's Best,958 Ashley Blvd,Hot Dog Stand
Moon House Chinese Restaurant,706 Ashley Blvd,Chinese
Mari Pizzeria,1634 Acushnet Ave,Pizza
China PR,1686 Acushnet Ave,Restaurant
Mikey B's,989 Victoria St,Seafood
Subway,2072 Acushnet Ave,Sandwich
Dunkin',3021 Acushnet Ave,Coffee shop
The Roasted Pig,98 Nash Rd,Portuguese
CFC - Crown Fried Chicken,1570 Acushnet Ave,Chicken
The Breakfast Klub,1232 Acushnet Ave,Cafe
Saenz Cafe,,Mexican
Danny's Seafood / Bar & Grille,574 N Front St,Seafood
The Boat Restaurant Seafood & More,945 Ashley Blvd,Seafood
Genes Famous Seafood,146 Huttleston Ave,Seafood
Rookies Bar and Grill,1218 Acushnet Ave,Grill
Royal Restaurant Cafe,296 N Front St,Portuguese
Knuckle Heads,85 MacArthur Dr,Sports bar
Elizabeth's Restaurant,1461 Acushnet Ave,Guatemalan
Dog House Restaurant,335 Coggeshall St,American
Charlie's,1648 Acushnet Ave,Hot Dog
