name,address,type
Express,95 Burlington Mall Road,Clothing store
Duluth Trading Company,112 Burlington Mall Road Unit 2,Clothing store
Madewell,75 Middlesex Turnpike,Clothing store
Anthropologie,"Mall, 75 Middlesex Turnpike",Women's clothing store
Urban Outfitters,"Mall, 75 Middlesex Turnpike #2211",Clothing store
Free People,"Burlington Mall, 75 Middlesex Turnpike",Women's clothing store
Macy's,"Mall, 75 Burlington Mall Road Ste 128",Department store
L.L.Bean,6 Wayside Rd,Clothing store
American Eagle Store,75 Middlesex Turnpike Room 2300,Clothing store
LOFT,6 Wayside Rd,Women's clothing store
Ann Taylor,75 Middlesex Turnpike,Women's clothing store
Amari Prom,138 Cambridge St,Formal wear store
Athleta,75 Middlesex Turnpike,Clothing store
Catherines,112 Burlington Mall Road,Plus size clothing store
Primark,75 Middlesex Turnpike,Clothing store
EILEEN FISHER,6 Wayside Rd Suite C1,Clothing store
Jos. A. Bank,68 Burlington Mall Road,Men's clothing store
Ostuni Affordable Men's Clothing,21 Cambridge Street(Across from Cafe Escadrille) Exit 33A(US 95),Men's clothing store
Marshalls,34 Cambridge St,Clothing store
Lane Bryant,6 Wayside Rd,Plus size clothing store
3rd Ave Burlington,3rd Ave,Shopping mall
J.Jill,95 Burlington Mall Road,Women's clothing store
Shaaliya Collections,8 Meadowvale Rd,Women's clothing store
Gap,75 Middlesex Turnpike G24,Clothing store
Men's Wearhouse,60 South Ave,Men's clothing store
The Children's Place,"Burlington Mall, 75 Middlesex Turnpike",Children's clothing store
Nordstrom Burlington,75 Middlesex Turnpike,Clothing store
Chico's,75 Middlesex Turnpike,Clothing store
Banana Republic,75 Middlesex Turnpike #2052,Clothing store
Old Navy,43 Middlesex Turnpike,Clothing store
Hanna Andersson,75 Middlesex Turnpike,Clothing store
Via Roma Menswear,75 Middlesex Turnpike,Men's clothing store
Nordstrom Rack Middlesex Commons,43 Middlesex Turnpike Ste 5,Clothing store
Lord + Taylor,1320 Burlington Mall Road,Store
B & D Inc,217 Middlesex Turnpike Ext,Clothing store
Janie and Jack,75 Middlesex Turnpike Sp #2014,Children's clothing store
Brighton Collectibles,75 Middlesex Turnpike,Fashion accessories store
Abercrombie & Fitch,75 Middlesex Turnpike #2200,Clothing store
Hollister Co.,75 Middlesex Turnpike #1097a,Clothing store
Talbots,6 Wayside Rd,Women's clothing store
J.Crew,75 Middlesex Turnpike,Clothing store
Macy's,"MACY'S BURLINGTON MALL, 1300 Middlesex Turnpike",Clothing store
Lucky Brand,75 Middlesex Turnpike Space 2034A,Clothing store
Lands' End,75 Middlesex Turnpike Suite 1002,Clothing store
Justice,75 Middlesex Turnpike Space 1100A,Children's clothing store
crewcuts,75 Middlesex Turnpike,Clothing store
Target,34 Cambridge St STE 145,Clothing store
Hajjar's Big & Tall,23 Cambridge St,Men's clothing store
Hey Chick,75 Middlesex Turnpike Suite #1309,Women's clothing store
BCBGMAXAZRIA at Lord & Taylor,1320 Burlington Mall,Clothing store
Zumiez,75 Middlesex Turnpike #1101A,Clothing store
Intimissimi,75 Middlesex Turnpike,Clothing store
Carter's,"6Q, Wayside Rd",Children's clothing store
Tory Burch,75 Middlesex Turnpike Room 1089,Women's clothing store
kate spade new york,75 Middlesex Turnpike,Clothing store
Main Event Tuxedo,10 Grant Ave,Formal wear store
Vans,75 Middlesex Turnpike,Shoe store
Eddie Bauer,75 Middlesex Turnpike,Clothing store
Coldwater Creek,6 Wayside Rd Suite 6M,Women's clothing store
Michael Kors,75 Middlesex Turnpike Suite 1311,Clothing store
OshKosh B'gosh,6H Wayside Rd,Children's clothing store
F21 XXI,75 Middlesex Turnpike Space # 1065,Clothing store
Altar'd State,75 Middlesex Turnpike #1086A,Clothing store
White House Black Market,75 Middlesex Turnpike #1039a,Clothing store
Under Armour Brand House,75 Middlesex Turnpike Suite 1084B,Clothing store
UNTUCKit,75 Middlesex Turnpike Space 1042A,Clothing store
Team Spirit,75 Burlington Mall Road,Sportswear store
LXRandCo Lord & Taylor Burlington Mall,1320 Burlington Mall Road,Clothing store
Smita's Boutique,120 Cambridge St,Boutique
Champs Sports,95 Burlington Mall Road,Clothing store
Disney Store,75 Middlesex Turnpike,Clothing store
The Sweat Shop,279 Cambridge St #2a,E-commerce service
Fine Fit Fashion and Tailoring,101 Cambridge St #270,Tailor
HEY CHICK,,Women's clothing store
Tumi,,Clothing store
Masha's,,Women's clothing store
XXX Clothing,10 Corporate Dr,Clothing store
Hope & Henry,75 Middlesex Turnpike #2061,Children's clothing store
Justice,,Children's clothing store
Golf Galaxy,"Burlington Square, 91 Middlesex Turnpike",Clothing store
Kohl's Burlington,150 Lexington St,Department store
Johnston & Murphy,Burlington,Clothing store
Everything But Water (Temporarily Closed),Burlington,Swimwear store
Elegance by Divya and Roshani,Burlington,Boutique
francesca's,Burlington,Boutique
"G & D Custom same day Custom merchandise :T-Shirts, Hoodies, Mugs, Blankets ,Pillows",Burlington,Custom t-shirt store
Journeys,Burlington,Clothing store
Finish Line,Burlington,Clothing store
The Paper Store,Burlington,Clothing store
Victoria's Secret,Burlington,Lingerie store
Shirt Force One,Burlington,T-shirt store
Pottery Barn Kids,Burlington,Children's furniture store
Halloween City,Burlington,Costume store
Party City,Burlington,Party store
Patterson's by Capezio,Burlington,Dance store
Perfume world,Burlington,Perfume store
"Custom Caps, Co",Burlington,Hat shop
Bauer Hockey Experience,Burlington,Hockey supply store
SEPHORA,Burlington,Cosmetics store
Burlington,Billerica,Clothing store
Egyptian Cotton T-Shirts,Burlington,T-shirt store
Estee Lauder,Burlington,Cosmetics store
T.J. Maxx,Bedford,Clothing store
Wilson's Gifts and Apparel,Burlington,Gift shop
Bob's Stores Footwear & Apparel,Billerica,Clothing store
