name,address,type
Brazilian Grill,464 State Rd,Brazilian
Fiesta Mexican Restaurant,634 State Rd d,Mexican
Cape Quality Seafood Market,657 Dartmouth St,Seafood
Little Moss,6 Bridge St,American
99 Restaurants,161 Faunce Corner Rd,Restaurant
Sivalai Thai Cuisine II,710 State Rd,Restaurant
Max's,405 State Rd,Hamburger
Lebanese Pita Pocket,519 State Rd,Middle Eastern
Fay's Restaurant,613 Dartmouth St,Italian
Quahog Republic Whaler's Tavern,24 N Water St,Seafood
Sail Loft,246 Elm St,American
dNB Craft Kitchen,768 Purchase St,American
Ayur Shri | Indian Cuisine,387 State Rd,Indian
The 9th Monarch,634 State Rd unit g,Thai
Tia Maria's European Café,42 N Water St,European
Gumbo Restaurant,411 State Rd,Chinese
From the Seoul,127 Faunce Corner Rd #1283,Korean
The Black Whale Kitchen and Bar,106 MacArthur Dr,Seafood
Persy's Place Dartmouth,715 State Rd,Breakfast
Cask & Pig Kitchen and Alehouse,780 State Rd,Restaurant
Friendly Pizza,216 Russells Mills Rd,Pizza
Busters Sports Bar & Grill,227 State Rd,Grill
Cafe Italia Ristorante,555 Pleasant St,Italian
Dickys Clam Shack,880 State Rd,Seafood
No Problemo,813 Purchase St,Restaurant
Just Another Phoenix Restaurant,450 Faunce Corner Rd,Family-friendly
Farm & Coast Market,7 Bridge St,Restaurant
Ying Dynasty of Dartmouth,724a Dartmouth St,Chinese
Peking Garden Chinese Buffet,33 Faunce Corner Rd,Chinese
Texas Roadhouse,131 Faunce Corner Mall Rd,Steak
Black Bass Grille,3 Water St,Seafood
Freestone's City Grill,41 William St,American
Applebee's Grill + Bar,500 State Rd,Restaurant
Brick Pizzeria Napoletana,163 Union St,Pizza
Olive Garden Italian Restaurant,80 N Dartmouth Mall,Italian
Ma Raffa's | New Bedford,85 Rockdale Ave,Italian
Dartmouth's own Roast beef and Pizzeria,3 Faunce Corner Mall Rd,Pizza
Fathoms Bar & Grille,255 Popes Island,Seafood
Azuma Asian Bistro,466 State Rd,Sushi
Jimmy's Pizza,19 Faunce Corner Rd # A,Takeout Restaurant
IHOP,47 Faunce Corner Rd,Restaurant
The Bayside Restaurant,1253 Horseneck Rd,Seafood
Brick Pizzeria Napoletana,634 State Rd,Pizza
Cork Wine & Tapas Bar,90 Front St,Tapas Bar
Metro Pizza and Sandwiches,239 State Rd,Pizza
Riccardi's Restaurant,901 Hathaway Rd,Italian
TGI Fridays,455 State Rd,Restaurant
Palace Pizza,493 State Rd,Pizza
Chipotle Mexican Grill,349 State Rd,Mexican
Cove Surf and Turf,1500 Cove Rd,Seafood
Naughty Dawgs,743 Dartmouth St,Hot Dog
Valley Top Tavern and Events at Allendale Country Club,1047 Allen St,Restaurant
Village Cafe,88 State Rd,Breakfast
Not Your Average Joe's,61 State Rd,American
Vasco Da Gama Restaurant,85 Dartmouth St,Portuguese
Duke’s Bakery Dartmouth,634 State Rd,Gluten Free
Five Guys,85D Faunce Corner Rd,Hamburger
Ming Sushi,774 Purchase St,Sushi
Good Friends Chinese Restaurant,734 State Rd,Chinese
Buffalo Wild Wings,186 N Dartmouth Mall,Chicken Wings
IHOP,47 Faunce Corner Rd,Restaurant
The Bayside Restaurant,1253 Horseneck Rd,Seafood
Brick Pizzeria Napoletana,634 State Rd,Pizza
Celia's Restaurant,700 Kempton St,Dominican
Cobblestone Restaurant,7 S 6th St,American
Birch Grill,285 Old Westport Rd,Fast Food
Inner Bay Café,1339 Cove Rd,Portuguese
Prestige Pizza Sub and Ice Cream,532 Russells Mills Rd,Pizza
Moby Dick Brewing Co.,16 S Water St,Brewpub
Subway,386 State Rd Rt 6,Sandwich
Churrascaria Novo Mundo,98 County St C,Portuguese
Destination Soups Inc,149 Union St,Sandwich
Friendly's - Delivery & Takeout Only,307 State Rd,Takeout Restaurant
Kozy Nook Restaurant,645 State Rd,Family-friendly
Hazuki Kitchen,1028 Kempton St,Japanese
PieZoni's Pizza,546 Dartmouth St,Pizza
Dillon's Restaurant,583 County St,Restaurant
Whaling City Diner,894 Purchase St,Diner
Margarets Restaurant,16 Main St,Seafood
Panchis Latin Food,363 Rivet St,Dominican
Me & Ed's,30 Brock Ave,Family-friendly
Auntie Anne's,157 N Dartmouth Mall,Restaurant
Metro Pizza,32 Dartmouth St,Pizza
McDonald's,135 Faunce Corner Rd,Fast Food
Subway,506 State Rd,Sandwich
Willow Tree Restaurant,12 Rockdale Ave,American
Burger King,247 State Rd,Fast Food
Amigos Restaurant,122 County St,Honduran
Pizza Hut Express,479 State Rd,Pizza
New Taipei,37 Rockdale Ave,Restaurant
Central Kitchen Grill,2 Wing St,Barbecue
Bamboo Garden Restaurant,836 Purchase St,Chinese
Brigham's Corner Pizza and Seafood,1 Brigham St,Restaurant
Chuck E. Cheese,412-418 St. Rd. 6,Children's amusement center
The Bar,266 Dartmouth St,Grill
The Airport Grille,1569 Airport Road,Restaurant
Miguel's Restaurant,253 Union St,Portuguese
Oriental Pearl,576 State Rd,Chinese
Merrill's on the Waterfront,36 Homer's Wharf,Seafood
Sivalai 2,"Route 6 and, Maine Ave",Restaurant
Costa Lassalete G,49 State Rd STE 201M,Costa Rican
Primo's Pizza,320 Rivet St #1032,Pizza
China Star,963 Kempton St,Chinese
Wings over New Bedford,972 Kempton St,Chicken Wings
Restaurante Algarve,128 County St,Portuguese
Salonika House Of Pizza,842 Kempton St,Pizza
Panera Bread,84 N Dartmouth Mall Dr,Sandwich
Ambiance Park Café,369 Rivet St,Grill
Taco Bell,78 N Dartmouth Mall,Fast Food
Although Grange,1133 Fisher Rd,Restaurant
Tropical Smoothie Cafe,85A Faunce Corner Mall Rd,Restaurant
Mi Antojo Mexican Restaurant,601 S 2nd St,Mexican
Grand Wok Restaurant,840 Kempton St,Chinese
Wendy's,285 Old Westport Rd,Fast Food
222 Union Restaurant and Bar,222 Union St,Restaurant
New Bedford House of Pizza,64 Rodney French Blvd,Pizza
Cafe Arpeggio NB,800 Purchase St,Cafe
China Belle Restaurant,924 State Rd,Chinese
Jimmy's Pizza,757 Brock Ave,Pizza
Minerva Pizza House,280 Union St,Pizza
McDonald's,179 Rockdale Ave,Fast Food
Palace Pizza & More,13 Allen St,Pizza
Golden Star II,804 Brock Ave,Chinese
Wah May Restaurant,51 Main St,Chinese
Hazuki - Fresh Sushi And Japanese Cuisine,1028 Kempton St,Japanese
KFC,506 County St,Chicken
Antonio's Restaurant,267 Coggeshall St,Fine Dining
Portas Da Cidade,231 State Rd # A,Portuguese
Neil,189 Richard St S,Restaurant
Dunkin',127 Faunce Corner Rd,Coffee shop
Dunkin',823 State Rd,Coffee shop
Dunkin',575 Dartmouth St,Coffee shop
