name,address,type
East Bridgewater Community Gardens,355 Plymouth St,Museum
Keith House @ Old Bridgewater Historical Society,199 River St,Historical place museum
East Bloomfield Historical Society,8 South Ave,Museum
Rev James Keith Parsonage,,Museum
John Cary Historic Marker,Bryant St,Museum
Fuller Craft Museum,455 Oak St,Art museum
Brockton Store,540 Plymouth St,Museum
Toll House Inn Historical Site,370-382 Bedford St,Museum
Aluminate,139 Foster St,Museum
Halifax Historical Museum,516 Plymouth St,Museum
Halifax Historical Commission,South St,History museum
Brockton Fire Museum,216 N Pearl St,Museum
Ceramic Open Studio at Fuller Craft Museum,455 Oak St,Art museum
Indian caves,Unnamed Road,Museum
H L Blanchard Museum,188 W Main St,Museum
Old Colony History Museum,66 Church Green,Local history museum
Middleboro Historical Museum,18 Jackson St,Museum
First Congrational Church,Church St,Museum
Peter Oliver House,443 Plymouth St,Museum
Robbins Museum of Archaeology,17 Jackson St,Museum
Dragon Within Martial Arts,11 Franklin St,Martial arts school
East Bridgewater Community Gardens,355 Plymouth St,Museum
Keith House @ Old Bridgewater Historical Society,199 River St,Historical place museum
East Bloomfield Historical Society,8 South Ave,Museum
Rev James Keith Parsonage,,Museum
John Cary Historic Marker,Bryant St,Museum
Fuller Craft Museum,455 Oak St,Art museum
Brockton Store,540 Plymouth St,Museum
Toll House Inn Historical Site,370-382 Bedford St,Museum
Aluminate,139 Foster St,Museum
Halifax Historical Museum,516 Plymouth St,Museum
Halifax Historical Commission,South St,History museum
Brockton Fire Museum,216 N Pearl St,Museum
Ceramic Open Studio at Fuller Craft Museum,455 Oak St,Art museum
Indian caves,Unnamed Road,Museum
H L Blanchard Museum,188 W Main St,Museum
Old Colony History Museum,66 Church Green,Local history museum
Middleboro Historical Museum,18 Jackson St,Museum
Marshfield Historical Society,Marshfield,Museum
The Plimoth Grist Mill,Plymouth,History museum
John F. Kennedy Presidential Library and Museum,Boston,Museum
1749 Court House Museum,Plymouth,Museum
Boston Children's Museum,Boston,Children's museum
NEHGS,Boston,Museum
United States Naval Shipbuilding Museum & The USS Salem,Quincy,Museum
Hingham Historical Society,Hingham,Museum
Boston Tea Party Ships & Museum,Boston,Museum
Duxbury Rural & Historical Society,Duxbury,Museum
Richard Sparrow House Inc,Plymouth,Museum
Winslow House,Marshfield,Museum
Isabella Stewart Gardner Museum,Boston,Art museum
The Old Ordinary of The Hingham Historical Society,Hingham,Museum
Plymouth Antiquarian Society,Plymouth,Local history museum
The Harvard Museum of Natural History,Cambridge,Natural history museum
USS Constitution Museum,Charlestown,History museum
Howland House,Plymouth,Museum
Larz Anderson Auto Museum,Brookline,Museum
Harlow Old Fort House,Plymouth,History museum
New Bedford Whaling Museum,New Bedford,Museum
The Patriots Hall of Fame,Foxborough,Museum
Massachusetts Archives & Commonwealth Museum,Boston,Museum
Metropolitan Waterworks Museum,Chestnut Hill,Museum
Mattapoisett Museum,Mattapoisett,Museum
Harvard Art Museums,Cambridge,Art museum
Children's Museum of Greater Fall River,Fall River,Children's museum
Dreamland Wax Museum,Boston,Museum
Spooner House,,Museum
Peabody Essex Museum,Salem,Art museum
The Institute of Contemporary Art,Boston,Art museum
The Museum Of Bad Art,Somerville,Museum
Sandwich Glass Museum,Sandwich,Museum
Heritage Museums & Gardens,Sandwich,Heritage museum
New Bedford Art Museum,New Bedford,Art museum
Salem Witch Museum,Salem,Museum
Hull Life Saving Museum,Hull,Local history museum
Danforth Art School,Framingham,Art museum
Concord Museum,Concord,Local history museum
Boston Light,Boston,Museum
Cape Cod Children's Museum,Mashpee,Children's museum
Old Sturbridge Village,Sturbridge,History museum
Cape Cod Museum Of Natural History,Brewster,Museum
Battleship Cove,Fall River,Museum
RISD Museum,Providence,Museum
EcoTarium,Worcester,Museum
Whydah Pirate Museum,West Yarmouth,Science museum
Worcester Art Museum,Worcester,Art museum
Providence Children's Museum,Providence,Children's museum
"Blithewold Mansion, Gardens & Arboretum",Bristol,Historical place museum
Mystic Seaport Museum,Mystic,Museum
Springfield Museums,Springfield,Museum
Fall River Historical Society,Fall River,Museum
General Society of Mayflower Descendants,Plymouth,Museum
Artillery Co of Newport,Newport,Museum
Skywalk Observatory,Boston,Museum
Manchester Historic Association Millyard Museum,Manchester,Museum
Currier Museum of Art,Manchester,Art museum
The Mary Baker Eddy Library,Boston,Museum
Pilgrim Monument,Provincetown,Museum
American Clock & Watch Museum,Bristol,Museum
Hill-Stead Museum,Farmington,Museum
Tower Hill Botanic Garden,Boylston,Museum
9/11 Tribute Museum,New York,Museum
Penobscot Marine Museum,Searsport,Museum
Calvin Coolidge Historic Site,Plymouth,Museum
East Bridgewater Public Library,East Bridgewater,Public library
Explore More Discovery Museum,Harrisonburg,Children's museum
Old Bridgewater Historical Society,West Bridgewater,Historical society
