name,address,type
The Great Put On,10 Dock St,Clothing store
SLATE,11 N Summer St,Women's clothing store
NRO Edgartown,4 Dock St,Clothing store
Backwater Trading Co,6 Main St,Clothing store
Sundog Inc,41 Main St,Clothing store
Nell,20 Main St,Clothing store
J.McLaughlin,43 Main St,Clothing store
Suka,12 N Water St,Women's clothing store
Rags,4 Dock St,Clothing store
Katydid Inc,38 Main St,Women's clothing store
Lilly Pulitzer Edgartown,33 Main St,Women's clothing store
Island Outfitters,29 Main St,Clothing store
Edgar,6 Kelly St,Clothing store
Soft as a Grape,41 Dock St,Clothing store
FatFace,"9, Winter St",Clothing store
Vineyard Vines,27 N Water St,Clothing store
Chappy Happy,29 Winter St,Clothing store
The Black Dog General Store-CLOSED,11 Main St,Clothing store
Sola/Bryn Walker,21 Kelly St,Women's clothing store
vineyard vines,56 Narragansett Ave,Clothing store
The Great Put On,10 Dock St,Clothing store
SLATE,11 N Summer St,Women's clothing store
NRO Edgartown,4 Dock St,Clothing store
Backwater Trading Co,6 Main St,Clothing store
Sundog Inc,41 Main St,Clothing store
Healing Hands Bodywork & Massage,Beach Rd,Clothing store
Megan's Jewelry and Dresses,33 Winter St,Clothing store
Soft as a Grape,14 Circuit Ave,Clothing store
Basics Clothing Co,24 Circuit Ave C,Clothing store
MV ALLSTON,15 Circuit Ave,Women's clothing store
Stefanie Wolf Designs,12 N Water St,Jewelry store
lululemon,66 Main St,Sportswear store
It's Me,11 Circuit Ave,Clothing store
Orchard Mile,22 Winter St,Women's clothing store
Johnny Cupcakes,45 Circuit Ave,Clothing store
Island Trading Co - Hats & Sunglasses,11 Oak Bluffs Ave,Clothing store
Martha's Vineyard Beach Boutique - Unique Gifts and Beach Supplies,23 Winter St #15,Gift shop
Vineyard Jewelry,OAKB-0009-0042-0000,Clothing store
The Locker Room,33 Circuit Ave,Clothing store
Faherty Brand,17 N Water St,Clothing store
Marc Allen: fine clothiers,200 S Main St,Men's clothing store
Rosebud Kids,10 S Summer St,Children's clothing store
Claudia,51 Main St,Jeweler
Martha's Gift Store,12 Circuit Avenue Extension,Clothing store
The Green Room,71 Main St,Clothing store
Pik-Nik Art & Apparel,11 Winter St,Store
Martha's Vineyhard Boys-Girls,10 N Summer St,Second hand store
RougeLuxe Apothecary,21 Kennebec Ave,Cosmetics store
Stina Sayre,43 Main St,Women's clothing store
Brickman's,8 Main St,Clothing store
Menemsha Blues,36 Water St,Clothing store
Lorraine Parish,,Clothing store
Magnetic North,18 Beach St,Clothing store
MV Baby Rent,,Furniture rental service
Timeless,26 Main St,Clothing store
Island Fashion,18 Main St B,Clothing store
FROCK,13 Beach Street Extension,Women's clothing store
The Black Dog General Store-CLOSED,5 Water St,Clothing store
vineyard vines,44 Main St,Clothing store
Beetlebung Dry Goods,9 Main St,Clothing store
So Summer & Co.,395 State Rd,Clothing store
Once In A Blue Moon,Edgartown,Art gallery
Nochi,Vineyard Haven,Clothing store
Captain's Club Apparel,Oak Bluffs,Store
Broadway Screen Printing,Oak Bluffs,Custom t-shirt store
Bryn Walker-Pacific Cotton,Vineyard Haven,Clothing store
Whitefoot Kids Store-CLOSED,Vineyard Haven,Children's clothing store
Vintage Jewelry,Edgartown,Jewelry store
Vineyard Time,Vineyard Haven,Boutique
FROCK,Vineyard Haven,Clothing store
The Black Dog Cafe,Vineyard Haven,Clothing store
CONRADO Clothing,Vineyard Haven,Clothing store
BD Gear,Vineyard Haven,Clothing store
Biba,Vineyard Haven,Clothing store
"Citrine- Boutique, Martha's Vineyard",Vineyard Haven,Boutique
Trader Fred's,Edgartown,Variety store
Wheel Happy Bicycle Shop,Edgartown,Bicycle Shop
The Boneyard Surf Shop,Edgartown,Surf shop
Edgartown Bicycles,Edgartown,Bicycle Shop
Larry's Tackle Shop,Edgartown,Fishing store
Martha's Vineyard Screenprinting Co. (formerly the Sweat Shop),Vineyard Haven,Screen printer
Martha's Vineyard,697 State Rd,Boutique
Collection,"Corner of Union, 65 Main St # 4",Boutique
Katama General Store,170 Katama Rd,Gourmet grocery store
Sports Haven,5 Beach St,Sporting goods store
SALTE,6 S Water St,Home goods store
Bibi's Martha's Vineyard,43A Main St,Baby store
underground fashion,316 Gifford St UNIT 6,Women's clothing store
vineyard vines,2 Straight Wharf,Clothing store
Livin E Z Inc,226 Main St,Clothing store
Real Bodies Clothing,100 Palmer Ave,Clothing store
Edgartown Books,44 Main St,Book store
CB Stark Jewelers,10 Main St,Jewelry store
Pandora’s Box,4 Basin Rd,Women's clothing store
Green Eyed Daisy,199 Main St,Women's clothing store
Morrice Florist of Martha's Vineyard,149 State Rd,Florist
J.McLaughlin,1 Salem St,Clothing store
Vintage MV Wine & Spirits,29 Winter St,Wine store
CJ LAING,44 Centre St,Clothing store
Summer Shades,36 Main St,Sunglasses store
Atlantic Nantucket,16 Federal St,Department store
X-wear.com,Falmouth,Clothing store
Caline for Kids,Falmouth,Clothing store
Menemsha Blues,Chilmark,Clothing store
Milly & Grace,Nantucket,Women's clothing store
Lilly Pulitzer Falmouth,Falmouth,Women's clothing store
Stop & Shop,Edgartown,Grocery store
T.J. Maxx,East Falmouth,Clothing store
