name,address,type
Stobbarts Nurseries Inc,Franklin,Florist
Stop & Shop Florist,Franklin,Florist
FIORI,Franklin,Boutique
Brian's Country Greenery Florist,Bellingham,Florist
Big Y Floral,,Florist
Jill's Flower Shop,Millis,Florist
Luna's Flower Shop,Medway,Florist
The Foxy Pheasant Floral Design & Gardens,,Florist
Paul's Flowers,Millis,Florist
Stop & Shop Florist,,Florist
Stop & Shop Florist,,Florist
Meadowsweet Garden,Holliston,Florist
Tahmee's Creations,Medway,Flower designer
"Francis Flowers, Inc.",Milford,Florist
Katydid Flowers,Mendon,Florist
Flowers El & Associates,Franklin,Electrical supply store
Flowers Florist,Wrentham,Florist
Valley and Vines,Blackstone,Florist
Joyful Garden Co.,,Florist
Bileau's Flowers Inc,Woonsocket,Florist
Park Square Florist,Woonsocket,Florist
Elaine's Flowers,North Smithfield,Florist
The Black Opal Florist,North Attleborough,Florist
Debra's Flowers,Holliston,Florist
Charlotte Design,Holliston,Flower designer
Edible Arrangements,Milford,Florist
"Dove Tales Floral & Art Studio, LLC",,Flower designer
Sunnyside Gardens,Hopkinton,Florist
Annabelle's Flowers,Foxborough,Florist
Art Because Foundation,Holliston,Florist
Only Prettier Design,Norfolk,Flower designer
Nolan's Flowers & Gifts,Attleboro Falls,Florist
Hillside Nurseries & Florist,Franklin,Landscaper
Roche Bros. Millis,Millis,Florist
A Bella Mia Flowers,Norwood,Florist
"Annabelle's Flowers, Gifts & More",Norton,Florist
Janices Flowers & Gifts Inc,Cumberland,Gift shop
Flower Power,Norwood,Florist
Jayne's Flowers - Boston,Boston,Florist
Mugford's Flower Shoppe,Westborough,Florist
Judy's Village Flowers,Foxborough,Florist
Jill's Florist Flower Shop,Charlton,Florist
Roslindale Florist,Roslindale,Florist
TERRAZZA,Franklin,Gift shop
Randolph Florist,Randolph,Florist
Winston Flowers - Wellesley,Wellesley,Florist
Edible Arrangements,Woonsocket,Florist
Big Y World Class Market,Franklin,Grocery store
Stop & Shop,Franklin,Grocery store
Jayne's Flowers - Belmont,Belmont,Florist
Robin's Flower Shop,Boston,Florist
Wagner Floral Designs,Somerville,Florist
Winston Flowers - Chestnut Hill,Newton,Florist
Sunny Florists,South Boston,Florist
Medway Garden Center & Nursery,Medway,Garden center
Winston Flowers - Concord,Concord,Florist
Fairmount Fruit Farm,Franklin,Produce market
Hoffmann Farm,Franklin,Store
Winston Flowers - Back Bay,Boston,Florist
Stop & Shop Pharmacy,Franklin,Pharmacy
Designs By Don Inc,Wilmington,Florist
Shaw's,Franklin,Grocery store
The Sweetbay Shop,North Reading,Florist
Winston Flowers - Hingham,Hingham,Florist
Bloom Couture Floral Studio,Boston,Flower designer
Sunny Florists,Malden,Florist
Dollar Tree,Franklin,Dollar store
Michaels,Bellingham,Craft store
Whole Foods Market,Bellingham,Grocery store
Roche Bros. Westborough,Westborough,Florist
Shaw's,Medway,Grocery store
Horace Mann Educational Associates,Norfolk,Gift basket store
The Orchid Florist,Waterbury,Florist
Village Green Nurseries Inc,Norfolk,Garden center
Aubrey Greene Photography,,Wedding photographer
Stop & Shop,Milford,Grocery store
Lindt Chocolate Shop,Wrentham,Gift shop
Stop & Shop,Bellingham,Grocery store
Roman's Hallmark,Millis,Gift shop
Stop & Shop,Plainville,Grocery store
Franklin Town Hall,Franklin,City government office
Glen Head Flower Shop Inc.,Glen Head,Florist
Lowe's Garden Center,Plainville,Garden center
Sweetbay Flowers,Wakefield,Home goods store
Franklin Public Library,Franklin,Public library
Franklin Assessors Office,Franklin,City tax office
Franklin Administrator,Franklin,City government office
City of Franklin Department of Public Work,Franklin,City government office
Franklin Farmers Market,Franklin,Farmers' market
Ginley Funeral Home-Franklin,Franklin,
Oteri Funeral Home,Franklin,Funeral home
Franklin State Forest,Franklin,State park
Shawon Davis Photography,Medway,Wedding photographer
Franklin Public Schools,Franklin,School district office
Flower Girl Florist,Bensalem,Florist
Franklin Veterinary Clinic,Franklin,Animal hospital
Housing Authority Maintenance,Franklin,Housing authority
Eaton Place,Franklin,Apartment building
"Lifelong Learning Institute, Franklin, MA",Franklin,Educational institution
Franklin High School,Franklin,High school
Magnolia Heights Gracious Retirement Living,Franklin,Retirement community
Central Pizza,Franklin,Pizza
United States Postal Service,Franklin,Post office
St. Mary's Parish,Franklin,Church
St Mary's Catholic Cemetery,Franklin,Cemetery
Costello Realty,Franklin,Real estate agency
Pirelli Veterans Arena,Franklin,Ice skating rink
Stop & Shop Gas,Franklin,Gas station
