name,address,type
The Spot,Georgetown,Restaurant
Flatbread Company Georgetown,Georgetown,Pizza
Village Sub & Pizza,Georgetown,Pizza
Niki's Roast Beef & Pizza,Georgetown,Pizza
Pomodori Georgetown,Georgetown,Pizza
Boxford House of Pizza,Boxford,Pizza
The Pizza Grove,Groveland,Pizza
"Cafe Sarina, Garden Golf, & Kallie's Kones",Georgetown,Restaurant
Home made With Love,,Persian
Pub 97,Groveland,Pub
Jimmy K's Restaurant,Georgetown,Restaurant
Nicolini House of Pizza,Georgetown,Caterer
Tea Garden,Groveland,Chinese
Domino's Pizza,Georgetown,Pizza Delivery
Rusty Can,Byfield,Barbecue
Simard's Place,Rowley,Breakfast
Dunkin',Georgetown,Coffee shop
Rowley Country Club Golf Course Restaurant,,Restaurant
Agawam Diner,Rowley,Restaurant
Royal Orchid,Rowley,Thai
Fuse Bistro,Lowell,Restaurant
The Spot,Georgetown,Restaurant
Flatbread Company Georgetown,Georgetown,Pizza
Village Sub & Pizza,Georgetown,Pizza
Niki's Roast Beef & Pizza,Georgetown,Pizza
Pomodori Georgetown,Georgetown,Pizza
Boxford House of Pizza,Boxford,Pizza
The Pizza Grove,Groveland,Pizza
"Cafe Sarina, Garden Golf, & Kallie's Kones",Georgetown,Restaurant
Home made With Love,,Persian
Pub 97,Groveland,Pub
Jimmy K's Restaurant,Georgetown,Restaurant
Nicolini House of Pizza,Georgetown,Caterer
Tea Garden,Groveland,Chinese
Nick's Place,West Newbury,Pizza
Jules' Kitchen,Ipswich,Restaurant
Haverhill House of Pizza and Subs,Haverhill,Pizza
West Village Provisions,Boxford,Grocery store
Shoe City Urban Bistro & Bar,Haverhill,American
Bradford Tavern,Rowley,Restaurant
West Newbury Pizza Co,West Newbury,Pizza
Fuse Bistro,45 Palmer St,Restaurant
Rowley House of Pizza & Seafood,144 Newburyport Turnpike,Pizza
Krueger Flatbread,142 Essex St,Pizza
Village Square Restaurant,109 S Main St,Breakfast
Majestic Dragon,81 Turnpike Rd,Chinese
Topsfield House of Pizza,32 S Main St,Pizza
Keon's,105 Washington St,Restaurant
Bradford Seafood,124 Winter St,Seafood
Wang's Table,46 Washington St,Chinese
Ari's Pizza & Subs,402 S Main St,Pizza
Tacos Lupita,194 River St,Tacos
Osteria Peppino Pizzeria,414 Boston St,Restaurant
STUFT Mexican Street Food,150 Washington St,Mexican
Butch's Uptown,63 Locke St,American
Hans Garden,114 Washington St #5500,Chinese
Clam Box of Ipswich,246 High St,Seafood
Casa Blanca,2 Essex St,Mexican
Kaldi's Cafe,22 Washington St,Coffee shop
The Peddler’s Daughter Irish Restaurant & Pub,45 Wingate St,Restaurant
Sparky's Wings and Things,20 Emerson St,Restaurant
Grove,101 Main St,Restaurant
Kelley's Restaurant,75 S Main St,American
Taki's Pizza / J & M Wines,701 Salem St,Pizza
Best Bagel,70 W Main St,Bakery
Olivia's,142 Essex St,Italian
Pomodori,146 High St,Pizza
The Pizza Place,2 Lafayette Square,Pizza
Copperhead Saloon,27 Lafayette Square,Grill
New Moon Garden,701 S Main St,Chinese
Canela Market,111 White St,Soul
Hilldale Pizza & Subs,62 Hilldale Ave,Pizza
A Sweet Affair,38 Washington St,Health Food
"Benedetti's Deli, LLC",350 Washington St,Sandwich
Wicked Big Cafe,19 Essex St,Cafe
Bruster's Ice Cream,124 Main St,Restaurant
The Hidden Pig,130 Washington St,Gastropub
Wendy's,39 S Main St,Fast Food
Mediterranean Pizza & Subs,61 Kenoza Ave,Pizza
Spaziano's Pizzeria,64 Washington St,Pizza
G's Texas Southern Flare,35 Washington St,Restaurant
Villamar Caribbean Restaurant,31 White St,Dominican
McDonald's,155 Newburyport Turnpike,Fast Food
