name,address,type
Lyonville Tavern and Restaurant,315 Plymouth St,Restaurant
Grille 58,284 Monponsett St,Family-friendly
BR's Cafe,550 Monponsett St,Breakfast
Happy Dragon Chinese Restaurant,,Chinese
Santoro's Pizza & Subs,284 Plymouth St,Pizza
Nick & Angelo's Pizza Place,2105 Plymouth St,Pizza
Cape Cod Cafe Pizza,300 Plymouth St,Pizza
Johnny Macaroni's,150 Industrial Dr,Caterer
The Meadow Brook Restaurant & Functions,1486 Main St,American
Subway,"300 Plymouth St Rte 106 & 58, Unit 4",Sandwich
Connie's Restaurant,270 Main St,Breakfast
Cafe Deli,1280 Main St #3,Breakfast
Spiro's II Pizza & Grill,1064 Main St,Pizza
Venus III Sports Bar & Restaurant,252 Main St,American
Gather,35 School St,Restaurant
Mike's House of Pizza,309 Main St,Pizza
Johnny Macaroni's,1300 Plymouth St,Family-friendly
Olde School Cafe,65 School St,American
Mo’s Place,1357 Main St,Restaurant
A Fork In The Road,6 Union St,Caterer
Dunkin',355 Plymouth St,Coffee shop
Sandy's Coffee Corner,12 Monponsett St,Breakfast
Country Club of Halifax,100 Country Club Dr,Country club
Country Cafè Pizza & More,210 Pond St,Pizza Takeout
Johnny Macaroni's,572 West St,Italian
Bryantville Pizza Kitchen,8 Main St,Pizza
Cape Cod Cafe Pizza,220 Winter St,Pizza
Crispi's Restaurant,136 Broad St,Restaurant
Chatta Box,755 Bedford St # 1,Thai
The Juice Station,808 Washington St,Restaurant
Solstice,63 Summer St,American
SugarCane Thai Restaurant,180 Winter St unit a,Thai
Napoli Pizza,54 Pembroke St,Pizza
Jones River Tavern,6 Pembroke St,Grill
Satucket Pizzeria,650 Plymouth St,Pizza
Imperial Kitchen,341 Broad St,Chinese
Domino's Pizza,270 Main St Unit 3,Pizza Delivery
99 Restaurants,233 Broad St,Restaurant
Old Country Pizza,225 Bedford St,Pizza
Golden Roll,470 Liberty St # 4,Chinese
The Blueberry Muffin Restaurant: Kingston MA,164 Summer St,Breakfast
Charlie's Too,825 Washington St,Seafood
Nellie Rose Restaurant,444 Center St,Breakfast
Barrett's Alehouse Bridgewater,425 Bedford St,Restaurant
Cancun Family Mexican Restaurant,145 Main St,Mexican
Disch's Route 53 Tavern,615 Washington St,American
Brianna's Breakfast,100 Spring St,Breakfast
Abbondanza Pizzeria,808 Washington St,Pizza
Pembroke House of Pizza,44 Mattakeesett St,Pizza
College Pizza,750 Bedford St,Pizza
Kenny O'Bryan's Pub and Grille,225 Bedford St,American
A3 Pizza-Pasta-Parm,65 Summer St,Italian
Lou Lou's Cafe,2107 Plymouth St,Cafe
Bridgewater House of Pizza,33 Main St,Pizza
Bangna Garden Restaurant,77 Summer St,Thai
Deng's Garden Restaurant,225 Bedford St # 10,Chinese
Baldie's Pizzeria,755 Bedford St,Pizza
"Persy's Place Middleboro, MA",43 Bedford St,Breakfast
Buddys Pizza Pub,547 W Grove St,Pizza
Cravings Cafe,150 Summer St,American
td,30 Lantern Ln,Restaurant
Emma's Pub & Pizza,128 Broad St,Pizza
The Cabin,114 E Grove St,Gluten Free
Rosa Farms,956 W Washington St,Restaurant
Riviera Cafe Brewhouse,288 Broad St,Brewpub
Pachinis Pizza,29 N Main St,Pizza
Adria Restaurant & Banquet Facility,436 Oak St,Mediterranean
Royal Garden Restaurant,3 Tremont St,Chinese
Check In Thai Cuisine,321B W Grove St,Thai
John T Cataldi Restaurant Inc,63 Summer St,Restaurant
Chessmen's Pizza Bridgewater,16 Central Square,Pizza
West End Grill,160 Summer St,Restaurant
Apazidis Family Restaurant,194 E Grove St,Family-friendly
Dave's Diner,390 W Grove St,Diner
Mee King Garden,33 Main St,Chinese
Dimitri's Pizza and Subs,314 Mattakeesett St,Pizza
New York Pizza,271 E Center St,Pizza
Subway,203 Bedford St,Sandwich
Better Bean Coffee Co,23 Central Square,Coffee shop
Tatami Sushi Restaurant,118 N Bedford St,Sushi
Lorenzo's,500 W Grove St,Restaurant
J’s Flying Pizza,815 South St,Pizza Takeout
Porcello,,Restaurant
Lucky Dawg Tavern & Grill,242 Mattakeesett St,Grill
Best Pizza,3 E Grove St,Italian
Woodward's Racing Cafe,337 W Grove St,Breakfast
Summer Street Cafe,10 Summer St,Restaurant
Fiesta Mexican Restaurant,34 Bedford St,Mexican
Cape Cod Cafe Pizza,979 Main St,Pizza
Papa Gino's,233 Broad St,Pizza
King Garden,220 Winter St,Chinese
Friendly's,40 Bedford St,Restaurant
Dunkin',47 Harding St,Coffee shop
Taco Bell,218 Broad St,Fast Food
Santoro's Pizza,90 N Main St,Pizza
KFC,218 Broad St,Chicken
Yangtze Inn,266 S Main St,Chinese
Papa Gino's,182 Summer St,Pizza
McDonald's,178 Summer St,Fast Food
Mother Anna's Restaurant and Bar,46 Columbia Rd,Italian
Subway,547 W Grove St,Sandwich
Dunkin',750 Bedford St,Coffee shop
Dunkin',1120 Main St,Coffee shop
Honey Dew Donuts,57 Center St,Donuts
McDonald's,14 E Clark St,Fast Food
Tiki Buddha,10 Merchant's Way # 1,Chinese
M E A's Dairy Bar,358 Monponsett St,Ice Cream
Omelette Factory,24 Schoosett St,Breakfast
The Foodsmith,17 Standish St,Bakery
Dunkin',318 Main St,Coffee shop
Patrick Nee Green Meadow Distributors - Irish food Imports,,Irish
Rebel Burger Bar,114 Main St,Restaurant
Red Robin Gourmet Burgers and Brews,269 Colony Pl Rd,Restaurant
D'Angelo Grilled Sandwiches,422 W Grove St,Sandwich
The DaVinci Menu,,Restaurant
Spencer's Pizza,123 Centre Ave,Pizza
Just Right Farm,140 Palmer Rd,Agriculture
