name,address,type
Middleboro Historical Museum,Middleborough,Museum
Robbins Museum of Archaeology,Middleborough,Museum
Peter Oliver House,Middleborough,Museum
J. Hoffa,Middleborough,Museum
Old Colony History Museum,Taunton,Local history museum
Museum,,Museum
Long Plain Museum,Acushnet,Museum
Freetown Historical Society,Assonet,Non-profit organization
Profile Rock of Massasoit,,Museum
Berkley Historical Society,Berkley,Museum
Somerset Historical Society,Somerset,Local history museum
New Bedford Whaling Museum,New Bedford,Museum
Keith House @ Old Bridgewater Historical Society,West Bridgewater,Historical place museum
USS Massachusetts BB-59,Fall River,War museum
Children's Museum of Greater Fall River,Fall River,Children's museum
Museum of Madeiran Heritage,New Bedford,Heritage museum
The District Center For The Arts,Taunton,Museum
Maritime Museum At Battleship Cove - Open Seasonally,Fall River,Museum
Lafayette-Durfee House,Fall River,History museum
Brockton Store,Halifax,Museum
Halifax Historical Museum,Halifax,Museum
New Bedford Art Museum,New Bedford,Art museum
Fall River Fire Museum Incorporated,Fall River,Museum
Mattapoisett Museum,Mattapoisett,Museum
Rotch-Jones-Duff House,New Bedford,Museum
John Hathaway Homestead Marker,Berkley,Museum
New Bedford Fire Museum,New Bedford,Museum
Whitfield-Manjiro Friendship House,Fairhaven,Museum
Marion Natural History Museum,Marion,Museum
Halifax Historical Commission,Halifax,History museum
Fort Tabor Military Museum,New Bedford,Museum
Westville Conservation Area,Taunton,Museum
Rev James Keith Parsonage,,Museum
John Cary Historic Marker,West Bridgewater,Museum
Captain John Kendrick Maritime,Wareham,Museum
The Old Plympton Cotton Factory,Plympton,Museum
Battleship Cove,Fall River,Museum
Mattapoisett Transfer Station,Mattapoisett,Museum
USS Joseph P. Kennedy Jr. DD-850,Fall River,Museum
Aptucxet Trading Post Museum,Bourne,Museum
Fall River Carousel at Battleship Cove,Fall River,Museum
Fort Rodman,New Bedford,Museum
The Cape Cod Military Museum,Buzzards Bay,Museum
Lizzie Borden grave,Fall River,Museum
Panorama of a Whaling Voyage Around the World,Dartmouth,Museum
Harbor Walk,New Bedford,Museum
Heritage Museums & Gardens,Sandwich,Heritage museum
New Bedford whaling museum,,Museum
Ricketson Nature Center,New Bedford,Museum
Great Neck Mass Audobon trailhead,Wareham,Museum
Oxford Village Historical District,Fairhaven,Museum
Yeap Buddy,Fall River,Museum
maplecroft,Fall River,Museum
Pilgrim Jonh Cooke Monument,Fairhaven,Museum
Bourne Society Historic House,Buzzards Bay,Museum
Sandwich Glass Museum,Sandwich,Museum
USS Lionfish SS-298,Fall River,Museum
IWO JIMA REPLICA,Fall River,Museum
Camp Cove,Fall River,Museum
Public park,,Museum
USNS Hiddensee,Fall River,War museum
Mark’s Cove Conservation Area Parking,Wareham,Museum
South End Beach Compass,New Bedford,Museum
Falmouth Museums On The Green,Falmouth,Museum
Hoxie House,Sandwich,History museum
Woods Hole Historical Museum,Woods Hole,Museum
Mashpee Wampanoag Indian Msm,Mashpee,Museum
Cahoon Museum of American Art,Cotuit,Art museum
Arey's Windmill,Pocasset,Historical place museum
Cape Cod Children's Museum,Mashpee,Children's museum
Cape Cod Canal Visitor Center,Sandwich,Museum
Nye Museum,East Sandwich,Museum
Fall River Historical Society,Fall River,Museum
Woods Hole Oceanographic Institution Ocean Science Discovery Center and Gift Shop,Woods Hole,Science museum
Cataumet Windmill #2 / Rothery Windmill #2,Pocasset,Historical place museum
Cahoon Museum,,Museum
Green Briar Nature Center and Jam Kitchen,East Sandwich,Natural history museum
Pocasset River Trail Head,Pocasset,Museum
Ames Mansion,North Easton,Museum
Falmouth Historical Society,Falmouth,Museum
Woods Hole Oceanographic Exhibit Ctr,,Museum
Brookside,Bourne,Museum
Thornton Burgess Society,East Sandwich,Museum
The Cataumet Schoolhouse,Cataumet,Museum
What A Grind Gallery - Art Gallery,North Falmouth,Museum
Upper Shawme Dam,Sandwich,Museum
CGC Eagle Propellor,Otis Air National Guard Base,Museum
Children's Museum In Easton,North Easton,Children's museum
Fuller Craft Museum,Brockton,Art museum
Fair Grounds Parking Lot,East Falmouth,Museum
Cape Cod Art Gallery O’Malley-Keyes - Art for All Mankind Gallery & Studios,East Falmouth,Museum
The Wing Memorial History Center,East Sandwich,Museum
Enigma Birdhouse,Mashpee,Museum
Morgan Manor,East Sandwich,Museum
Bay Lot,Mashpee,Museum
Plimoth Plantation,Plymouth,History museum
Carpenter Museum,Rehoboth,Museum
Pilgrim Hall Museum,Plymouth,Museum
The Jenney,Plymouth,Education center
The Plimoth Grist Mill,Plymouth,History museum
Museum of American Bird Art at Mass Audubon,Canton,Art museum
1749 Court House Museum,Plymouth,Museum
Easton Spring Inc,South Easton,Natural goods store
Richard Sparrow House Inc,Plymouth,Museum
Howland House,Plymouth,Museum
Harlow Old Fort House,Plymouth,History museum
King Richards Faire,Carver,Museum
Winslow House,Marshfield,Museum
Plymouth Antiquarian Society,Plymouth,Local history museum
The Harvard Museum of Natural History,Cambridge,Natural history museum
Blue Hills Trailside Museum,Milton,Museum
Community Events of Westport,Westport,Association or organization
Boston Children's Museum,Boston,Children's museum
Bare Cove Fire Museum,Hingham,Museum
MIT Museum,Cambridge,Science museum
Peabody Museum of Archaeology and Ethnology,Cambridge,Museum
Harvard Art Museums,Cambridge,Art museum
