name,address,type
Great Road Kitchen,613 Constitution Ave,Oyster Bar
Anthony's Coal Fired Pizza,201 Constitution Ave,Pizza
Il Forno Restaurant & Catering,529 King St,Italian
Tavern in the Square Littleton,810 Constitution Ave,American
Ed's Weenies,600 Great Rd,Hot Dog Stand
Masala Bay,501 Constitution Ave,Indian
Yangtze River,584 King St,Chinese
Taka Asian Cuisine,602 Constitution Ave,Asian
Littleton Cafe,341 King St,Restaurant
Moe's Southwest Grill,607 Constitution Ave,Mexican
Littleton Sub Shoppe,486 King St,Fast Food
Pizza Express & More,653 Great Rd,Pizza
Thai on the Fly,439 Littleton Rd,Thai
Di Napoli Pizzeria,439 Littleton Rd,Pizza Delivery
Chip Shots Pub,245 Ayer Rd,Restaurant
The Red Raven Restaurant,3 Nagog Park,American
Bickford's Family Restaurants,20 Nagog Park,Family-friendly
Ixtapa Mexican Grill & Cantina,765 Boston Rd,Mexican
Crossroads Cafe,405 Nagog Park,Restaurant
Beijing Tokyo,103 Nagog Park,Restaurant
Mayuri Indian Cuisine,5 Nagog Park,Indian
The Outlook at Nashoba Valley,79 Powers Rd,American
Kimball Farm Westford,400 Littleton Rd,Ice Cream
One Monarch Café,1 Monarch Dr,American
Dunkin',220 Great Rd,Coffee shop
Subway,287 Great Rd,Sandwich
99 Restaurants,333 Littleton Rd,Restaurant
The Sunset Tiki Bar,79 Powers Rd,Grill
Seoul Kitchen Restaurant,142 Littleton Rd,Korean
Evviva Trattoria,7 Cornerstone Square,Italian
Bamboo Fine Asian Cuisine & Sushi Bar,1 Lan Dr,Asian
Fuse (Bistro) Westford,2 Powers Rd,Restaurant
Dunkin',25 King St,Coffee shop
The Vinyl Vault,482 King St,Restaurant
Burtons Grill & Bar of Westford,1 Cornerstone Square,American
Asian Plus Noodle & Rice,313 Littleton Rd,Asian
Gourmet Donuts,42 White St,Restaurant
BixBite Restaurant,175 Littleton Rd,Breakfast
Le Lyonnais Restaurant,416 Great Rd,French
Karma Restaurant,174 Littleton Rd,Asian Fusion
Backstage Lounge & Bistro,1208 Constitution Ave,Restaurant
Rapscallion Table & Tap,5 Strawberry Hill Rd,Restaurant
Holy Grail Bar and Restaurant,166 Great Rd,Grill
Subway,174 Littleton Rd,Sandwich
Oscars Burritos Mexican Grill,"34 Massachusetts Avenue, MA-111",Mexican
Paul's Diner,6 Carlisle Rd,Diner
Gibbet Hill Grill,61 Lowell Rd,Restaurant
Lazy Mary's,30 Littleton Rd,Pizza
Hubba's Real Pit BBQ,129 Littleton Rd,Barbecue
British Beer Company,149 Littleton Rd,British
Lucias Tavola,31 Main St,Italian
Clover Food Lab,160 Littleton Rd,Fast Food
Pizzeria Presti,2 E Prescott St,Pizza
Nashoba Pizza,66 Littleton Rd,Pizza
Dunkin',460 King St,Coffee shop
Chili's Grill & Bar,137 Littleton Rd,Tex Mex
Blackbird Cafe,342 Great Rd,Breakfast
Ginger Court,344 Great Rd,Chinese
Chipotle Mexican Grill,174 Littleton Rd Ste 1,Mexican
Nashoba Valley Ski Area,79 Powers Rd,Ski resort
Twin Seafood Grill,541 Massachusetts Ave,Seafood
Dicapri Pizzeria,576 Massachusetts Ave,Pizza
Rangoli Grill,8 Cornerstone Square,Indian
Shell,460 King St,Restaurant
El Huipil,273 Great Rd,Mexican
NESSP Sai Canteen,99 Shirdi Way,Restaurant
Five Guys,10 Cornerstone Square,Hamburger
Acton House of Pizza,494 Main St,Pizza
Forge Village Breakfast,8 W Prescott St,Diner
Bravo Pizza,1233 Massachusetts Ave,Pizza
Acton New London Style Pizza,555 Massachusetts Ave #2903,Pizza
Filho's Great Road,59 Great Rd,Italian
Dunkin',294B Littleton Rd,Coffee shop
Nashoba Tech Restaurant,100 Littleton Rd,American
Mr. Mac's Macaroni & Cheese Westford,175 Littleton Rd,Restaurant
Mario's Restaurant,223 Groton Rd,Breakfast
Sorrento's Pizzeria,251 Main St,Pizza
Gene's Chinese Flatbread Cafe,175 Littleton Rd,Noodle Shop
Benjarong Restaurant,214 Main St,Thai
True West Brewing Co.,525 Massachusetts Ave,Brewery
Fuse Bistro,45 Palmer St,Restaurant
Johnson's Restaurant and Dairy Bar,164 Boston Rd,American
Dunkin',788 Boston Rd,Coffee shop
AP Pizzeria,168 Great Rd,Pizza
Siam Pepper Thai Cuisine,325 Ayer Rd,Thai
Thai Jasmine,313 Littleton Rd,Thai
McDonald's,151 Littleton Rd,Fast Food
