name,address,type
Mystic Station,139 Pleasant St,American
All Seasons Table,64 Pleasant St,Asian
Exchange Street Bistro,67 Exchange St,Bistro
Habesha Restaurant,535 Main St,Ethiopian
Pisa Pizza,133 Pearl St,Pizza
Doo Wop Diner,269 Main St,Diner
Serena,18 Lebanon St,Italian
Dockside Restaurant in Malden,229 Centre St,American
El Potro Mexican Bar & Grill,156 Highland Ave,Mexican
Crying Thaiger Rustic Thai Kitchen,114 Ferry St,Thai
Jack’s Ristorante,655 Eastern Ave,Italian
Sousaku Bistro Japanese Restaurant & Bar,166 Eastern Ave,Japanese
John Brewer's Tavern,7 Highland Ave,Gastropub
District Kitchen,2 Florence St,Chinese
Bobby C's Ristorante,20 Main St,Italian
Hugh O'Neill's Restaurant & Pub,45 Pleasant St,Irish
Pearl Street Station Restaurant,53 Summer St,Barbecue
Darrna Restaurant,12 Pleasant St,Mediterranean
GT Restaurant,215 Ferry St,Mexican
Ocean Sushi Restaurant,16 Oak Grove Ave,Sushi
Mystic Station,139 Pleasant St,American
All Seasons Table,64 Pleasant St,Asian
Exchange Street Bistro,67 Exchange St,Bistro
Habesha Restaurant,535 Main St,Ethiopian
Pisa Pizza,133 Pearl St,Pizza
Doo Wop Diner,269 Main St,Diner
Serena,18 Lebanon St,Italian
Dockside Restaurant in Malden,229 Centre St,American
El Potro Mexican Bar & Grill,156 Highland Ave,Mexican
Crying Thaiger Rustic Thai Kitchen,114 Ferry St,Thai
Jack’s Ristorante,655 Eastern Ave,Italian
Sousaku Bistro Japanese Restaurant & Bar,166 Eastern Ave,Japanese
Six Twenty-One Tavern & Grill,621 Broadway,Restaurant
Sun Kong,275 Eastern Ave,Chinese
Bikeeny caffe,62 Summer St,Cafe
Papa's Bar & Grille,208 Highland Ave,Grill
Anthony's Malden,105 Canal St,Italian
Fajitas Mexican Grill & Pizzas,706 Salem St,Mexican
Maria's Pizzeria,932 Salem St,Pizza
Donut Villa Diner,1 Highland Ave,Breakfast
Crazy Good Kitchen,906 Eastern Ave,Fast Food
DiPietro's Pizza Restaurant,285 Highland Ave,Pizza
Panda Castle,20 Lebanon St,Chinese
One Pot,475 Ferry St,Restaurant
Malden’s house of pizza,695 Salem St,Pizza
Ibasaw Seafood Buffet Sushi Shabu,95 Middlesex St,Seafood
Santoro's,310 Main St,Takeout Restaurant
Brasil On Ferry,448 Ferry St,Brazilian
Golden Garden,9 Highland Ave,Chinese
The Island Caribbean Cuisine and Drinks,118 Ferry St,Haitian
Flaming Grill & Buffet,52 Broadway,Chinese
Shang Pin Hot Pot,247 Eastern Ave,Restaurant
Emone Tofu,184 Salem St,Korean
Nappi's Restaurant,370 Salem St,Italian
Bravo Pizza,54 Pleasant St #4905,Pizza
Go Chi,390 Main St,Chinese
Ethiopian restaurant,1b Highland Ave,Ethiopian
Fortune Corner,688 Salem St,Chinese
Eddy's Diner Breakfast & Lunch,187 Beach St,Restaurant
Pho 99,99 Pleasant St,Vietnamese
Neapoli Cafe & Pizzeria,43 Lebanon St,Pizza
Giovannis Roast Beef and Pizza,,Pizza
J&R Restaurant and Baker,188 Salem St,Haitian
China Garden Restaurant,256 Highland Ave,Chinese
Crown Fried Chicken,12 Lebanon St,Chicken
Burger King,61 Broadway,Fast Food
Lucky Fast Food,60 Broadway,Fast Food
Ebisuya Japanese Noodle House,64 Summer St,Ramen
Brother's Roast Beef,986 Eastern Ave,Pizza
Big A Sub Shop,282 Highland Ave,Deli
P & C Market & Caribbean Cuisine,35 Lebanon St,Restaurant
Sei Bar Everett,916 Broadway,Chinese
Peter's Sunrise Restaurant,320 Main St,Breakfast
El Mexsal Authentic Latin Food,97 Medford St,Mexican
Joti Palace,308 Main St,Restaurant
King Bibis Malden,298 Lebanon St,Brazilian
Shanghai Moon 1987,442 Salem St,Shanghainese
Mimi's Roast Beef & Seafood,205 Centre St,Restaurant
Ultra Spicy House,60 Broadway,Asian
Subway,207A Centre St,Sandwich
Super Burritos Mexican Grill,453 Ferry St,Mexican
Ibasaw 五味七品楼,95 Middlesex St,Restaurant
New England Coffee Cafe and Store,108 Charles St,Restaurant
New Jumbo House,400 Main St,Restaurant
Dempsey's Breakfast and Lunch,64 Lambert St,Family-friendly
Indulge India Food Truck,342 Pearl St,Fast Food
Taste of India,519 Main St,Indian
Subway,695 Eastern Ave,Sandwich
McDonald's,114 Broadway,Fast Food
Mandarin Tawainese Restaurant,74 Pleasant St,Restaurant
Addis Cafe,281 Cross St,Ethiopian
Patrick's,40 Lebanon St,Bar
Brothers Kafe Kreyol,299 Main St,Haitian
Maria's Gourmet Pasta,245 Ferry St,Restaurant
Kol's Pizzeria and Roast Beef,637 Broadway #99,Pizza Delivery
Tiki Island,269 Middlesex Ave,Polynesian restaurant
Tenoch Mexican,24 Riverside Ave,Mexican
Sushi Bartender,,Sushi
Spicy World,157 Pleasant St,Restaurant
House Of Flavors - Casa Dos Sabores,29 Norwood St,Restaurant
Bun's House,338 Ferry St,Chinese
Classic Pizza,199 Ferry St,Restaurant
Catalina's Pizza,109 Ferry St,Pizza
Kakkoii Sushi and Ramen,60 Broadway Shop#3,Japanese
Real Italian Gusto,24 High St,Italian
Turner's Seafood Grill & Market,506 Main St,Seafood
Jay's Pizza & Ice Cream,167 Centre St #5522,Pizza Delivery
ONO POKEBAR,7 Pleasant St,Restaurant
Secret Place Restaurant,700 Broadway,Restaurant
Original Giovanni’s,42 Broadway,Pizza
Honey Dew Donuts,691 Eastern Ave,Donuts
Bob's Italian Foods,324 Main St,Italian
Atlas Market,223 Highland Ave,Asian grocery store
Asian Taste Medford,207 Middlesex Ave,Chinese
Neapoli Cafe & Pizzeria,43 Lebanon St,Pizza
Dunkin',424 Main St,Coffee shop
Dunkin',57 Eastern Ave,Coffee shop
Sushukospark,19 Upham St,Fast Food
Dunkin',155 Beach St,Coffee shop
Floramo's,213 Everett Ave,Italian
Bella Luna & The Milky Way,284 Amory St,Pizza
Jamaica Mi Hungry,420 Pearl St,Restaurant
Herbalife Nutrition club,134 Mountain Ave,Restaurant
Yalemwork,,Restaurant
Rooster Kitchen,24 Eastern Ave,Restaurant
Legal on the Mystic - Temporarily Closed,301 Great River Rd,Seafood
New York Pizza,421 Main St,Pizza Delivery
8/10 Bar & Grille,8 Norwood St,Grill
Dunkin',655 Salem St,Coffee shop
Dunkin',200 Commercial St,Coffee shop
Tom Yum Koong Restaurant,11 Forest St,Thai
Dunkin',980 Eastern Ave,Coffee shop
Victor's Italian Restaurant,560 Lincoln Ave,Italian
Pizza Joe,274 Elm St,Pizza
DeMaino's Restaurant,14 Malden St,Italian
Main Street House of Pizza,130 Main St,Pizza
Wood and Fire Neapolitan Pizzeria,35 Essex St,Italian
Braza Bar And Grill,158 School St,Brazilian
Stop Market,194 Salem St,Grocery store
Nijiya Sushi,9 High St,Japanese
Blue Fuji,38 Salem St,Asian
Bella Luna & The Milky Way,284 Amory St,Pizza
Victory Point Italian Kitchen & Seafood,332 Victory Rd,Italian
Ferry Street Grille,108 Ferry St,Breakfast
Hua Xia,354 Ferry St,Chinese
SURA BBQ Boston,27 Riverside Ave,Korean BBQ
Highland Kitchen,150 Highland Ave,American
Kelly's Roast Beef,35 Revere Beach Pkwy,Fast Food
Ball Square Cafe & Breakfast,708 Broadway,Breakfast
Pizza Hut,7 Sycamore St,Pizza
Yong Yong: Dim Sum Hot Pot Sushi,,Restaurant
Regina Pizzeria,44 Station Landing,Pizza
Posto,187 Elm St,Italian
Ciao! Pizza and Pasta,59 Williams St,Italian
Dali,415 Washington St,Spanish
Five Guys,65 Station Landing,Hamburger
Boston Market,616 Fellsway,American
Fruition Vegan Kitchen,472 High St,Vegan
Mario's Restaurant,347 Chelsea St,Italian
