name,address,type
5 Corners Kitchen,2 School St,French
Driftwood Restaurant,63 Front St,Restaurant
Three Cod Tavern,141 Pleasant St,Seafood
Maddie's Sail Loft,15 State St,Seafood
Junji's Fine Japanese Cuisine,114 Pleasant St,Sushi
Casa Mia Cucina Italiana,261 Washington St,Italian
Casa Corona,33 Smith St,Mexican
Caffé Italia Trattoria,10 School St,Italian
Soall Bistro,10 Bessom St #9,Vietnamese
Barnacle Restaurant Inc,141 Front St,Seafood
Marblehead House of Pizza Inc,7 Atlantic Ave,Pizza
Fresca Pizza and Pasta,50 Atlantic Ave,Pizza
The Landing Restaurant,81 Front St,Pub
Village Roast Beef & Seafood,10 Bessom St,Seafood
The Barrelman,259 Washington St,American
Thai Market Restaurant,26 Hawkes St,Thai
Romano's Trattoria Pizzeria,8 Bessom St,Italian
Tony's Pizza,1 School St,Pizza
Fen Yang House,40 Atlantic Ave #4,Chinese
Eat Well Kitchen,12 Atlantic Ave,Health Food
Endicott Grille,194 Endicott St,Restaurant
Neck Run Cafe,105 Ocean Ave,Restaurant
Mino's Roast Beef,27 Atlantic Ave,Fast Food
The Muffin Shop,126 Washington St,Breakfast
Imperial Mandarin,"State Route 114, 165 Pleasant St",Chinese
Cafe Vesuvius Marblehead,18 Bessom St,Italian
Howling Wolf Taqueria Express,87 Pleasant St,Mexican
Marblehead Village Market,165 Pleasant St,Breakfast
The Little Store,9 Green St,Italian
Finz,86 Wharf St,Seafood
Sea Level Oyster Bar,94 Wharf St,Seafood
Manhattan Sandwich Company,1 Bessom St,Sandwich
Chi Modern Asian Cuisine,435 Paradise Rd,Asian
Vesuvius Salem,2 Paradise Rd,Italian
Bambolina,288 Derby St,Pizza
Bella Verona,107 Essex St,Italian
Fantasy Island,516 Loring Ave,Chinese
Evan's New York Style Deli,252 Humphrey St,Restaurant
Adriatic Restaurant,155 Washington St # 1,Mediterranean
Olde Main Street Pub,121 Essex St,New American
Omega Roast Beef & Pizza,101 Loring Ave,Pizza
Warwick Place,123 Pleasant St,Restaurant
Dube's Seafood,317 Jefferson Ave,Seafood
Periwinkles Food Shoppe,540 Loring Ave,Restaurant
Bertini's Inc,284 Canal St,Italian
Five Guys,980 Paradise Rd Suite 2,Hamburger
Turner’s Seafood at Lyceum Hall,43 Church St,Seafood
