name,address,type
Royal House-Roast Beef & Pizza,464 Lowell St,Pizza
Yalla!,169 Merrimack St,Mediterranean
Texas Roadhouse,424 Broadway,Steak
The Country Kitchen,18 Hampshire St,Breakfast
Mi Mexico Lindo,5 Pleasant St,Restaurant
The Irish Cottage,17 Branch St,Irish pub
Methuen Family Restaurant,246 Broadway,Family-friendly
Fireside Restaurant,171 Pelham St,American
Merrimack Valley Sandtrap Bar and Grille,210 Howe St,Mediterranean
PJ'S Pizza Place,33 Broadway,Pizza
Borrelli's Italian Deli,322 Merrimack St,Italian
Not Your Average Joe's,90 Pleasant Valley St,American
Plaza Azteca,"PLAZA AZTECA 552, Broadway",Mexican
TGI Fridays,90 Pleasant Valley St,Restaurant
Margaritas Mexican Restaurant,90 Pleasant Valley St,Mexican
Muddy Waters Pub & Restaurant,940 Riverside Dr,Restaurant
Methuen House of Pizza,289 Merrimack St,Pizza
Norm's White Horse Inc,510 Lowell St,Restaurant
Fusion House Restaurant,301 Merrimack St,Chinese Delivery
Mano's Pizza,5 Haverhill St,Pizza
Olive Garden Italian Restaurant,90 Pleasant Valley St,Italian
Romano's Pizzeria,301 Merrimack St # C,Pizza
Pica's Pub and Grill,10 Ayers Village Rd,Grill
Chef Co Restaurant,152 Haverhill St,Chinese
New England Seafoods,225 Merrimack St,Seafood
Sweetheart Inn,80 Myrtle St,American
Casa Blanca,106 Lowell Blvd,Mexican
China Buffet,436 S Broadway #10,Chinese
The Hampstead House Restaurant,251 Hampstead St,American
Tekila's Mexican Restaurant,126 Merrimack St,Mexican
Chick-fil-A,73 Pleasant Valley St,Fast Food
China Star,436 Prospect St,Chinese
Buono Bistro,220 Sutton St,Italian
Al's Family Diner,500 Merrimack St,Diner
Bada Bing,32 Hampshire St,Pizza
Harrows Chicken Pies,436 Broadway,Chicken
Outback Steakhouse,145 Pelham St # 147,Steak
Giovanni's Roast Beef and Pizza,127 Merrimack St,Pizza
Supreme Pizza,85 Swan St,Pizza
Chris' Famous Pizza,124 Lowell St,Pizza
Oakland Ave Pizza & Subs,39 Oakland Ave,Italian
Cooks Window Pizza,246 Broadway,Pizza
WAO GRILL,12 Hampshire St,Restaurant
Burger King,248 Haverhill St,Fast Food
Chipotle Mexican Grill,90 Pleasant Valley St Unit 244,Mexican
Wah Sang Restaurant,42 Hampshire St,Chinese
Wendy's,486 Broadway,Fast Food
Fu Hing,49 Jackson St,Chinese
Wendy's,90 Pleasant Valley St,Fast Food
Piro’s Bakery & Pizzeria,300 Merrimack St,Bakery
Cafe Azteca,180 Common St,Mexican
McDonald's,110 Pleasant Valley St,Fast Food
Fuego Latin Fusion Bar & Restaurant,438 S Broadway,Restaurant
Joseph's Trattoria Bakery cafe,145 Oxford Ave,Italian
Jocelyn's Mediterranean Restaurant,355 S Broadway,Mediterranean
Bada Bing Pizza & Wings,26 Hampshire St,Pizza
The Rosario 1859 House,12 Hampshire St,Latin American
The Chateau Restaurant Andover,131 River Rd,Italian
McDonald's,40 Jackson St,Fast Food
Kim's Pizza & Subs,438 Prospect St,Pizza
Anthony's Roast Beef,1111 Riverside Dr,Pizza
Burger King,95 Pleasant Valley St,Fast Food
Lucky Garden,8 Haverhill St,Chinese
Sunnyside Diner,639 Broadway,Breakfast
Trattoria Amalfi,385 S Broadway,Italian
Route 97 House of Pizza,11 Ayers Village Rd,Pizza
Pizza Hut Express,67 Pleasant Valley St,Pizza
Dominic's Diner,492 Sutton St,Breakfast
Kashmir,396 S Broadway,Indian
G & Z Pizza & Restaurant,55 Berkeley St,Pizza
McDonald's,147 Pelham St,Fast Food
Chuck E. Cheese,90 Pleasant Valley St Rd,Children's amusement center
Pizza Hut,216 Haverhill St,Pizza
Pollo Tipico,190 Lawrence St,Dominican
Amore Pizza Restaurant,314 S Broadway # E,Pizza
"Niki's Famous Roast Beef, Pizza & Subs",208 Sutton St,Pizza
Jimmy's Famous Pizza,1595 Osgood St,Pizza
Lots of Eats Thai Kitchen,1211 Osgood St,Thai
KFC,212 Haverhill St,Chicken
Taco Bell,212 Haverhill St,Fast Food
Tacos Lupita,505 Broadway,Restaurant
J & J House of Pizza,1480 Broadway Rd,Pizza
Napoli Pizza & Subs,79 Common St,Pizza
IHOP,528 S Broadway,Restaurant
Chili's Grill & Bar,131 River Rd,Tex Mex
Yang Ming,341 S Broadway,Chinese
T-BONES Great American Eatery,311 S Broadway,American
Thai Chili,473 S Broadway,Thai
Jackie's Chicken & Beer,651 Broadway,Dominican
Blue House Family Pizza,3 Hampshire St,Pizza
Pollo Cibao,157 Lawrence St,Seafood
El Tipico,147 Lawrence St,Dominican
Big-N-Beefy,415 Broadway,Fast Food
Balducci's Wood Fired Pizza,419 S Broadway,Pizza
Jaime's Restaurant,25 High St,Grill
The Miller's Tavern,105 Pleasant Valley St,Restaurant
China Blossom,946 Osgood St,Buffet
Jade Garden,368 Broadway,Chinese
NH Beach Pizza LLC,5 Kelly Rd,Pizza
TOMO Japanese Steakhouse,368 S Broadway,Japanese
Eli's Place,"1715, 267 Merrimack St",Breakfast
189 Prime,123 Old River Rd,American
Salem Kabob & Pizzeria,401 Main St #108,Pizza
Joe Fish Seafood Restaurant,1120 Osgood St,Grill
Shadi’s Restaurant and Lounge,585 Chickering Rd,Mediterranean
Taqueria Passion Steak Tacos,100 Willow St,Mexican
Casa Blanca Mexican Restaurant,1070 Osgood St,Mexican
Romano's Pizzeria,311 Merrimack St,Pizza
Boston Chowda Company,109 Main St,Seafood
Japu Restaurant,4 Union St,Restaurant
Lucky Dragon,339 S Broadway # 2,Chinese
Terra Luna Cafe,225 Essex St #1,Latin American
99 Restaurants,"786 River Street, MA-110",Restaurant
King Lobster Restaurant,125 Hampshire St,Seafood
Dunkin',282 Merrimack St,Coffee shop
Hokkaido Restaurant,1250 Osgood St,Japanese
Grassfields Food & Spirits,207 N Main St,Steak
Reposteria Miguelina,154 Essex St,Dominican
La Tambora Restaurant,205 Broadway # 5,Dominican
Paisano's Pizzería,265 Merrimack St,Pizza
Jim's Kabob Express,277 Merrimack St,Mediterranean
Mommy's Pho Vietnamese Noodle and Bar,7 Ayers Village Rd,Vietnamese
Carleen's,209 S Broadway,Restaurant
99 Restaurants,"267 Chickering Road, MA-125",Restaurant
Nick's Place,195 Lowell St,Pizza
Duffy's Diner,8 Knipe Rd,Diner
Stachey's Pizza,9 High St,Pizza
Dunkin',5 Ayers Village Rd,Coffee shop
Tokyo Japanese Steakhouse,291 S Broadway,Japanese
Good Day Cafe,19 High St,Restaurant
China Sails,610 Andover St #3,Chinese
Dunkin',188 Haverhill St,Coffee shop
El Taller,275 Essex St,Restaurant
Lobster Tail Seafoods,1081 Osgood St,Seafood
99 Restaurants,149 S Broadway,Restaurant
Dunkin',450 Broadway,Coffee shop
The Loft Restaurant & Pub,1140 Osgood St,Steak
Dunkin',464 Lowell St,Coffee shop
The Grill Next Door,653 Broadway,Grill
Chili's Grill & Bar,297 S Broadway Rt 28,Tex Mex
El Taco Guapo,205 Broadway,Mexican
Dunkin',40 Jackson St,Coffee shop
Golden House Restaurant,129 S Broadway,Chinese
T & N Restaurant,109 S Broadway,Vietnamese
Jim's Original Subs & Pizza,415 S Broadway,Pizza
Tripoli Pizza & Bakery - Lawrence,106 Common St,Bakery
All-Star Pizza & Grill,499 S Broadway,Pizza
Krueger Flatbread,142 Essex St,Pizza
CocoRay's,197 Parker St,Restaurant
Bertucci's Italian Restaurant,275 Rockingham Park Blvd,Italian
Five Guys,291 S Broadway,Fast Food
Yella,16 Post Office Ave,Mediterranean
Oriental Garden,400 Lowell Ave,Chinese
Papa Gino's,782 River St,Pizza
Raagini Indian Bistro,209 N Main St,Indian
Shawsheen Luncheonette,3 Lowell St,American
Stachey's,517 S Broadway,Restaurant
Maddies Bagel & Eatery LLC,240 N Broadway,Breakfast
Romano's Pizzeria,154 Main St,Pizza
Heav'nly Donuts,50 Main St,Restaurant
The Claddagh Pub,399 Canal St,Irish pub
Wang's Table,46 Washington St,Chinese
MaryAnn's Diner,3 Veterans Memorial Pkwy,Diner
Copper Door,41 S Broadway,American
Grazie Italian Restaurant,80 Meadow Creek Dr,Italian
Rae Rocks Bar & Grill,159 Pelham St,Bar
Sal's Pizza,490 Main St,Pizza
99 Restaurants,"464 Lowell Street, MA-133",Restaurant
Keon's,105 Washington St,Restaurant
Thyme,97 Turnpike St,Japanese
LaRosa's,7 Barnard St,Italian
Xavier's Place,245 Lawrence St,Night club
Salvatore's Restaurant,34 Park St,Italian
Boston Market,435 Winthrop Rd,American
Domino's Pizza,14 Jackson St,Pizza Delivery
STUFT Mexican Street Food,150 Washington St,Mexican
Scola's Restaurant,101 Broadway Rd,Italian
Tacos Lupita,194 River St,Tacos
Salvatore's,354 Merrimack St,Business center
Bradford Seafood,124 Winter St,Seafood
Amici's Pizzeria,15 1st St,Pizza Takeout
Casa Blanca,2 Essex St,Mexican
China Wok,129 Main St,Chinese
Tuscan Kitchen,67 Main St,Italian
Revitalive Cafe & Juice Bar,93 Main St #115,Vegetarian
Evergreen Chinese Restaurant,105 S Union St,Chinese
Elm Square Oyster Co.,2 Elm Ct,New American
Friendly's,222 Winthrop Ave,Restaurant
Sauce Wings Ribs and Burgers,19 Essex St,Hamburger
McDonald's,50 Broadway,Fast Food
Bertucci's Italian Restaurant,435 Andover St,Italian
Depot House of Pizza,53 Essex St #3748,Pizza
Margaritas Mexican Restaurant,1 Keewaydin Dr,Mexican
Fuddruckers,"Shopping Center, 550 Turnpike St",Hamburger
Tuscan Market,63 Main St,Italian
G's Texas Southern Flare,35 Washington St,Restaurant
Pikalo Empanadas,241 Broadway,Sandwich
New Chief Wok Restaurant,224 N Broadway,Chinese
Olivia's,142 Essex St,Italian
B.GOOD,99 Turnpike St,Health Food
Origin Thai Bistro,1699 Shawsheen St STE 2,Thai
Spaziano's Pizzeria,64 Washington St,Pizza
Papa Gino's,99 Cluff Crossing Rd,Pizza
Mootone Fine Japanese Cuisine,15 Railroad St #3,Japanese
Capellini's Restaurant,896 Main St,Italian
Friendly's - Delivery & Takeout Only,1160 Main St,Takeout Restaurant
Sahara Club & Restaurant,34 Bates St,Night club
Bertucci's Italian Restaurant,90 Main St,Italian
Papa Gino's,553 Main St,Pizza
Coyle's Roadhouse Tavern,1480 Broadway Rd,Bar
The Skybox Restaurant & Sports Bar,553 Main St # 9,Sports bar
Dolce Freddo Gelato,300 Merrimack St,Ice Cream
Perfecto's Caffè,1115 Osgood St,Cafe
Mediterranean Pizza & Subs,61 Kenoza Ave,Pizza
Messy Mike's Barbecue and Catering,,Caterer
Town Market Andover,429 S Main St,Restaurant
Five Guys,90 Drum Hill Rd,Hamburger
Fu Hing Chinese Restaurant,200 Main St,Chinese
Peking Garden,36 Park St #3616,Chinese
RJ's Sports Bar and Grill,1111 Riverside Dr,Sports bar
Luke's Roast Beef,Lowell,Restaurant
Li's Fine Asian Cuisine & Sushi Bar,Haverhill,Asian
Tokyo Steakhouse,Andover,Japanese
Udupi Bhavan Restaurant,Lowell,Indian
Chipotle Mexican Grill,North Andover,Mexican
Palace Pizza,Dracut,Pizza
Pho 88 restaurant,Lowell,Restaurant
Edible Arrangements,Methuen,Caterer
Mei Hoo,Salem,Chinese
Godly Smoothies,Chelmsford,Juice
Emerald Rose,Billerica,Restaurant
Cows Rock Ice Cream,North Andover,Ice Cream
Seoul Kitchen Restaurant,Westford,Korean
Boogalow's Island BBQ,,Barbecue
IndianStyle,Billerica,Indian
Flying Saucer Pizza Company,Salem,Pizza
Oye's Chinese Restaurant & Bar,Reading,Asian
Village Restaurant,Essex,Seafood
Heav'nly Donuts,Methuen,Donuts
Kennedy Fried Chicken,Lynn,Fast Food
Not Your Average Joe's,Burlington,American
Rosaria,Saugus,Family-friendly
Kings Dining & Entertainment,Lynnfield,American
The Sunset Tiki Bar,Westford,Grill
China Star Restaurant,Lowell,Chinese
Feng's Asian Cuisine,Wakefield,Asian
Lucky House,Peabody,Chinese
Salem House of Pizza,Salem,Pizza
Thwaites Market,Methuen,Bakery
