name,address,type
Monson Italian Pizzeria,136 Main St,Pizza
Beth's Family Dining,107 Main St,Family-friendly
Maria's Pizzeria & Seafood,52 Main St,Pizza
Main Street Tavern,218 Main St,Restaurant
Village Pizza,121 Main St,Pizza
Steaming Tender,28 Depot St,American
New china,123 Main St,Chinese
Mug'n Muffin,25 Palmer Rd,Diner
Angel's 1376 Palmer Restaraunt,1376 Main St,American
Wen Ming House,1427 N Main St,Chinese
China House,1240 Park St,Cantonese
C J's Restaurant,371 Wilbraham St,Seafood
Salerno's Taste of Philadelphia,223 Main St,Sandwich
Girly's Grill,1315 Park St,Diner
Acropolis Pizza,1240 Park St,Pizza
Apollo 1 Pizza,1581 N Main St,Pizza
Tang's Chinese Restaurant,1581 N Main St #1232,Chinese
Friendly's,1519 N Main St,Restaurant
Yummy Asian Cuisine,1033 Thorndike St,Restaurant
Day & Night Diner,1456 N Main St,Diner
Roadside Pizza & Grinders,1037 Thorndike St,Pizza
Dunkin',153 Main St,Coffee shop
Magic Lantern,399 Wilbraham St,Restaurant
Paramount Pizza 3,1620 N Main St,Pizza Delivery
Casa Bella Italian Kitchen & Bar,546 Main St,Italian
Subway,1049 Thorndike St,Sandwich
Rick's Parkside Drive-In Restaurant,1189 Park St,Takeout Restaurant
Apple Barn Cafe,52 Palmer Rd,Family-friendly
