name,address,type
Bidwell House Museum,100 Art School Rd,Historical place museum
Old Museum,,Museum
The Chester Foundation,Chester,History museum
Animagic Museum of Animation,Lee,Museum
Tanglewood,Lee,Museum
Monterey Community Center,Monterey,Museum
The Blandford Historical Society,Blandford,Museum
Mamut Eugene,Lee,Museum
Keystone Arch Bridges,,Museum
Berkshire Scenic Railway Museum - Lenox Station Museum,Lenox,History museum
Colantha mooie tombstone,Lee,Museum
Braley Brook Conservation Area,,Museum
Sergeant Brooks,Lenox,Museum
Huxley Cemetery,,Museum
Keystone Arches Trailhead,Chester,Museum
Becket Land Trust & Historic,Becket,Museum
Norman Rockwell Museum,Stockbridge,Art museum
Chesterwood,Stockbridge,Historical place museum
Ventfort Hall Mansion and Gilded Age Museum,Lenox,Historical place museum
Historic New England Merwin House,Stockbridge,Historical place museum
Norfolk Historical Society,Norfolk Historic District,Museum
Berkshire Museum,Pittsfield,Museum
"The Mount, Edith Wharton's Home",Lenox,Historical place museum
Naumkeag,Stockbridge,Museum
Frelinghuysen Morris House & Studio,Lenox,Museum
Springfield Museums,Springfield,Museum
Berkshire County Historical Society at Arrowhead,Pittsfield,Historical place museum
Hancock Shaker Village,Pittsfield,History museum
Amelia Park Children's Museum,Westfield,Children's museum
Crane Museum of Papermaking and Center for the Paper Arts,Dalton,Museum
Herman Melville's Arrowhead,Pittsfield,Historical place museum
Smith College Museum of Art,Northampton,Art museum
Clark Art Institute,Williamstown,Art museum
MASS MoCA,North Adams,Modern art museum
Otis House Museum,Boston,History museum
The Eric Carle Museum of Picture Book Art,Amherst,Museum
Emily Dickinson Museum,Amherst,History museum
Historic Northampton,Northampton,History museum
Berkshire Art Museum,North Adams,Art museum
Williams College Museum of Art,Williamstown,Art museum
Historic Deerfield,Deerfield,History museum
Mead Art Museum,Amherst,Art museum
Old Sturbridge Village,Sturbridge,History museum
Springfield Science Museum,Springfield,Science museum
Museums10,Amherst,Museum
Pierce House,Lincoln,Historical place museum
Susan B. Anthony Birthplace Museum,Adams,Museum
Worcester Art Museum,Worcester,Art museum
"Museum of Fine Arts, Boston",Boston,Art museum
Fruitlands Museum,Harvard,Art museum
Museum of Science,Boston,Science museum
Museum of Russian Icons,Clinton,Museum
Isabella Stewart Gardner Museum,Boston,Art museum
Public Health Museum in Massachusetts,Tewksbury,History museum
Vintage Radio & Communications Museum of CT,Windsor,Museum
Discovery Museum,Acton,Museum
deCordova Sculpture Park and Museum,Lincoln,Sculpture museum
