name,address,type
Theo's Breakfast & Lunch,681 Pleasant St,Breakfast
Paxton House of Pizza,677 Pleasant St,Pizza
Black & White Grille,206 N Spencer Rd,American
Ladd's Restaurant,64 Barre Paxton Rd,Family-friendly
Hot Dog Annie's,244 Paxton St,Hot Dog
Still Four Corners,224 Barre Paxton Rd,Family-friendly
Atlas Pizza,1282 Pleasant St,Pizza
Harvest Grille,1 Princeton St,American
Val's,75 Reservoir St,Restaurant
Dunkin',607 Pleasant St,Coffee shop
Wong Dynasty And Yankee Grill Inc.,"176 Reservoir St, MA-31",Grill
122 Diner,1392 Main St,Diner
Eller's Restaurant,190 Main St,Family-friendly
Bushel 'N Peck,643 Chandler St,Restaurant
Peking Garden Restaurant,618 Chandler St,Chinese
Castle Restaurant,1230 Main St,Gastropub
Pepe's Taqueria,645 Chandler St,Restaurant
Toula's House of Pizza,87 Main St,Pizza
Sushi Miyazawa,372 Chandler St,Sushi
Livia's Dish,1394 Main St,American
El Nuevo Amanecer Restaurant,534 Pleasant St,Restaurant
Papa George's Pizza,351 June St,Pizza
Five Loaves Bakery,13 Mechanic St,Bakery
Orbit Pizza,985 Main St,Pizza
K P's Restaurant,24 Pommogussett Rd,Breakfast
Jason's Pizza,113 June St,Pizza
Barbers Crossing Road House,861 N Main St,American
Peppercorn's Grille & Tavern,455 Park Ave,Restaurant
Newton Square Pizza,712 A Pleasant St,Pizza
Cheoy Lee's,1205 Main St,Chinese
Pleasant Street Diner,310 Pleasant St,Restaurant
Mexicali Cantina Grill,700 Main St,Mexican
O'Connor's Restaurant & Bar,1160 W Boylston St,Irish
Loving Hut,415 Chandler St,Vegan
Village Pizza,320 Main St,Pizza
Good Guy's Pizza,865 N Main St,Pizza
Rutland House of Pizza,1 Maple Ave,Pizza
The Boynton Restaurant & Spirits,119 Highland St,Gastropub
Taylor Dining Hall & Bishop Wright Hall,500 Salisbury St,Diner
Specialty Sandwich Co,624 Main St,Sandwich
Fatima's Cafe,43 W Boylston St,East African
Ken Chin's Restaurant,272 Mill St,Chinese
Pizza 17,1625 Main St,Pizza
Dacosta’s Pizza Bakery,40 Millbrook St,Pizza
Altea's Eatery,259 Park Ave,Brunch
Ciao Bella,402 Grove St,Italian
Sol of Mexico,538 Pleasant St,Mexican
The Sole Proprietor,118 Highland St,Seafood
Antonio’s Pizza By The Slice Kitchen & Bar - Worcester,268 Chandler St,Pizza
Lou Roc's Diner,1074 W Boylston St,Diner
The Fix Burger Bar,108 Grove St,Hamburger
Haymakers Grille,152 Main St,American
Yang's Kitchen,249 Main St,Chinese
Brattle Stop Market,1 Brattle St #1,Pizza
Coney Island,158 Southbridge St,Hot Dog
Joey's Bar & Grill,344 Chandler St,Restaurant
The Wing Company,1072 Main St,Chicken Wings
Castle Pizza & More,332 Pleasant St,Pizza
City Line Diner,1420 Main St,Breakfast
Baba Sushi,309 Park Ave,Restaurant
Parrot Pizza,160 Reservoir St,Pizza
Sisters Breakfast & Lunch,171 Stafford St,Breakfast
Lucky Gourmet,117 June St,Chinese
Boardroom Kitchen & Bar,484 Whittemore St,Restaurant
Northeast Pizza,1205 Main St #3,Pizza
Lancer Loft,486 Chandler St,Restaurant
Sazon Latino Restaurant,130 Chandler St,Latin American
Sake Bomb Bistro,258 Park Ave,Sushi
Gold Star Restaurant,68 W Boylston Dr,Diner
Dairy Queen Grill & Chill,291 Main St,Fast Food
Smokestack Urban Barbecue,139 Green St,Barbecue
Chuan Shabu,301 Park Ave,Hot Pot
Bocado Tapas Wine Bar,82 Winter St,Spanish
Schultz Farm and Barnside Cafe,163 Maple Ave,Farm
Kyoto,695 Main St,Grill
One Eleven Chop House,111 Shrewsbury St,Steak
Meola's Ice cream,,Restaurant
El Basha,256 Park Ave,Mediterranean
El Patron Mexican Restaurant,192 Harding St,Mexican
El Buen Sabor Restaurant,59 Chandler St,Dominican
McDonald's,595 Mill St,Fast Food
Maria's Kitchen,826 Main St,Dominican
Fantastic Pizza & Cafe,910 Main St,Pizza
Tacos Mexico,7 Neponset St,Mexican
Holden Pizza,597 Main St,Pizza
Holy Poke,2 Oliver St,Restaurant
Shana's Event Catering,,Restaurant
Farmhouse diner,15 S Main St,Restaurant
Applebee's Grill + Bar,632 Park Ave,Restaurant
Piccolo's,157 Shrewsbury St,Italian
Kisoro,482 Park Ave,Japanese
Go Grande Pizza,1168 Main St,Pizza
Oishi Japanese Restaurant,8 Franklin St,Japanese
Raymundo's Salvadorean Restaurant,118 Cambridge St,Salvadoran
Nuovo,92 Shrewsbury St,Italian
Center Tree Bar & Grill,249 Main St,Restaurant
Saigon Restaurant,976 B Main St,Vietnamese
Papa Gino's,797 Main St,Restaurant
Gold Star CupBop,121 Gold Star Blvd #2,Korean
John's Pizza,158 Main St #2260,Pizza
Chef Sau,Spencer,Chinese
Red Pepper,Worcester,Chinese
Boston Market,Worcester,American
Billy's Restaurant & Hot Dogs,Worcester,Restaurant
Cheoy Lee's,Holden,Chinese
Moe's Southwest Grill,Worcester,Mexican
Heavy Evies Diner,Rutland,Diner
Woosta Pizza,Worcester,Pizza
Dragon Dynasty Take Out,Worcester,Chinese
Elder Paintsil's African Restaurant,Worcester,West African
UNO Pizzeria & Grill,Worcester,Pizza
Wicked Wing Co,Worcester,Chicken Wings
Dino's Restaurant,Worcester,Italian
Vietnamese Cuisine,Worcester,Restaurant
Papa John's Pizza,Worcester,Pizza
Nancy Chang,Worcester,Business center
Maxwell silverman restaurant,,American
Best Chinese Restaurant,Worcester,Chinese
Maxwell Luciano's Banquet and Conference Center,Worcester,American
99 Restaurants,Worcester,Restaurant
NU Kitchen Worcester,335 Chandler St,Restaurant
New England Roast Beef Inc,33 Park Ave,Sandwich
Miranda Bread,140 Shrewsbury St,Brazilian
Mai Tai Bar and Sushi Restaurant,69 Green St,Sushi
Fresh Way Pizza,1406 Main St,Pizza
Wings Over Worcester,1 Kelley Square,Chicken Wings
Corner Lunch Diner,133 Lamartine St,Diner
Golden Dragon Island Restaurant,1328 Main St,Chinese
Happy House,872 Main St,Chinese
West Boylston Seafood & Restaurant,321 W Boylston St,Seafood
Papa Gino's,681 W Boylston St,Pizza
Loft 266,266 Park Ave,Grill
Revolution Pie + Pint Worcester,50 Franklin St,Pizza
Chef Ho,208 Millbury St,Chinese
99 Restaurants,900 W Boylston St,Restaurant
Restaurant Pizza Works,456 Grove St,Pizza
Sonoma Restaurant,363 Plantation St,American
Pizza Hut,349 Grafton St,Pizza
Friends Cafe,120 June St,Restaurant
Craft Dinners,1221 Main St,Takeout Restaurant
Steve's Pizza,341 MA-12,Pizza
Subway,1199 Main St,Sandwich
Olive Garden Italian Restaurant,7 Tobias Boland Way,Italian
Blue Shades,256 Park Ave,Cafe
Subway,1115 Main St,Sandwich
Honey Dew Donuts,87 Main St,Donuts
Blue Jeans Pizza,270 Park Ave,Pizza
Charlies Diner,5 Meadow Rd,Diner
Best Chinese Restaurant,627 Lincoln St,Chinese
Taco Bell,418 Park Ave,Fast Food
McDonald's,"638 S, Main St",Fast Food
Dunkin',255 Main St,Coffee shop
The Goats Head,Boynton St,American
Golden Star Chinese Restaurant,65 James St,Chinese
KFC,418 Park Ave,Chicken
