name,address,type
Barnes & Noble,Peabody,Book store
Bookstead of New England,Peabody,Used book store
Newbury Comics,Peabody,Comic book store
Christianbook,Peabody,Book publisher
Nick's Comic Strip,Danvers,Comic book store
Carmelite Gift Shop in the Northshore Mall,Peabody,Religious goods store
Annie's Book Stop,Peabody,Book store
Never too many books,Peabody,Used book store
Used Book Superstore,Middleton,Book store
Livraria GerizimBooks,Danvers,Christian book store
Dollars For Textbooks,Peabody,Used book store
Amazon Books,Lynnfield,Book store
Black Ink Books Inc,Lynn,Book store
Savers,Danvers,Thrift store
The God Queen,Danvers,Book store
NSCC Bookstore,Lynn,Book store
Wicked Good Books,Salem,Book store
Calix Books,,Book store
Coles Comics,Lynn,Comic book store
Mikey ShortsRecovery Supplies,Salem,Book store
Barnes & Noble,Saugus,Book store
Steven Schuyler Bookseller,North Reading,Book store
Pyramid Books,Salem,Book store
Libreria Cristiana Inspiracion,Lynn,Christian book store
"Go! Calendars, Toys & Games",Peabody,Book store
Harrison's Comics,Salem,Book store
Salem State University Bookstore,Salem,Book store
Silver Moon Comics and Collectibles,Salem,Comic book store
Newbury Comics,Saugus,Comic book store
"Go! Calendars, Toys & Games",Peabody,Book store
Peabody Essex Museum Shop,Salem,Book store
Simonaè Dixon Book Store,Lynn,Book store
Ornella Humes-Anderson Book Store,Danvers,Book store
the phoenix store,Lynn,Book store
Christian Science Reading Room,Beverly,Christian book store
Samuel Book Store,Lynn,Book store
Dave Caiazzo,Malden,Book store
Endicott College Bookstore,Beverly,Book store
"Best Book Fairs, LLC",,Childrens book store
Book Shop of Beverly Farms,Beverly,Book store
Andrew Lane Co,Peabody,Religious goods store
Whitelam Books,Reading,Book store
Veteran Profile for Love,,Rare book store
