name,address,type
Cork + Table Kitchen and Bar,23 Court St,Restaurant
Cafe Strega,16 Main St Ext,Italian
Dillon's Local,21 S Park Ave,American
The Tasty,42 Court St,Restaurant
Leena's Kitchen,63 Long Pond Rd,Italian
Tavern on the Wharf,6 Town Wharf,American
The CabbyShack,30 Town Wharf,Seafood
KKatie's Burger Bar Plymouth,38 Main St Ext,Hamburger
Will & Co. Cafe,6 Court St,Restaurant
Rye Tavern,517 Old Sandwich Rd,New American
Tuscany Tavern,294 Court St,Bar
Aroma Tavern & Grill,739 State Rd,New England
Rio Brazilian Steakhouse,318 Court St,Grill
The Blueberry Muffin Restaurant,2240 State Rd,Breakfast
T-Bones Road House,22 Main St,Barbecue
Isaac's,114 Water St,Seafood
The Bistro & Wine Bar,35 Landmark Dr,French
The Blue-Eyed Crab Caribbean Grill & Rum Bar,170 Water St,Caribbean
Martini's Bar & Grill,50 Court St,Grill
Surfside Smokehouse,14 Union St,Barbecue
Carmen's Cafe Nicole,114 Water St,Breakfast
Waterfront Bar and Grill,170 Water St # 170,Grill
Salt Raw Bar + Fine Cuisine,170 Water St,American
Big Al's Breakfast and Lunch,775 State Rd,Breakfast
Lobster Hut,25 Town Wharf,Seafood
Wood's Seafood,15 Town Wharf,Seafood
The New World Tavern,56 Main St,Restaurant
Water Street Cafe,25 Water St,Restaurant
Rock Bottom Seafood,2234 State Rd,Seafood
Mallebar Brasserie,15 Main St Ext,Modern French
Mamma Mia's of Plymouth Waterfront,122 Water St,Italian
Bangkok Thai Cuisine,10 Court St,Thai
Sandy's,"132 Warren Avenue, 1 Ryder Way",Seafood
The Speedwell Tavern,47 Main St,American
Alden Park,160 Colony Pl,American
Jolly Bean Cafe,88 Camelot Dr,Cafe
42º North Restaurant,690 State Rd,Seafood
Local Yolk Company,186 Water St,Breakfast
East Bay Grille,173 Water St,Seafood
Sam Diego's,51 Main St,Mexican
Red Tea Garden,202 S Meadow Rd,Restaurant
Anna's Harborside Grille,145 Water St,Greek
Kogi Bar & Grill,8 Court St,Korean BBQ
Marshland Restaurants & Bakeries,986 State Rd #3A,Restaurant
Plane Jane's Place,246 S Meadow Rd,Family-friendly
Black Raspberry Pub,36 Cordage Park Cir # 111,Restaurant
Lucioso's Pub,6 Spring Ln,Restaurant
Dinatale Seafood,315 Court St,Seafood
Thirty-Nine Court,39 Court St,Restaurant
Stracco's Subs And More,85 Sandwich St,Sandwich
Texas Roadhouse,20 Shops at 5 Way,Steak
New Tokyo Japanese Restaurant,6 Home Depot Dr,Sushi
Flynn's Irish Pub,2240 State Rd suite 6-7,Restaurant
Quahog Republic’s Captain's Den,35 Main St,Seafood
Plymouth House Pizzeria and Pub,"2606, 50 Long Pond Rd",Pizza
The Shanty Rose,16 Town Wharf,Restaurant
Toscana Restaurant,87 Sandwich St,Italian
Olive Garden Italian Restaurant,102 Colony Pl,Italian
