name,address,type
Dave Eng Flowers,136 Derby St,Florist
Flowers by Darlene/North Shore Fruit Baskets,26 Hersey St,Florist
Peter Barter Flowers of Salem,Derby Street,Florist
Beautiful Things,127 Essex St,Florist
Stop & Shop Florist,,Florist
Ward's Florist & Greenhouse,53 Cabot St,Florist
Evans Flowers,,Florist
The FlowerSmith,110 Derby St,Florist
Maria's Flowers & Gifts,63 Main St,Florist
Flower House,200 Pleasant St,Florist
Flowers & More,145 Summit St,Florist
Evans Flowers & Greenhouse,49 Warren St,Florist
Flowers By Darlene,130 Canal St,Florist
Stop & Shop Florist,,Florist
Roses & Thistle,51 Atlantic Ave #9,Florist
Currans Flowers,15 Park St,Florist
Legends Floral Preservation,191 Pleasant St #4,Florist
Salvy the Florist,793 Western Ave,Florist
J & M Gift Baskets and Flowers,354 Rantoul St,Florist
Salvy the Florist,470 Humphrey St,Florist
Dragon Within Martial Arts,11 Franklin St,Martial arts school
Rouvalis Flowers,40 W Cedar St,Florist
Steve's Florist & Greenhouse,181 Broadway,Florist
Carroll's Florist,385 Cabot St,Florist
Flores Mantilla,164 Washington St,Florist
Stop & Shop Florist,,Florist
Lumiere Lauren,123 Pleasant St,Florist
Novello's Florist,56 Maple St,Florist
Art Bouquet,29 Pleasant St,Florist
Leonhard's Florist & Greenhouses,87 Corning St,Florist
"Chapman's Florist, Greenhouse and Garden Center",58 Hart St,Florist
Anything Balloons & Flowers,140 Elliott St,Florist
Petals Inc,3 1st Ave,Florist
George's Flower Shop,471 Lynnfield St,Florist
Welch Florist,793 Western Ave,Florist
Flowers By Lorraine,541 Boston St,Florist
"O Luxe Design, Inc",271 Western Ave,Florist
Stop & Shop Florist,,Florist
Bloomings Florist,1 Hathaway Ave,Florist
Tony the Florist,795A Western Ave,Florist
Florinda's flower design,,Florist
A Christmas Touch,,Interior designer
Stop & Shop Florist,,Florist
Bella's Floral Design,,Florist
Stop & Shop Florist,,Florist
Charming Blooms,,Florist
Marblehead Garden Center Inc.,Marblehead,Florist
A Special Occasion,Danvers,Florist
Konstantina's Floral Design Studio,Middleton,Florist
The Singing Flower,South Hamilton,Florist
Willow Tree Garden & Flower Center,Wakefield,Florist
Lollipops & Roses Florist,Medford,Florist
Little Brook Florist Farm & Garden Center,Saugus,Florist
The Sweetbay Shop,North Reading,Florist
Boston Floral Boutique,,Florist
Garden Designs by Kristen,,Florist
Good Day Flowers & Gifts,,Florist
By Invitation Only,Salem,Party planner
Wreaths by LauraRachelAccents,,Flower designer
"33 MUNROE, LLC.",,Wedding planner
Petrie's Flower & Plant Shoppe,Saugus,Florist
Garland Designs,,Florist
Stop & Shop Florist,,Florist
Martin's Flowers & Gifts,,Florist
Mendez Flowerloons,,Florist
Kokee Flowers Salem,Salem,Florist
Martin's Flowers & Gifts,Methuen,Florist
Trader Joe's,Peabody,Florist
Edible Arrangements,Beverly,Florist
O'Brien's Florist & Greenhouse,Malden,Florist
HCM Designs - Custom Floral Design,,Florist
Lindquist Flowers,Wakefield,Florist
Beech Tree Floral Designs,Middleton,Florist
Platinum Posies,Middleton,Florist
Jeri Solomon Floral Design,Stoneham,Florist
Rumphius Flowers,,Florist
