name,address,type
Boardman House,Saugus,Historical place museum
NPS Saugus Ironworks Rear Entrance,Saugus,Museum
DOI NPS Saugus,Saugus,Archaeological museum
DOI NPS HACE Field Office SAU,Saugus,Museum
Breakheart Reservation Visitor Center,Saugus,Museum
Lynn Museum,Lynn,Heritage museum
"Grand Army of the Republic Hall and Museum of Lynn, MA",Lynn,Army museum
Honor Role Monument,Melrose,Museum
Revere Historical Society,Revere,History museum
Wakefield History Museum,Wakefield,Museum
DDMC,Wakefield,Museum
Security Museum,Lynn,Museum
Khoury Okeefe Funeral Home,Revere,Museum
Museum of Science,Boston,Science museum
Oak grove wakefield ma,Wakefield,Museum
Design Museum Boston,,Non-profit organization
USS Constitution Museum,Charlestown,History museum
Mill Livin',Revere,Museum
Boston Children's Museum,Boston,Children's museum
Boston Tea Party Ships & Museum,Boston,Museum
Abandoned Fire Control Tower,Nahant,Museum
The Sports Museum,Boston,Museum
The Paul Revere House,Boston,History museum
Old State House,Boston,History museum
Dreamland Wax Museum,Boston,Museum
The Mµseum,Somerville,Art museum
USS Cassin Young,Boston,Maritime museum
USS Constitution,Boston,Historical place museum
Bunker Hill Museum,Charlestown,History museum
The Institute of Contemporary Art,Boston,Art museum
The West End Museum,Boston,Museum
Malden Senir center Librey,Malden,Museum
Bostonian Society Museum Shop,Boston,Museum
Otis House Museum,Boston,History museum
"Paul S. Russell, MD Museum of Medical History and Innovation at Massachusetts General Hospital",Boston,Museum
