name,address,type
Seekonk Fire Museum,211 Newman Ave,Museum
Cape Verdean Museum Exhibit,1003 Waterman Ave,Museum
The Hunt House Museum,Hunts Mill Rd,History museum
East Providence Historical Society,65 Hunts Mill Rd,Museum
Massachusetts Welcome Sign,1230 Newport Ave,Museum
Carpenter Museum,4 Locust Ave,Museum
Old Slater Mill National Historic Landmark,67 Roosevelt Ave,Historical place museum
R R C Honeycomb Acquisition,50 Taylor Dr,Museum
RISD Museum,20 N Main St,Museum
Rhode Island Welcome Sign,1600 US-1A,Museum
Providence Children's Museum,"5th lane, 100 South St",Children's museum
Rehoboth Historical Cemetery 33,39 Peckham St,Museum
Museum of Natural History and Planetarium,1000 Elmwood Ave,Natural history museum
Mitches Neighborhood,Brown St,Museum
The John Brown House Museum,52 Power St,Historical place museum
Rhode Island Museum of Science and Art (RIMOSA),763 Westminster St,Museum
Martin House and Farm,22 Stoney Hill Rd,Museum
Firemen's Museum,38 Baker St,Museum
Haffenreffer Museum of Anthropology,21 Prospect St,Science museum
The Barrington Preservation Society,281 County Rd,Museum
Charles W Greene Museum,530 Main St,Museum
ProNyne Motorsports Museum,8 Cleveland St,Car repair and maintenance
Lippitt House Museum,199 Hope St,Historical place museum
The Stephen Hopkins House,15 Hopkins St,Museum
Lasalette Shrine,947 Park St,Museum
Warren Fire Museum,38 Baker St,Museum
The Maxwell House,59 Church St,Museum
Providence Jewelry Museum,1 Spectacle St,Museum
HP Lovecraft Square,454 Angell St,Museum
Sandra Bornstein Holocaust Education Center,401 Elmgrove Ave,Museum
Hearthside House Museum,677 Great Rd,Museum
Old State House,150 Benefit St,Museum
Route One Parks and recreation,Jones St,Museum
Rhode Island Jewish Museum,24 Douglas Ave,Museum
The Painted Turtle Creative Arts Studio,198 Willett Ave,Museum
Annmary Brown Memorial,21 Brown St,Museum
Amazing Birds And Views Of Warren R.I.,Unnamed Road,Museum
The Nature Lab at Rhode Island School of Design,13 Waterman St,Museum
Eleazer Arnold House,487 Great Rd,Museum
Luther Store,160 Old Warren Rd,Museum
Captain Wilbur Kelly House Transportation Museum,1075 Lower River Rd,Museum
Betsey Williams Cottage,1000 Elmwood Ave,Museum
Bristol Train of Artillery Museum,135 State St,Museum
Coggeshall Farm Museum,1 Colt Dr,Museum
Bristol Art Museum,10 Wardwell St,Museum
Engineered Technologies,1515 Elmwood Ave,Technology museum
Audubon Society of Rhode Island Nature Center and Aquarium,1401 Hope St,Natural history museum
Herreshoff Marine Museum,1 Burnside St,Maritime museum
Potter-Collyer House,67 Cedar St,Museum
Providence Northern Model Railroad Club,1175 W Shore Rd,Museum
Conimicut Lighthouse,Conimicut Lighthouse,Museum
Warwick Historical Society,25 Roger Williams Ave,Museum
Mashapaug Pond Boadhouse,373 Reservoir Ave,Museum
Attleboro Area Industrial Museum,42 Union St # 2,Museum
Bristol Historical,48 Court St,Museum
Let's Pretend,100 Brown St,Children's museum
"Blithewold Mansion, Gardens & Arboretum",101 Ferry Rd,Historical place museum
Attleboro Arts Museum,86 Park St,Museum
Retro-Computing Society of RI,118 Manton Ave #9,Technology museum
Linden Place,500 Hope St,Museum
Lincoln Woods Beach,Eddie Dowling Hwy,Museum
Family Guy,31 Spooner St,Museum
Dirt Palace,1952 Westminster St,Museum
America's Hall of Fame,1 Burnside St,Museum
Iglesia Jehova Nissi,49 Pocasset Ave,Museum
USS Massachusetts BB-59,5 Water St,War museum
Children's Museum of Greater Fall River,441 N Main St,Children's museum
Old Colony History Museum,66 Church Green,Local history museum
Founders Park,Old Boyd S Ln,Museum
RISD Store alumni gift collection,30 N Main St,Gift shop
Maritime Museum At Battleship Cove - Open Seasonally,70 Water St,Museum
Lafayette-Durfee House,94 Cherry St,History museum
Fall River Carousel at Battleship Cove,5 Water St,Museum
The Reliquarium LLC,85 Industrial Cir,Arts organization
Stages Of Freedom,10 Westminster St,Museum
Ladd Observatory,210 Doyle Ave,Observatory
Italian Consular & Cultural,49 Weybosset St,Museum
National Black Doll Museum of History & Culture,288 N Main St,Museum
Children's Museum In Easton,9 Sullivan Ave,Children's museum
Fuller Craft Museum,455 Oak St,Art museum
USS Joseph P. Kennedy Jr. DD-850,Fall River,Museum
Berkley Historical Society,Berkley,Museum
New Bedford Whaling Museum,New Bedford,Museum
"Museum of Fine Arts, Boston",Boston,Art museum
Museum of Science,Boston,Science museum
maplecroft,Fall River,Museum
The Patriots Hall of Fame,Foxborough,Museum
Isabella Stewart Gardner Museum,Boston,Art museum
Stone Chapel,,Church
Museum of Work & Culture,Woonsocket,Museum
Robbins Museum of Archaeology,Middleborough,Museum
The Harvard Museum of Natural History,Cambridge,Natural history museum
New Bedford Art Museum,New Bedford,Art museum
Boston Children's Museum,Boston,Children's museum
EcoTarium,Worcester,Museum
Old Sturbridge Village,Sturbridge,History museum
Boston Tea Party Ships & Museum,Boston,Museum
USS Constitution Museum,Charlestown,History museum
Fairbanks House,Dedham,Museum
Peabody Museum of Archaeology and Ethnology,Cambridge,Museum
Freetown Historical Society,Assonet,Non-profit organization
Plimoth Plantation,Plymouth,History museum
Harvard Art Museums,Cambridge,Art museum
Fall River Historical Society,Fall River,Museum
Larz Anderson Auto Museum,Brookline,Museum
Smith-Appleby House,Smithfield,Local history museum
Worcester Art Museum,Worcester,Art museum
Peabody Essex Museum,Salem,Art museum
John F. Kennedy Presidential Library and Museum,Boston,Museum
The Institute of Contemporary Art,Boston,Art museum
Dreamland Wax Museum,Boston,Museum
Old State House,Boston,History museum
Rhode Island State Archives,Providence,Museum
Heritage Museums & Gardens,Sandwich,Heritage museum
The Plimoth Grist Mill,Plymouth,History museum
The Paul Revere House,Boston,History museum
Concord Museum,Concord,Local history museum
South County Museum,Narragansett,Museum
Springfield Museums,Springfield,Museum
Pilgrim Hall Museum,Plymouth,Museum
Pilgrim Hall Museum,Plymouth,Museum
Salem Witch Museum,Salem,Museum
Old South Meeting House,Boston,Museum
General Nathanael Greene Homestead,Coventry,Historical place museum
Sandwich Glass Museum,Sandwich,Museum
Cape Cod Children's Museum,Mashpee,Children's museum
Plymouth Antiquarian Society,Plymouth,Local history museum
Harlow Old Fort House,Plymouth,History museum
Spooner House,,Museum
The Salem Museum,Salem,History museum
John F. Kennedy Hyannis Museum,Hyannis,Museum
Whydah Pirate Museum,West Yarmouth,Science museum
Mystic Seaport Museum,Mystic,Museum
Provincetown Museum,Provincetown,Historical place museum
Beneski Museum of Natural History,Amherst,Museum
Naismith Memorial Basketball Hall of Fame,Springfield,Museum
Springfield Science Museum,Springfield,Science museum
Museum of Springfield History,Springfield,Local history museum
Belcourt of Newport,Newport,Museum
Smith Art Museum,Springfield,Art museum
Norman Rockwell Museum,Stockbridge,Art museum
South Shore Natural Science,Norwell,Non-profit organization
"The Mount, Edith Wharton's Home",Lenox,Historical place museum
Naumkeag,Stockbridge,Museum
Tower Hill Botanic Garden,Boylston,Museum
Pilgrim Monument,Provincetown,Museum
Currier Museum of Art,Manchester,Art museum
Brooklyn Museum,Brooklyn,Art museum
Vestal Street Observatory,Nantucket,Museum
Amherst College,,Museum
Educational Products of Virginia,Winchester,Museum
Hunts Mills Museum,Rumford,Tourist attraction
The Charleston Museum,Charleston,Museum
Morris Museum of Art,Augusta,Art museum
"The Museum of Fine Arts, Houston",Houston,Art museum
National Civil War Naval Museum,Columbus,Museum
Ogden Museum of Southern Art,New Orleans,Art museum
Newcomb Art Museum,New Orleans,Art museum
New England Antique Tractor and truck Museum,,Mover
Seekonk Grand Prix,Seekonk,Tourist attraction
Haffenreffer Museum: Collection Research Center,Bristol,Association or organization
HeARTspot Art Center and Gallery,East Providence,School
Fantasyland & Mini Golf,Seekonk,Tourist attraction
John Brown House Museum Private Parking Lot,Providence,Parking lot
Cafe Pearl at RISD Museum,Providence,Cafe
Museum Collection,Providence,Fashion accessories store
Caratunk Wildlife Refuge - Audubon Society of RI,Seekonk,Tourist attraction
Museum Quality Restoration,Warwick,Dry cleaner
Seekonk,,
Energy Innovation Hub,Providence,Tourist attraction
Historic Jacob Hill Inn,Seekonk,4-star hotel
Seekonk Speedway,Seekonk,Car racing track
Providence Art Club,Providence,Tourist attraction
Fear Town Haunted House,Seekonk,Haunted house
Roger Williams National Memorial,Providence,Tourist attraction
Onna W. Moniz-John Park,East Providence,Park
Ramada by Wyndham Seekonk Providence Area,,3-star hotel
