name,address,type
Ware Congregational Meeting House,Ware,Museum
Rock House Reservation & Museum (Second entrance point),West Brookfield,Museum
Quaboag Historical Society Museum,West Brookfield,Museum
Belchertown Historical Association,Belchertown,Museum
New Braintree Historical Soc,New Braintree,Museum
Harwick Historical Society,,Museum
Old Sturbridge Village,Sturbridge,History museum
Pelham Historical Society Museum,Pelham,Museum
Emily Dickinson Museum,Amherst,History museum
Mead Art Museum,Amherst,Art museum
Beneski Museum of Natural History,Amherst,Museum
Rural Cemetary,Belchertown,Museum
Old Sturbridge Village Museum Collections,Fiskdale,Museum
Titanic Historical Society,Indian Orchard,History museum
Old Meeting House,Wilbraham,Museum
Silver Street Chapel,Monson,Museum
Oakham Historical Museum Inc.,Oakham,Museum
Optical Heritage Museum,Southbridge,Museum
Museums10,Amherst,Museum
The Homestead,Amherst,Museum
The Evergreens,Amherst,Museum
Pelham Overlook,Pelham,Museum
mass central rail trail,Barre,Museum
Fisher Museum Harvard Forest,Petersham,Museum
LeVangie Land,Petersham,Museum
Ludlow Riverwalk,,Museum
Porter Phelps Huntington Foundation,Hadley,Museum
Nornay Park,,Museum
New Salem Academy,New Salem,Museum
Leverett Schoolhouse,Leverett,Museum
Steaming Tender,Palmer,American
Nature House,Amherst,Museum
Keystone bridge,,Historical place museum
Keep Homestead Museum,Monson,Museum
Old Millers Dam,Millers Falls,Museum
The Eric Carle Museum of Picture Book Art,Amherst,Museum
Springfield Museums,Springfield,Museum
Skinner Museum,South Hadley,Museum
Hatfield Historical Museum,Hatfield,History museum
Hadley Farm Museum,Hadley,Museum
Mount Holyoke College Art Museum,South Hadley,Art museum
Amherst Historical Society And Museum,Amherst,Museum
Children's Museum at Holyoke,Holyoke,Children's museum
Michele and Donald D’Amour Museum of Fine Arts,Springfield,Art museum
Amherst College,,Museum
Hatfield Farm Museum,Hatfield,History museum
Smith College Museum of Art,Northampton,Art museum
Worcester Art Museum,Worcester,Art museum
Capen Hill Nature Sanctuary,Charlton,Museum
Naismith Memorial Basketball Hall of Fame,Springfield,Museum
The Amazing World of Dr. Seuss Museum,Springfield,Museum
Springfield Science Museum,Springfield,Science museum
Gardner Museum,Gardner,Museum
Storrowton Village Museum,West Springfield,Museum
EcoTarium,Worcester,Museum
Museum of Springfield History,Springfield,Local history museum
Historic Northampton,Northampton,History museum
Flynt Center of Early New England Life,Deerfield,Museum
Historic Deerfield,Deerfield,History museum
Worcester Historical Museum,Worcester,Historical place museum
Willard House & Clock Museum,North Grafton,Museum
Springfield Armory National Historic Site,Springfield,Museum
Museum of Russian Icons,Clinton,Museum
Fruitlands Museum,Harvard,Art museum
Amelia Park Children's Museum,Westfield,Children's museum
"Museum of Fine Arts, Boston",Boston,Art museum
General Artemas Ward Museum,Shrewsbury,Museum
Fitchburg Art Museum,Fitchburg,Art museum
Isabella Stewart Gardner Museum,Boston,Art museum
American Heritage Museum,Hudson,Museum
The Harvard Museum of Natural History,Cambridge,Natural history museum
MASS MoCA,North Adams,Modern art museum
Berkshire Museum,Pittsfield,Museum
Windham Textile & History Museum (the Mill Museum),Willimantic,Museum
Collings Foundation,Hudson,Museum
Norman Rockwell Museum,Stockbridge,Art museum
Crane Museum of Papermaking and Center for the Paper Arts,Dalton,Museum
Harvard Art Museums,Cambridge,Art museum
Chesterwood,Stockbridge,Historical place museum
Discovery Museum,Acton,Museum
deCordova Sculpture Park and Museum,Lincoln,Sculpture museum
Peabody Essex Museum,Salem,Art museum
Peabody Museum of Archaeology and Ethnology,Cambridge,Museum
USS Constitution Museum,Charlestown,History museum
The New England Quilt Museum,Lowell,Art museum
Public Health Museum in Massachusetts,Tewksbury,History museum
Concord Museum,Concord,Local history museum
Clark Art Institute,Williamstown,Art museum
Davis Museum,Wellesley,Art museum
The Rose Art Museum,Waltham,Art museum
Whistler House Museum Of Art,Lowell,Art museum
MIT Museum,Cambridge,Science museum
