name,address,type
Comic Stop,134 Main St,Comic book store
Sunshine Books Inc,49 River St #3,Book store
Michael Fagan Fine Art & Rare Books,81 Waban Park,Rare book store
Bryn Mawr Book Store,373 Huron Ave,Used book store
More Than Words Books,56 Felton St,Book store
Belmont Books,79 Leonard St,Book store
Bentley University Bookstore,175 Forest St,Book store
Harvard Book Store,1256 Massachusetts Ave,Book store
Teen Leep Books,24 Crescent St,Book store
Boston College Law School Bookstore,885 Centre St,Book store
Porter Square Books,25 White St,Book store
Brookline Booksmith,279 Harvard St,Book store
Boston College Bookstore,140 Commonwealth Avenue,Book store
The Million Year Picnic,99 Mt Auburn St,Comic book store
Grolier Poetry Book Shop,6 Plympton St,Book store
Robin Bledsoe: Horse & Art Books,1640 Massachusetts Ave,Book store
New England Comics,14 Eliot St A,Comic book store
Raven Used Books,23 Church St,Used book store
Lesley University Bookstore,1815 Massachusetts Ave q4,Book store
The Outer Limits,437 Moody St,Comic book store
Newbury Comics,36 John F. Kennedy St,Comic book store
Schubertiade Music & Arts,321 Walnut St #543,Rare book store
Rodney's Bookstore,698 Massachusetts Ave,Used book store
Harvard Coop,"Spangler Center, 117 Western Ave",Book store
Harvard Coop,1400 Massachusetts Ave,Book store
IndigoReels,,Book store
Children's Book Shop,237 Washington St,Book store
Tree of Life Bookstore,62 Harvard Ave,Book store
Stuart Bennett Rare Books,,Rare book store
Massachusetts Center for the Book,"300 The Fenway, Simmons Gslis",Book store
The Boston Book Festival,32R Essex St #5,Book store
Libreria La Zina,100 School St,Book store
Katherine Small Gallery,108 Beacon St,Book store
Books & Arts,1428 Beacon St,Book store
Harvard Coop,1595 Massachusetts Ave,Book store
Lisa Simone Pinnock Book Store,"222 North Ave, 421 Cambridge St",Book store
The Lower Extremity Anatomy Flashcards,,Medical book store
Seven Stars,731 Massachusetts Ave,Book store
Emmanuel College Bookstore,400 Fenway,Book store
New England Comics,316 Harvard St,Comic book store
MIT Press Bookstore,Cambridge,Book store
Comicazi,Somerville,Comic book store
Civil War Boston,,Book store
Livraria Videira,Somerville,Christian book store
Holy Cross Bookstore,Brookline,Book store
Mass Art Supply & Book Store,Boston,Book store
Barnes & Noble,Boston,Book store
Playful Parenting,Brookline,Book store
Karin's Barefoot Books,,Childrens book store
Marshall Art Studio,Somerville,Book store
Papercuts J.P.,Jamaica Plain,Book store
Christian Science Church Reading Room & Bookstore,Boston,Christian book store
Boston Book Company,Jamaica Plain,Rare book store
Horn Book Guide,Boston,Book store
Lucy Parsons Center,Jamaica Plain,Book store
Giller David,Cambridge,Book store
Angella Field Book Store,Waban,Book store
The Book House,Somerville,Book store
Newtonville Books,Newton,Book store
National Association for Armenian Studies and Research (NAASR),Belmont,Research institute
Brattle Book Shop,Boston,Book store
Israel Book Shop,Brookline,Religious goods store
Harvard Book Store Warehouse,Somerville,Store
Sister Thrift,Watertown,Thrift store
Target,Watertown,Department store
Barnes & Noble,Boston,Book store
Bentley Publishers,Cambridge,Publisher
The Antique Shop,Newton,Antique store
Eureka! Puzzles,Brookline,Book store
Pandemonium Books & Games,Cambridge,Game store
Boomerangs Jamaica Plain,Jamaica Plain,Thrift store
Barnes & Noble,Burlington,Book store
Avon Hill Books,Cambridge,Store
Performer Publications Inc,Somerville,Publisher
Best Buy,Watertown,Music store
Town Fair Tire,Watertown,Tire shop
Stop & Shop,Watertown,Grocery store
Staples Connect,Brighton,Office supply store
Russo's,Watertown,Produce market
"Watertown Ford, Inc.",Watertown,Ford dealer
The UPS Store,15 Main St,Shipping and mailing service
Swartz Ace Hardware,353 Watertown St,Hardware store
Panera Bread,321 Arsenal St,Sandwich
Stop & Shop,700 Pleasant St,Grocery store
Sullivan Tire & Auto Service,21 N Beacon St,Tire shop
Boston Volkswagen,43 N Beacon St,Volkswagen dealer
Vows Bridal,130 Galen St,Bridal shop
Toyota of Watertown,149 Arsenal St,Toyota dealer
The Home Depot,615 Arsenal St,Home improvement store
Watertown Mattress,660 Arsenal St,Mattress store
Ocean State Job Lot,90 River St,Discount store
Cigar and Lounge,56 Dexter Ave,Cigar shop
Firestone Complete Auto Care,40 Arsenal St,Tire shop
Extra Innings Watertown,100 Parker St,Baseball club
Tres Gatos,470 Centre St,Book store
Orramac Computer Services,117A Galen St,Computer repair service
Toyota of Watertown Service and Repair,118 N Beacon St,Toyota dealer
UPS Customer Center,76 Arlington St,Shipping and mailing service
The Tile Shop,36 Arlington St,Tile store
Direct Tire & Auto Service,126 Galen St,Auto repair shop
F.W. Webb Company,33 Grove St,Plumbing supply store
Barnes & Noble,150 Granite St,Book store
Geek Squad,550 Arsenal St Ste 2,Mobile phone repair shop
Pro Desk at The Home Depot,615 Arsenal St,Building materials store
Target Optical,550 Arsenal St,Eye care center
