name,address,type
Chiara,569 High St,Mediterranean
Anthony's Coal Fired Pizza,119 University Ave,Pizza
Bubbling Brook Restaurant,1652 High St,Restaurant
The Toast Office,679 High St,Diner
Comella's,745 High St,Italian
Smashburger,203 University Ave,Hamburger
Tastefully Done Restaurant and Catering,One University Ave,American
Del Frisco's Grille,60 University Ave,Steak
Bamboo,55 Ariadne Rd,Asian
Westwood Jade Restaurant,220 Providence Hwy,Chinese
Not Your Average Joe's,70 University Ave,American
Il Massimo - Legacy Place,400 Legacy Pl,Italian
Wild Blossom,301 Washington St,Chinese
Islington Pizza,315 Washington St,Pizza
Aquitaine Dedham,500 Legacy Pl,French
50's Diner,47 Legacy Blvd,Diner
CAVA,724 Legacy Pl,Mediterranean
Genki,202 Legacy Pl,Sushi
Which Wich Superior Sandwiches,135 University Ave,Sandwich
Yard House,200 Legacy Pl,New American
District 118 Kitchen & Bar,118 Needham St,Grill
BiBi Cafe & Bakery,1 Church St,Cafe
Panda Express,125 University Ave,Chinese
Lambert's Rainbow Market,220 Providence Hwy,Grocery store
Kings Dining & Entertainment,600 Legacy Pl,American
Legal C Bar,736 Legacy Pl,Seafood
Wegmans Pizza,169 University Ave,Pizza
Chipotle Mexican Grill,217 University Ave,Mexican
P.F. Chang's,410 Legacy Pl,Chinese
Joe's American Bar & Grill,985 Providence Hwy,American
Pizza Hut Express,221 University Ave,Pizza
Kouzina Estiatorio,557 High St,Greek
Shake Shack,226 Legacy Pl,Hamburger
Harrows Chicken Pies,810 Providence Hwy,Chicken
Thai Thani Restaurant,481 Washington St,Thai
Cafe Paprika,734 Washington St,Moroccan
Panera Bread,201 University Ave Tenant S401,Sandwich
McDonald's,31 Providence Hwy,Fast Food
Blue Orchid Chinese Cuisine,927 High St,Chinese
Vico Ristorante Italiano,89 Central St,Italian
Westwood Pizza,929 High St,Pizza
BiBi Cafe & Bakery,1 Church St,Cafe
Panda Express,125 University Ave,Chinese
Lambert's Rainbow Market,220 Providence Hwy,Grocery store
Kings Dining & Entertainment,600 Legacy Pl,American
Legal C Bar,736 Legacy Pl,Seafood
Wegmans Pizza,169 University Ave,Pizza
Chipotle Mexican Grill,217 University Ave,Mexican
P.F. Chang's,410 Legacy Pl,Chinese
Joe's American Bar & Grill,985 Providence Hwy,American
Pizza Hut Express,221 University Ave,Pizza
Kouzina Estiatorio,557 High St,Greek
Shake Shack,226 Legacy Pl,Hamburger
Harrows Chicken Pies,810 Providence Hwy,Chicken
Thai Thani Restaurant,481 Washington St,Thai
Cafe Paprika,734 Washington St,Moroccan
Panera Bread,201 University Ave Tenant S401,Sandwich
McDonald's,31 Providence Hwy,Fast Food
Blue Orchid Chinese Cuisine,927 High St,Chinese
Vico Ristorante Italiano,89 Central St,Italian
Westwood Pizza,929 High St,Pizza
The Farmhouse,970 Great Plain Ave,American
The Take Away,82 Chapel St,Seafood
Fisherman's Restaurant,870 East St,Seafood
Acapulcos Mexican Family Restaurant & Cantina,500 Boston-Providence Turnpike,Mexican
Victoria's Cafe,655 Washington St,Pizza
Kikka Sushi,300 Legacy Pl,Sushi takeaway
Dragon Chef,332 Chestnut St,Chinese
Conrad's Restaurant,728 Washington St,American
Kostas Pizza & Seafood,315 Chestnut St,Italian
Jake n JOES Sports Grille - Norwood,475 Providence Hwy,Grill
1A Pizza,494 Walpole St,Pizza
Shabu Lee,654 Washington St,Chinese
Buffalo's Pizza & Subs,884 Washington St,Pizza
Eggs and Thai Cafe,2 Kings Ct,Thai
Tahiti Restaurant and Cocktail Lounge,22 Mah Way #6808,Polynesian restaurant
The Village Manor,427 Sprague St,American
High Street Pizza,505 High St,Pizza
Murph's Place,58 Broadway,Brunch
Express Pizza,119 Central St,Pizza
Minas Cafe Steakhouse,1241 Washington St,Brazilian
Thai Boo Cuisine,712 Washington St,Thai
Colonial House Restaurant,33 Savin Ave,Traditional American
Crushed peppers,20 Broadway #2,Pizza
Dedham Diner,247 Bussey St,Brunch
Mug N Muffin Restaurant,716 Washington St #3548,Breakfast
Minerva Indian Cuisine,500 Boston Providence Hwy,Indian
Horse Thieves Tavern,585 High St,Restaurant
Hot Dog Truck,642-762 University Ave,Hot Dog
Cathay Kitchen,563 High St,Chinese
Olde Colonial Cafe,171 Nahatan St,American
One Bistro,1125 Boston-Providence Turnpike,American
Midway,269 Washington St,Restaurant
Blue Ribbon BBQ,342 Washington St,Barbecue
Cafe Venice,1086 Washington St,Italian
Sofia Italian Steakhouse,1430 VFW Pkwy,Steak
Dunkin',"Amtrak Concourse, 50 University Ave 1st Floor",Coffee shop
Wegmans Sub Shop,169 University Ave,Sandwich
Pizzeria Bruno’s,56 Broadway,Pizza
Patriot Tavern,100 Main St,Family-friendly
Royal Pizza of Norwood,1001 Boston-Providence Turnpike #1,Pizza
McDonald's,340 Chestnut St,Fast Food
Pizza Palace,711 Washington St,Pizza
Oasis Caribbean Cuisine,487 Washington St,Restaurant
Mak's Roast Beef & Pizza,20 Central St,Pizza
Brookside Cafe,1260 Washington St,Restaurant
Gari Japanese Fusion Bistro,1019 Great Plain Ave,Japanese
Gyro & Kebab House,1275 Boston Providence Hwy,Turkish
Fresco,35 Chapel St,Restaurant
Siam Lotus Restaurant,1331 Providence Hwy,Thai
Dunkin',208 Providence Hwy,Coffee shop
Panera Bread,687 Providence Hwy,Sandwich
Yamato Hibachi & Sushi Bar,1200 Boston-Providence Turnpike,Japanese
Blue Hills Grille,2790 Washington St,Grill
Norwood Town Square Diner,164 Nahatan St,Diner
Sky Restaurant,1369 Boston-Providence Turnpike,New American
Fuji Steak House Needham,1430 Highland Ave,Japanese steakhouse
The Rice Barn,1037 Great Plain Ave,Thai
Broadway Pizza and Grill,75 Cottage St E,Pizza
Papa Gino's,600 Providence Hwy,Pizza
Comella's,1095 Great Plain Ave,Italian
Jimmy's Pizza & Restaurant,4 East St,Pizza
Peony Pavilion Restaurant,250 Bussey St,Chinese
New Golden Abacus,1275 Providence Hwy,Chinese
204 Washington,204 Washington St,Restaurant
Tastefully Done,100 River Ridge Dr,American
Bertucci's Italian Restaurant,1405 Providence Hwy,Italian
IHOP,260 Providence Hwy,Restaurant
Los Antojitos Restaurant,5272 Washington St,Mexican
Tasos Euro Cafe,125 Access Rd,Restaurant
The New Deli After Dark,545 High St,Sandwich
Waterford's Restaurant & Pub,2 Bridge St,Irish pub
Latina Kitchen & Bar,30 Dedham Ave,Restaurant
Giorgio's Pizza,641 Washington St,Pizza Delivery
Joe's 320 Cafe,320 Spring St,Restaurant
IHOP,1378 Boston Providence Hwy,Restaurant
Panda Express,166 Providence Hwy,Chinese
China Rama,884 Washington St # F,Chinese
Pu Pu Restaurant,"3328, 2060 Centre St",Chinese
Chili's Grill & Bar,120 Providence Hwy,Tex Mex
BONAPITA,75 Spring St Space 500,Mediterranean
D & G Deli,301 Nahatan St,Restaurant
North End Style Deli,445 Walpole St,Sandwich
The Common Cafe & Patisserie,637 Washington St,Restaurant
99 Restaurants,55 Boston-Providence Turnpike,Restaurant
Dedham House of Pizza,376 Washington St,Pizza Delivery
Stash's Pizza of Norwood,254 Dean St,Pizza
"New England Authentic Eats, LLC",600 Providence Highway Second Floor,Restaurant
Paradise Biryani Pointe,1200 Boston-Providence Turnpike #130,Indian
Tony's Place Italian Restaurant and Pizza,188 Baker St,Italian
Santoro's Sicilian Trattoria,211 Bridge St,Sandwich
Delfino Restaurant,754 South St,Italian
Subway,36 Vanderbilt Ave,Sandwich
Chipotle Mexican Grill,1415 Boston Providence Hwy,Mexican
Mai Place,323 Turnpike St #4,Chinese
Subway,723 Boston-Providence Turnpike Store #12,Sandwich
Olivadi,32 Guild St,Italian
Porter Cafe,1723 Centre St,Grill
Subway,111 Lenox St Suite 108,Sandwich
Shamrock Pub and grill,175 Railroad Ave,Irish pub
La chateeaut,165 Nahatan St,Restaurant
The Squealing Pig,1885 Centre St,Irish
Lunch Box Deli,859 Boston Providence Hwy,Sandwich
Q sabor latino food market,1105 Washington St,Restaurant
Domino's Pizza,628 Washington St # A,Pizza Delivery
Cappy's Pizzeria,672 Truman Pkwy,Pizza
Orange Leaf Frozen Yogurt,38 Vanderbilt Ave,Restaurant
Ginjo Restaurant,889 Main St,Chinese
River Grille Restaurant & Cafe,1263 River St,Brazilian
Kihei Dynasty,741 Main St,Chinese
Cafe Mangal,555 Washington St #1,Turkish
Papa Gino's,1270 River St,Pizza
Honey Dew Donuts,917 Washington St,Donuts
McDonald's,1650 VFW Pkwy,Fast Food
Dunkin',141 Nahatan St,Coffee shop
Juniper,13 Central St,Mediterranean
Burger King,1610 VFW Pkwy,Fast Food
The Grateful Dedham Diner,573 High St,Diner
Walnut Grille,1203 Walnut St,Vegetarian
Dunn-Gaherin's Food and Spirits,344 Elliot St,Irish pub
McDonald's,595 Main St,Fast Food
The Capital Grille - Curbside Takeout & Delivery,"The Chestnut Hill Square, 250 Boylston St",Fine Dining
O'Hara's Food & Spirits,1185 Walnut St,Restaurant
The Honey Baked Ham Company,950 Providence Hwy,Deli
Asia Treasures,399 High Plain St,Asian
Amber Road Cafe,635 Washington St,Restaurant
Roche Bros Westwood,338 Washington St,Caterer
The Linden Store,162 Linden St,Deli
Papa Gino's,134 Nahatan St,Pizza
Marylou's,75 Providence Hwy,Coffee shop
Hillside Pub,2 Royall Ave,Pub
